Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
46,Oklahoma State,Big 12,,11,11,71.9,66.7,5.18,13.25,11.72,6.71,18.43,106.77,82.12,24.65
47,TCU,Big 12,,15,7,73.7,60.0,13.77,5.77,8.7,9.69,18.39,107.29,82.16,25.13
48,Michigan,Big Ten,,15,9,69.3,61.5,7.88,10.25,6.84,11.29,18.13,103.63,79.81,23.82
49,Illinois,Big Ten,,11,11,74.5,65.7,8.86,8.65,12.1,5.41,17.51,109.51,85.96,23.55
50,Princeton,Ivy,25.0,17,3,70.6,57.9,12.75,4.71,8.39,9.08,17.46,107.16,82.37,24.79
51,Mississippi,SEC,,16,7,66.7,59.3,7.43,10.01,5.59,11.86,17.45,101.25,77.74,23.5
52,Villanova,Big East,,14,8,66.9,59.8,7.09,10.0,7.42,9.66,17.09,105.29,81.5,23.79
53,California,Pac-12,,13,10,68.4,65.3,3.04,13.82,9.63,7.24,16.86,106.25,83.34,22.91
54,Arkansas,SEC,,17,8,73.1,66.2,6.92,9.89,10.59,6.22,16.81,101.2,79.02,22.17
55,Middle Tennessee,CUSA,,18,4,72.6,56.8,15.86,0.91,6.35,10.43,16.78,107.56,83.33,24.23
56,Florida,SEC,,12,9,76.2,70.1,6.05,10.63,13.96,2.72,16.68,105.87,83.07,22.8
57,Vanderbilt,SEC,,17,7,70.5,62.2,8.38,8.23,8.7,7.9,16.61,103.14,81.09,22.06
58,Green Bay,Horizon,,18,5,75.3,59.0,16.35,0.52,6.78,9.06,15.84,109.65,85.85,23.8
59,Virginia,ACC,,11,12,73.0,68.8,4.17,11.58,12.08,3.67,15.76,102.12,81.51,20.61
60,Columbia,Ivy,,15,5,77.0,64.2,12.85,2.09,13.22,1.73,14.94,109.62,89.24,20.37
61,Texas Tech,Big 12,,16,8,68.0,60.9,7.08,7.72,5.9,8.91,14.8,101.64,81.79,19.86
62,Richmond,A-10,,20,4,73.3,60.3,13.0,1.37,9.11,5.26,14.37,105.91,85.56,20.35
63,Belmont,MVC,,16,5,69.5,60.3,9.24,5.11,3.75,10.59,14.34,100.8,80.93,19.87
64,Seton Hall,Big East,,13,10,62.8,56.8,6.0,8.33,2.5,11.83,14.33,98.29,78.42,19.87
65,Missouri,SEC,,11,12,72.2,70.0,2.26,11.99,11.01,3.24,14.25,105.89,87.88,18.02
66,Purdue,Big Ten,,10,12,68.4,69.0,-0.55,14.05,7.33,6.17,13.5,101.9,84.4,17.51
67,Georgia Tech,ACC,,14,10,68.7,65.3,3.33,10.14,6.5,6.97,13.47,99.88,82.38,17.5
68,Drake,MVC,,17,5,81.1,70.7,10.41,2.75,14.61,-1.45,13.16,104.91,87.87,17.04
69,Florida Gulf Coast,A-Sun,,20,4,74.2,56.1,18.08,-0.21,5.84,7.27,13.11,105.01,85.58,19.43
70,George Mason,A-10,,18,4,72.2,56.7,15.45,-0.83,6.21,6.73,12.94,99.5,81.21,18.29
71,South Dakota State,Summit,,17,5,70.3,59.6,10.68,3.52,3.28,9.54,12.82,97.85,79.81,18.04
72,Clemson,ACC,,11,13,71.8,70.0,1.71,11.03,10.97,1.77,12.74,105.53,88.31,17.23
73,Saint Joseph's,A-10,,22,2,67.1,53.5,13.67,-0.94,2.11,10.62,12.73,100.93,81.7,19.23
74,Brigham Young,Big 12,,13,11,68.1,65.8,2.33,9.56,8.06,3.83,11.89,101.94,86.11,15.83
75,Oregon,Pac-12,,11,12,62.2,63.9,-1.7,13.38,2.15,9.53,11.68,97.07,81.76,15.31
76,Cincinnati,Big 12,,12,10,61.8,62.4,-0.55,12.08,1.26,10.27,11.53,95.43,79.89,15.54
77,Central Florida,Big 12,,11,10,65.8,63.4,2.38,10.17,4.81,6.71,11.52,97.12,81.85,15.26
78,Boston College,ACC,,11,14,71.4,69.2,2.12,8.28,9.82,0.58,10.4,100.46,87.44,13.02
79,Houston,Big 12,,12,11,69.7,68.7,1.04,9.15,8.42,1.77,10.19,96.73,84.92,11.81
80,Stony Brook,CAA,,18,2,75.5,58.0,17.5,-7.36,8.14,2.0,10.14,97.23,84.45,12.78
81,Davidson,A-10,,16,6,67.1,55.5,11.59,-1.84,1.02,8.73,9.75,100.46,86.38,14.09
82,Georgia,SEC,,11,12,65.1,66.3,-1.22,10.83,3.82,5.79,9.62,95.57,83.14,12.42
83,Ball State,MAC,,20,3,74.7,62.0,12.61,-1.9,5.78,3.82,9.6,100.67,87.01,13.66
84,Santa Clara,WCC,,18,7,70.0,58.2,11.8,1.85,4.53,5.06,9.59,102.91,88.8,14.12
85,Cleveland State,Horizon,,21,4,75.6,62.1,13.48,-4.06,7.89,1.54,9.42,100.56,88.4,12.17
86,Virginia Commonwealth,A-10,,20,3,63.6,51.9,11.7,-1.23,-1.81,11.04,9.23,96.1,82.26,13.84
87,Toledo,MAC,,17,4,71.0,60.1,10.9,-0.21,4.22,4.92,9.14,98.31,85.48,12.83
88,DePaul,Big East,,12,13,72.7,68.8,3.88,5.02,11.54,-2.64,8.9,98.94,87.95,10.99
89,North Texas,AAC,,17,5,75.3,62.7,12.55,-0.7,8.02,0.85,8.87,98.69,86.93,11.76
90,St. John's (NY),Big East,,14,10,60.9,58.3,2.58,6.17,-0.3,9.06,8.75,98.76,86.15,12.61
91,Rhode Island,A-10,,15,10,63.0,55.2,7.8,0.92,-0.88,9.6,8.72,93.81,81.88,11.94
92,East Carolina,AAC,,13,8,64.9,59.0,5.9,2.74,1.77,6.88,8.65,89.49,80.08,9.41
93,Fairfield,MAAC,,20,1,74.5,53.2,21.29,-9.79,4.77,3.44,8.22,97.5,86.47,11.03
94,Eastern Washington,Big Sky,,18,5,70.9,56.5,14.39,-4.03,3.27,4.94,8.21,95.48,83.43,12.05
95,South Florida,AAC,,14,10,64.3,59.7,4.54,3.63,-0.94,9.11,8.18,96.02,85.4,10.61
96,Georgetown,Big East,,15,8,59.0,54.3,4.65,3.48,-3.35,11.48,8.14,92.9,81.39,11.52
97,Portland,WCC,,16,8,69.3,60.9,8.42,2.48,3.1,4.93,8.03,91.28,80.94,10.34
98,Arizona State,Pac-12,,10,12,63.6,68.9,-5.27,12.89,4.47,3.15,7.61,99.07,89.11,9.96
99,Harvard,Ivy,,12,8,69.6,64.6,5.05,2.4,4.62,2.83,7.45,98.78,88.74,10.04
100,Rice,AAC,,13,9,68.1,62.4,5.68,1.69,3.63,3.74,7.37,96.11,85.72,10.38
101,Montana,Big Sky,,15,7,73.8,64.5,9.23,0.09,6.95,0.38,7.33,103.82,93.39,10.44
