Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
227,Detroit Mercy,Horizon,,15,10,62.4,63.0,-0.68,-6.59,-7.72,0.45,-7.27,82.43,92.03,-9.6
228,Lehigh,Patriot,,13,8,70.6,65.5,5.1,-10.99,2.03,-9.47,-7.44,89.14,101.08,-11.94
229,Coastal Carolina,Sun Belt,,8,17,66.6,72.9,-6.28,0.06,-0.11,-7.38,-7.48,86.25,96.64,-10.38
230,Dayton,A-10,,10,13,64.3,69.7,-5.35,-1.26,-2.77,-4.94,-7.72,88.27,98.58,-10.31
231,Indiana State,MVC,,7,13,64.3,69.8,-5.5,-2.07,-4.5,-3.26,-7.76,85.53,95.71,-10.18
232,Boston University,Patriot,,13,8,62.6,60.4,2.14,-8.38,-5.59,-2.19,-7.78,85.31,96.72,-11.4
233,Morehead State,OVC,,12,10,65.7,63.7,2.0,-4.43,-5.69,-2.27,-7.96,84.78,96.21,-11.43
234,Yale,Ivy,,5,15,61.6,69.3,-7.7,-0.32,-3.3,-4.72,-8.02,87.88,99.38,-11.5
235,UNC Greensboro,Southern,,15,8,64.6,56.1,8.43,-8.45,-7.23,-0.91,-8.14,87.76,98.51,-10.75
236,Cal State Fullerton,Big West,,7,14,58.7,65.5,-6.81,-1.36,-5.77,-2.4,-8.17,85.12,97.15,-12.03
237,Howard,MEAC,,8,13,57.4,59.3,-1.9,-6.39,-8.65,0.36,-8.29,78.56,89.95,-11.39
238,Manhattan,MAAC,,15,6,58.0,55.6,2.33,-10.8,-10.69,2.23,-8.47,82.34,93.93,-11.59
239,Maryland-Eastern Shore,MEAC,,10,12,62.8,60.4,2.45,-7.09,-6.63,-1.86,-8.49,83.7,96.2,-12.49
240,Bethune-Cookman,SWAC,,13,9,69.1,61.5,7.64,-7.57,-4.59,-3.99,-8.57,82.36,93.87,-11.51
241,Niagara,MAAC,,12,11,67.7,71.9,-4.22,-4.59,1.2,-10.01,-8.81,82.68,94.38,-11.7
242,Kennesaw State,A-Sun,,10,13,57.4,62.3,-4.87,-0.05,-8.47,-0.44,-8.91,81.29,93.75,-12.46
243,Oakland,Horizon,,9,13,73.3,72.5,0.77,-2.67,2.56,-11.53,-8.97,88.24,100.82,-12.58
244,Sacred Heart,NEC,,14,9,64.2,59.1,5.13,-11.73,-4.64,-4.48,-9.11,84.5,98.69,-14.18
245,Northern Kentucky,Horizon,,6,16,66.3,74.5,-8.14,-0.47,-0.18,-9.0,-9.18,87.53,100.58,-13.06
246,Akron,MAC,,8,13,62.8,65.6,-2.81,-6.38,-5.72,-3.47,-9.19,84.55,97.78,-13.24
247,Weber State,Big Sky,,7,17,57.9,65.9,-8.0,-0.37,-7.35,-1.98,-9.33,83.73,97.45,-13.72
248,Western Illinois,OVC,,15,7,74.1,63.7,10.41,-11.42,-2.53,-6.83,-9.37,84.79,97.84,-13.05
249,Western Michigan,MAC,,9,11,60.6,65.4,-4.85,-3.71,-6.04,-3.46,-9.5,85.93,99.35,-13.42
250,Denver,Summit,,6,17,63.8,68.9,-5.04,-3.38,-5.1,-4.55,-9.65,88.27,102.31,-14.05
251,Colgate,Patriot,,11,10,61.1,56.0,5.05,-11.22,-9.56,-0.11,-9.67,84.1,98.08,-13.98
252,Kansas City,Summit,,10,15,64.9,64.3,0.6,-4.53,-8.04,-1.67,-9.71,80.18,93.81,-13.63
253,Samford,Southern,,11,12,57.3,59.8,-2.52,-2.97,-12.28,2.56,-9.72,79.21,93.69,-14.48
254,Coppin State,MEAC,,8,13,54.8,60.8,-6.0,-3.77,-11.52,1.75,-9.77,79.05,94.06,-15.01
255,Jacksonville State,CUSA,,9,12,60.0,63.6,-3.62,-2.33,-8.63,-1.18,-9.81,80.27,94.52,-14.26
256,Cornell,Ivy,,7,12,55.9,66.7,-10.74,0.84,-7.65,-2.25,-9.9,81.32,95.9,-14.58
257,North Alabama,A-Sun,,10,13,70.7,72.1,-1.39,-4.83,2.01,-12.07,-10.06,87.56,101.12,-13.56
258,North Dakota,Summit,,8,15,67.6,73.0,-5.39,-1.11,-1.1,-8.96,-10.06,84.57,97.8,-13.24
259,Stetson,A-Sun,,12,12,58.7,60.2,-1.5,-5.82,-10.86,0.72,-10.14,78.9,93.39,-14.49
260,Utah Valley,WAC,,8,13,59.6,62.7,-3.1,-5.24,-9.91,-0.28,-10.19,79.66,93.72,-14.06
261,San Jose State,MWC,,6,16,59.9,64.0,-4.05,-1.49,-7.76,-2.45,-10.21,83.3,98.3,-15.0
262,Youngstown State,Horizon,,10,14,59.9,62.3,-2.42,-5.7,-9.62,-0.6,-10.22,82.32,96.45,-14.13
263,Nicholls State,Southland,,11,11,61.8,60.6,1.18,-6.82,-8.36,-1.88,-10.24,81.37,95.47,-14.1
264,Southern Utah,WAC,,6,15,67.0,74.7,-7.71,-1.5,-2.15,-8.15,-10.3,90.36,104.17,-13.81
265,Northern Illinois,MAC,,10,11,64.9,65.6,-0.76,-6.51,-5.52,-5.09,-10.61,82.63,97.2,-14.57
266,Binghamton,AEC,,9,14,62.6,62.9,-0.26,-9.08,-5.49,-5.16,-10.65,89.21,104.79,-15.58
267,Eastern Illinois,OVC,,9,15,64.0,68.4,-4.42,-6.31,-4.51,-6.22,-10.72,84.05,98.93,-14.88
268,North Florida,A-Sun,,8,15,63.1,65.5,-2.35,-1.79,-7.11,-3.78,-10.89,83.22,98.57,-15.35
269,Canisius,MAAC,,12,9,60.1,60.6,-0.52,-10.51,-8.89,-2.57,-11.46,82.7,98.96,-16.26
270,Sam Houston,CUSA,,6,15,68.1,71.1,-3.0,-2.04,-1.46,-10.0,-11.46,81.1,95.89,-14.79
271,Northwestern State,Southland,,9,13,59.4,61.5,-2.09,-4.2,-12.19,0.29,-11.9,78.23,94.32,-16.09
272,High Point,Big South,,13,10,62.7,65.6,-2.83,-5.85,-4.73,-7.22,-11.95,83.95,100.63,-16.68
273,Jacksonville,A-Sun,,6,16,63.8,72.5,-8.77,-0.64,-5.38,-6.71,-12.09,80.68,96.13,-15.44
274,New Orleans,Southland,,9,13,59.9,66.3,-6.41,-5.71,-6.46,-5.66,-12.12,77.32,93.57,-16.25
275,Texas A&M-Commerce,Southland,,10,11,69.1,72.9,-3.76,-3.81,0.81,-12.93,-12.12,85.95,101.18,-15.23
276,Massachusetts,A-10,,3,21,59.1,73.6,-14.5,2.3,-4.48,-7.73,-12.21,83.73,101.09,-17.36
277,Alabama A&M,SWAC,,10,11,62.2,63.0,-0.81,-9.89,-8.68,-3.56,-12.24,81.14,98.18,-17.03
278,Quinnipiac,MAAC,,10,11,60.3,64.8,-4.48,-7.76,-6.28,-5.96,-12.24,84.17,101.64,-17.47
279,New Hampshire,AEC,,9,14,56.0,58.0,-2.0,-8.79,-12.12,-0.31,-12.43,77.53,95.43,-17.9
280,Northeastern,CAA,,8,11,59.9,65.1,-5.16,-7.41,-7.46,-5.11,-12.57,84.09,102.67,-18.58
281,Xavier,Big East,,1,19,51.4,70.0,-18.6,5.77,-10.17,-2.66,-12.83,78.72,98.11,-19.39
282,La Salle,A-10,,7,15,58.9,71.5,-12.55,-0.36,-5.19,-7.71,-12.91,80.53,98.99,-18.46
283,Texas-Rio Grande Valley,WAC,,5,16,60.0,70.6,-10.62,-2.29,-7.92,-4.98,-12.91,80.31,97.76,-17.45
284,South Alabama,Sun Belt,,8,16,60.2,69.3,-9.04,-0.85,-7.98,-4.95,-12.94,79.44,97.76,-18.32
285,American,Patriot,,8,13,60.4,64.9,-4.52,-8.44,-7.59,-5.38,-12.97,78.68,97.59,-18.91
286,Tarleton State,WAC,,7,14,61.7,65.4,-3.71,-5.75,-9.65,-3.4,-13.05,80.36,97.74,-17.37
287,Furman,Southern,,12,12,68.7,65.4,3.29,-8.93,-4.94,-8.18,-13.12,83.66,101.72,-18.07
288,Ohio,MAC,,7,14,62.7,71.9,-9.19,-3.93,-5.06,-8.07,-13.12,78.58,96.09,-17.52
289,Bryant,AEC,,11,12,62.5,62.3,0.17,-8.71,-7.46,-5.97,-13.43,82.4,101.78,-19.38
290,Loyola (MD),Patriot,,10,11,56.3,60.6,-4.24,-9.25,-11.45,-2.04,-13.49,81.66,102.2,-20.55
291,Southeast Missouri State,OVC,,6,16,63.4,68.2,-4.82,-5.22,-7.97,-5.55,-13.52,78.99,97.62,-18.63
292,Elon,CAA,,7,15,52.5,62.3,-9.73,-2.68,-14.17,0.44,-13.73,73.72,93.72,-20.0
293,Radford,Big South,,11,12,58.5,62.7,-4.22,-8.27,-11.77,-2.0,-13.77,78.25,97.11,-18.86
294,St. Bonaventure,A-10,,4,18,56.6,67.3,-10.68,-3.23,-8.18,-5.73,-13.91,82.03,101.99,-19.97
295,IUPUI,Horizon,,5,17,64.4,76.4,-12.05,-1.97,-2.38,-11.63,-14.02,81.82,100.16,-18.34
296,Cal State Bakersfield,Big West,,6,15,58.5,66.9,-8.33,-4.89,-7.8,-6.24,-14.04,82.19,102.3,-20.11
297,Bucknell,Patriot,,7,14,53.8,62.9,-9.1,-5.1,-12.72,-1.48,-14.19,77.75,99.39,-21.64
298,Le Moyne,NEC,,9,13,55.0,65.4,-10.32,-4.1,-10.96,-3.46,-14.42,79.74,100.9,-21.16
299,Miami (OH),MAC,,5,16,52.8,65.2,-12.43,-2.35,-13.97,-0.8,-14.77,76.08,97.66,-21.58
300,Pepperdine,WCC,,5,18,55.6,69.1,-13.52,2.15,-11.49,-3.31,-14.8,76.91,98.63,-21.72
301,Valparaiso,MVC,,4,15,60.9,72.3,-11.32,-3.8,-8.63,-6.49,-15.12,79.96,100.18,-20.22
302,Florida A&M,SWAC,,5,15,60.2,72.6,-12.45,-2.82,-6.79,-8.48,-15.27,81.44,102.15,-20.71
303,Hofstra,CAA,,7,13,58.1,57.7,0.4,-11.01,-14.06,-1.21,-15.27,74.09,96.56,-22.47
304,Dartmouth,Ivy,,6,13,49.2,54.1,-4.89,-6.0,-19.9,4.55,-15.35,70.2,93.77,-23.57
305,Tennessee State,OVC,,7,14,63.3,70.6,-7.33,-6.59,-5.32,-10.05,-15.38,78.74,99.79,-21.06
306,Lindenwood,OVC,,6,15,67.6,73.0,-5.43,-7.67,-3.29,-12.33,-15.62,87.57,108.83,-21.26
307,Marist,MAAC,,5,16,56.0,63.6,-7.62,-8.14,-11.57,-4.19,-15.75,73.96,97.1,-23.14
308,Bradley,MVC,,6,16,62.1,75.0,-12.82,-2.2,-6.77,-9.14,-15.91,83.22,105.42,-22.21
309,Omaha,Summit,,5,18,74.4,84.5,-10.13,-2.41,4.93,-20.91,-15.98,91.65,112.48,-20.83
310,Seattle,WAC,,1,20,61.5,76.6,-15.05,-0.99,-4.37,-11.66,-16.03,81.57,103.33,-21.76
311,SIU Edwardsville,OVC,,4,20,69.3,77.3,-7.96,-4.77,0.68,-16.71,-16.03,86.66,108.13,-21.47
312,Central Michigan,MAC,,5,15,62.5,71.5,-9.0,-5.36,-7.38,-8.66,-16.04,78.65,99.7,-21.06
313,Lafayette,Patriot,,8,13,55.6,62.4,-6.76,-9.31,-12.04,-4.04,-16.08,79.53,103.7,-24.17
314,Bellarmine,A-Sun,,7,15,66.1,75.1,-8.95,-2.46,-3.71,-12.4,-16.11,81.96,102.45,-20.5
315,Iona,MAAC,,7,14,57.2,64.8,-7.57,-8.77,-10.52,-5.82,-16.34,81.66,105.46,-23.8
316,Eastern Michigan,MAC,,5,16,58.3,67.8,-9.43,-5.25,-11.2,-5.2,-16.4,75.98,99.02,-23.04
317,Sacramento State,Big Sky,,3,19,54.0,69.1,-15.09,-1.39,-11.36,-5.12,-16.48,77.83,101.92,-24.09
318,Charleston Southern,Big South,,8,15,60.6,67.6,-7.04,-8.74,-9.0,-7.69,-16.7,77.67,99.87,-22.2
319,South Carolina Upstate,Big South,,13,10,59.2,62.4,-3.22,-12.19,-11.02,-5.8,-16.82,75.63,97.91,-22.28
320,Morgan State,MEAC,,7,15,54.8,64.2,-9.41,-4.23,-12.2,-4.62,-16.83,74.56,98.67,-24.11
321,Maryland-Baltimore County,AEC,,8,14,59.6,64.3,-4.68,-9.72,-10.87,-6.2,-17.07,76.53,101.09,-24.56
322,Portland State,Big Sky,,5,18,56.0,68.9,-12.96,-1.89,-10.92,-6.17,-17.08,81.15,107.36,-26.21
323,Massachusetts-Lowell,AEC,,4,18,53.4,64.2,-10.82,-6.45,-12.1,-5.16,-17.26,74.89,100.46,-25.56
324,Merrimack,NEC,,7,15,57.5,62.6,-5.09,-12.34,-11.45,-5.98,-17.43,74.04,99.65,-25.61
325,Mount St. Mary's,MAAC,,8,13,52.0,59.7,-7.62,-9.81,-16.24,-1.2,-17.43,70.57,96.07,-25.5
326,NJIT,AEC,,8,14,58.1,64.4,-6.32,-11.19,-9.76,-7.75,-17.51,76.15,101.43,-25.28
327,Robert Morris,Horizon,,6,17,56.0,65.4,-9.43,-4.31,-13.29,-4.26,-17.55,73.4,98.6,-25.2
328,UNC Asheville,Big South,,9,14,59.1,58.2,0.91,-14.55,-14.37,-3.61,-17.98,73.23,98.05,-24.81
329,Army,Patriot,,9,11,58.6,62.8,-4.25,-10.21,-10.09,-8.18,-18.27,77.74,104.16,-26.42
330,Utah State,MWC,,4,18,55.3,70.2,-14.86,-1.64,-9.32,-9.17,-18.49,77.6,104.13,-26.53
331,Winthrop,Big South,,10,13,56.5,60.7,-4.17,-10.05,-15.9,-2.59,-18.5,72.73,98.67,-25.94
332,Presbyterian,Big South,,12,13,58.8,62.2,-3.4,-10.51,-14.02,-4.85,-18.88,77.65,103.63,-25.98
333,Alcorn State,SWAC,,4,16,51.6,65.8,-14.25,-2.2,-16.26,-2.67,-18.94,71.39,97.23,-25.84
334,Navy,Patriot,,8,13,61.8,66.2,-4.48,-9.04,-9.42,-9.63,-19.04,75.89,102.07,-26.18
335,Fairleigh Dickinson,NEC,,7,14,55.5,62.4,-6.95,-9.45,-14.43,-4.72,-19.15,76.56,105.07,-28.51
336,Cal State Northridge,Big West,,2,20,54.1,70.5,-16.45,-2.3,-10.73,-8.62,-19.34,72.65,99.82,-27.17
337,Houston Christian,Southland,,6,16,54.8,64.0,-9.23,-2.09,-15.81,-4.11,-19.92,73.04,101.65,-28.62
338,Central Connecticut State,NEC,,6,16,57.7,67.1,-9.41,-10.55,-10.65,-9.31,-19.96,76.31,104.57,-28.26
339,North Carolina Central,MEAC,,11,11,67.5,67.2,0.32,-9.36,-5.9,-14.19,-20.1,73.07,99.38,-26.31
340,Rider,MAAC,,5,16,54.8,65.6,-10.81,-9.44,-13.59,-6.66,-20.25,76.58,106.57,-30.0
341,Hampton,CAA,,2,17,54.4,68.9,-14.47,-5.81,-11.7,-8.59,-20.29,71.92,99.77,-27.84
342,Prairie View,SWAC,,9,10,63.6,68.4,-4.79,-4.63,-11.29,-9.78,-21.07,74.03,102.36,-28.34
343,Texas Southern,SWAC,,4,16,58.0,72.4,-14.35,-4.3,-13.47,-8.15,-21.62,71.46,99.56,-28.1
344,Evansville,MVC,,2,19,63.9,83.3,-19.48,-2.65,-5.65,-16.48,-22.13,76.63,104.87,-28.24
345,Queens (NC),A-Sun,,6,17,62.0,68.6,-6.65,-8.09,-10.81,-11.48,-22.29,72.57,103.12,-30.55
346,Longwood,Big South,,6,17,62.2,72.0,-9.78,-8.06,-10.19,-12.4,-22.59,74.12,104.04,-29.93
347,Western Carolina,Southern,,6,17,58.6,66.5,-7.96,-7.62,-12.56,-10.81,-23.37,75.95,108.9,-32.95
348,Gardner-Webb,Big South,,4,18,61.0,79.1,-18.05,-6.45,-5.98,-18.51,-24.49,79.28,111.61,-32.33
349,Saint Peter's,MAAC,,5,16,50.3,63.5,-13.19,-11.48,-19.86,-4.81,-24.67,65.87,101.0,-35.13
350,Mississippi Valley State,SWAC,,2,20,53.9,80.7,-26.86,2.01,-11.94,-12.91,-24.85,71.32,102.23,-30.91
351,Long Island University,NEC,,6,16,58.2,68.1,-9.91,-15.58,-13.23,-12.27,-25.49,72.62,108.82,-36.2
352,UNC Wilmington,CAA,,4,16,55.8,72.9,-17.05,-5.86,-11.99,-13.71,-25.7,71.06,106.31,-35.25
353,Delaware State,MEAC,,6,14,58.0,73.9,-15.95,-3.38,-12.57,-14.48,-27.05,74.62,112.56,-37.94
354,South Carolina State,MEAC,,1,21,49.8,68.9,-19.09,-8.45,-18.94,-8.6,-27.54,69.3,109.32,-40.02
355,Alabama State,SWAC,,3,17,48.1,76.1,-28.0,-0.06,-17.67,-10.39,-28.06,67.95,104.35,-36.4
356,Stonehill,NEC,,3,19,51.4,69.0,-17.55,-11.01,-18.51,-10.05,-28.55,65.76,105.76,-40.0
357,McNeese State,Southland,,4,20,66.0,80.4,-14.42,-3.32,-6.22,-23.4,-29.62,78.58,116.02,-37.44
358,Wagner,NEC,,6,14,53.9,67.1,-13.2,-14.69,-18.67,-11.65,-30.32,64.81,108.02,-43.21
359,Saint Francis (PA),NEC,,4,19,51.7,70.4,-18.78,-12.47,-18.23,-13.03,-31.25,69.26,113.9,-44.64
360,Chicago State,Ind,,1,25,58.8,82.9,-24.12,-3.49,-9.64,-21.65,-31.29,71.24,111.45,-40.21
