Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,18,8,10,0.444,-3.44,-2.44,4.0,5.0,6,3,2,6,1287,1233,735,448,1099,0.408,160,526,0.304,231,330,0.7,254,714,246,137,28,294,293
2,Air Force,21,9,12,0.429,-3.56,3.6,2.0,6.0,7,4,2,6,1292,1413,845,478,1302,0.367,130,441,0.295,206,281,0.733,259,690,248,240,44,302,401
3,Akron,18,7,11,0.389,-8.11,-6.56,2.0,6.0,3,3,3,7,1136,1164,745,410,1053,0.389,100,339,0.295,216,300,0.72,229,688,210,110,51,309,289
4,Alabama,22,16,6,0.727,20.62,3.53,3.0,4.0,11,3,3,2,1640,1264,880,585,1313,0.446,158,458,0.345,312,443,0.704,297,857,292,205,97,332,338
5,Alabama A&M,19,8,11,0.421,-12.82,-9.88,3.0,4.0,5,2,2,8,1159,1182,765,437,1106,0.395,66,241,0.274,219,311,0.704,246,690,214,159,60,341,323
6,Alabama State,18,2,16,0.111,-29.97,0.81,2.0,5.0,0,4,2,12,866,1420,720,315,958,0.329,70,281,0.249,166,257,0.646,178,571,169,124,62,435,387
7,Albany (NY),20,18,2,0.9,0.48,-11.26,7.0,0.0,10,0,8,2,1327,1013,800,480,1075,0.447,131,333,0.393,236,314,0.752,234,713,284,156,71,300,260
8,Alcorn State,18,4,14,0.222,-19.14,-1.61,2.0,5.0,3,2,1,12,918,1183,720,347,1006,0.345,45,221,0.204,179,294,0.609,201,652,203,146,54,341,371
9,American,19,8,11,0.421,-11.48,-7.48,6.0,2.0,4,6,4,5,1166,1242,770,439,1085,0.405,82,316,0.259,206,305,0.675,190,638,271,162,32,327,346
10,Appalachian State,20,10,10,0.5,-2.61,-2.91,4.0,5.0,7,1,1,9,1409,1403,805,492,1295,0.38,126,447,0.282,299,450,0.664,280,790,244,187,61,340,381
11,Arizona,21,11,10,0.524,19.04,13.7,3.0,6.0,7,3,2,5,1490,1378,855,560,1254,0.447,98,309,0.317,272,369,0.737,228,700,305,251,88,325,403
12,Arizona State,21,10,11,0.476,7.64,12.64,2.0,7.0,6,6,1,4,1348,1453,840,486,1240,0.392,101,308,0.328,275,398,0.691,244,710,202,166,50,274,403
13,Arkansas,22,16,6,0.727,17.64,8.96,4.0,3.0,9,3,4,2,1603,1412,880,539,1409,0.383,207,664,0.312,318,437,0.728,238,888,247,149,132,281,306
14,Arkansas State,19,10,9,0.526,0.11,-1.61,4.0,5.0,8,3,2,6,1328,1217,770,465,1138,0.409,139,411,0.338,259,336,0.771,228,709,242,154,48,243,289
15,Arkansas-Pine Bluff,20,10,10,0.5,-1.8,-0.41,5.0,2.0,5,2,5,5,1526,1416,807,573,1344,0.426,117,403,0.29,263,400,0.658,269,808,344,206,92,319,420
16,Army,18,8,10,0.444,-18.43,-10.05,5.0,3.0,4,6,4,4,1062,1136,720,389,1057,0.368,82,318,0.258,202,290,0.697,221,625,192,148,47,278,323
17,Auburn,20,14,6,0.7,17.79,6.64,3.0,4.0,11,2,3,4,1338,1115,800,490,1209,0.405,69,251,0.275,289,411,0.703,245,743,261,215,69,298,347
18,Austin Peay,21,9,12,0.429,-4.92,-3.92,2.0,5.0,6,7,1,5,1313,1306,855,499,1118,0.446,92,301,0.306,221,337,0.656,196,717,247,146,78,368,390
19,Ball State,20,18,2,0.9,10.06,-1.31,8.0,0.0,7,1,9,1,1492,1239,805,534,1173,0.455,179,489,0.366,245,341,0.718,174,644,321,214,56,298,332
20,Baylor,19,16,3,0.842,29.47,8.9,5.0,3.0,10,1,3,2,1507,1116,760,560,1209,0.463,153,439,0.349,234,326,0.718,245,774,382,184,40,288,319
21,Bellarmine,19,6,13,0.316,-17.6,-2.42,1.0,6.0,3,5,3,8,1261,1443,765,461,1189,0.388,124,426,0.291,215,310,0.694,224,703,278,160,41,343,402
22,Belmont,20,15,5,0.75,13.64,4.89,8.0,1.0,9,1,5,3,1387,1212,800,497,1149,0.433,144,437,0.33,249,352,0.707,201,749,297,154,73,282,309
23,Bethune-Cookman,20,13,7,0.65,-7.64,-6.94,4.0,3.0,7,3,4,3,1396,1221,805,510,1270,0.402,82,298,0.275,294,457,0.643,304,810,298,236,51,323,342
24,Binghamton,20,7,13,0.35,-12.09,-9.92,2.0,5.0,5,7,2,4,1259,1271,800,477,1121,0.426,140,403,0.347,165,232,0.711,178,637,286,119,50,284,336
25,Boise State,21,13,8,0.619,0.89,-1.48,4.0,4.0,9,2,3,5,1331,1223,840,481,1206,0.399,149,413,0.361,220,325,0.677,256,855,316,135,135,329,316
26,Boston College,22,11,11,0.5,10.97,7.24,3.0,6.0,10,2,1,7,1600,1518,886,610,1412,0.432,103,374,0.275,277,415,0.667,314,781,330,267,65,341,403
27,Boston University,20,13,7,0.65,-7.73,-8.47,5.0,4.0,10,1,3,6,1252,1205,815,454,1046,0.434,115,322,0.357,229,321,0.713,170,674,291,157,94,329,277
28,Bowling Green State,18,10,8,0.556,-2.62,2.05,4.0,4.0,5,2,3,6,1186,1270,720,423,1022,0.414,124,376,0.33,216,321,0.673,184,635,241,119,59,274,319
29,Bradley,20,5,15,0.25,-17.04,-2.09,1.0,8.0,4,5,0,9,1228,1506,805,455,1118,0.407,121,371,0.326,197,289,0.682,167,654,256,108,43,337,316
30,Brigham Young,21,12,9,0.571,10.12,7.03,2.0,6.0,8,2,1,7,1434,1369,845,526,1162,0.453,148,393,0.377,234,379,0.617,230,849,333,120,86,371,365
31,Brown,18,13,5,0.722,-1.38,-3.5,4.0,1.0,4,3,9,2,1103,1012,720,400,1053,0.38,119,446,0.267,184,274,0.672,205,646,206,163,70,285,283
32,Bryant,20,10,10,0.5,-13.69,-8.8,3.0,4.0,7,3,3,6,1256,1241,805,468,1105,0.424,131,405,0.323,189,308,0.614,215,702,280,143,54,335,312
33,Bucknell,19,5,14,0.263,-15.03,-4.13,2.0,6.0,5,4,0,10,1008,1215,760,349,940,0.371,88,280,0.314,222,308,0.721,144,600,199,109,69,330,282
34,Buffalo,18,10,8,0.556,-5.1,-6.04,4.0,4.0,8,3,2,5,1209,1153,720,438,1032,0.424,101,313,0.323,232,334,0.695,194,660,241,135,39,254,348
35,Butler,20,9,11,0.45,3.45,5.08,1.0,8.0,6,5,2,6,1247,1224,800,465,1103,0.422,166,433,0.383,151,214,0.706,187,658,287,126,45,302,263
36,Cal Poly,19,10,9,0.526,0.49,0.49,6.0,3.0,3,3,7,6,1169,1169,765,434,1018,0.426,100,292,0.342,201,273,0.736,212,671,239,161,79,364,370
37,Cal State Bakersfield,18,6,12,0.333,-14.11,-4.58,3.0,6.0,5,3,1,8,1069,1223,725,396,1099,0.36,143,456,0.314,134,213,0.629,180,589,192,149,44,247,305
38,Cal State Fullerton,19,7,12,0.368,-7.65,-1.07,3.0,6.0,3,5,3,6,1124,1249,760,414,1073,0.386,101,329,0.307,195,251,0.777,185,638,249,151,55,310,283
39,Cal State Northridge,19,2,17,0.105,-19.99,-1.88,0.0,9.0,2,9,0,8,1024,1354,765,380,1108,0.343,85,348,0.244,179,275,0.651,200,662,211,160,69,345,331
40,California,21,13,8,0.619,17.0,12.24,3.0,6.0,11,4,2,4,1446,1346,850,508,1271,0.4,178,553,0.322,252,333,0.757,282,797,306,170,65,319,363
41,California Baptist,18,16,2,0.889,3.82,-7.02,8.0,1.0,9,0,7,2,1428,1233,730,500,1197,0.418,163,515,0.317,265,371,0.714,205,782,335,177,30,268,337
42,Campbell,19,10,9,0.526,-7.5,-6.44,3.0,5.0,6,2,2,7,1166,1042,765,435,1033,0.421,132,399,0.331,164,256,0.641,191,714,257,128,66,321,260
43,Canisius,19,11,8,0.579,-10.83,-9.89,6.0,4.0,4,3,7,5,1151,1160,765,422,1045,0.404,145,411,0.353,162,257,0.63,201,662,243,116,40,303,307
44,Central Arkansas,20,14,6,0.7,-1.29,-5.56,6.0,1.0,7,0,7,5,1359,1185,810,496,1165,0.426,129,405,0.319,238,336,0.708,227,802,200,145,73,311,329
45,Central Connecticut State,20,4,16,0.2,-19.91,-8.91,2.0,5.0,4,3,0,13,1127,1347,805,432,1156,0.374,70,317,0.221,193,254,0.76,182,625,219,148,40,298,360
46,Central Florida,18,10,8,0.556,12.12,8.06,1.0,7.0,7,4,0,4,1206,1114,725,424,1017,0.417,88,266,0.331,270,357,0.756,231,700,217,133,43,340,313
47,Central Michigan,18,4,14,0.222,-16.55,-5.78,2.0,6.0,2,5,2,9,1118,1278,720,416,1073,0.388,85,325,0.262,201,301,0.668,256,747,201,128,72,375,335
48,Charleston Southern,20,6,14,0.3,-17.87,-7.45,3.0,4.0,4,6,2,8,1199,1384,800,456,1194,0.382,97,315,0.308,190,287,0.662,262,778,218,139,52,401,353
49,Charlotte,20,12,8,0.6,5.46,1.81,5.0,3.0,7,2,4,4,1310,1237,815,445,1122,0.397,96,316,0.304,324,440,0.736,229,765,239,187,73,377,370
50,Chattanooga,20,17,3,0.85,3.54,-4.46,5.0,0.0,9,1,6,0,1300,1087,800,461,1003,0.46,129,342,0.377,249,321,0.776,138,627,199,126,46,280,330
51,Chicago State,25,1,24,0.04,-31.03,-2.44,,,1,9,0,11,1458,2076,1015,545,1497,0.364,67,272,0.246,301,417,0.722,291,908,259,154,128,532,519
52,Cincinnati,19,10,9,0.526,9.83,11.3,2.0,6.0,7,3,2,4,1173,1201,760,397,1105,0.359,85,312,0.272,294,400,0.735,274,752,168,120,59,317,335
53,Clemson,21,9,12,0.429,11.27,9.93,2.0,7.0,8,4,0,6,1510,1482,844,548,1233,0.444,149,458,0.325,265,363,0.73,223,760,307,161,33,350,319
54,Cleveland State,22,18,4,0.818,8.03,-5.24,9.0,2.0,11,0,5,3,1663,1371,880,583,1259,0.463,113,308,0.367,384,545,0.705,239,813,288,222,62,326,360
55,Coastal Carolina,22,7,15,0.318,-8.61,0.25,1.0,8.0,3,4,3,10,1474,1636,885,528,1328,0.398,91,338,0.269,327,518,0.631,336,898,233,185,72,450,449
56,Colgate,19,11,8,0.579,-8.65,-10.59,4.0,4.0,7,4,4,3,1173,1063,765,456,1020,0.447,72,203,0.355,189,268,0.705,186,639,286,126,50,278,262
