Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
101,Georgia State,25,15,10,0.6,-2.02,-3.24,9.0,5.0,9,4,6,6,1792,1685,74.0,90.6,0.31,0.34,0.48,50.7,58.4,10.1,7.4,0.445,20.2,34.5,0.21
102,Georgia Tech,26,15,11,0.577,13.64,10.6,6.0,8.0,9,5,5,5,1772,1693,72.1,90.3,0.228,0.292,0.474,49.4,51.5,9.7,8.5,0.448,17.2,27.8,0.156
103,Gonzaga,28,26,2,0.929,27.44,6.73,13.0,0.0,12,0,11,1,2303,1723,68.5,89.0,0.225,0.337,0.484,43.3,53.6,8.8,5.2,0.453,19.2,27.2,0.164
104,Grambling,23,15,8,0.652,-6.73,-5.83,9.0,3.0,10,2,5,6,1716,1480,80.0,79.1,0.342,0.348,0.468,47.4,62.2,10.8,6.5,0.431,26.1,31.4,0.226
105,Grand Canyon,26,21,5,0.808,8.33,-4.07,13.0,2.0,11,3,10,2,1808,1424,68.5,78.8,0.286,0.365,0.457,47.0,53.7,10.2,6.2,0.421,23.3,26.4,0.194
106,Green Bay,26,21,5,0.808,14.3,-0.82,14.0,2.0,11,0,8,4,1935,1518,67.3,86.7,0.229,0.403,0.482,47.9,63.3,8.4,4.0,0.448,20.2,26.3,0.172
107,Hampton,22,2,20,0.091,-19.99,-5.54,2.0,10.0,2,6,0,12,1198,1516,73.9,93.3,0.38,0.364,0.515,55.8,61.8,11.8,7.9,0.469,22.5,35.7,0.278
108,Harvard,22,14,8,0.636,7.39,0.93,7.0,2.0,4,2,8,6,1534,1392,69.4,91.2,0.287,0.284,0.481,48.5,56.5,9.5,7.0,0.443,18.3,30.4,0.207
109,Hawaii,23,14,9,0.609,2.23,0.61,12.0,3.0,11,3,4,6,1315,1280,65.3,85.3,0.242,0.339,0.447,51.9,51.4,12.5,10.0,0.41,18.4,31.3,0.177
110,High Point,26,16,10,0.615,-11.64,-7.27,11.0,2.0,9,4,7,3,1638,1680,70.6,91.1,0.318,0.299,0.484,55.5,50.2,9.4,10.0,0.443,19.4,32.5,0.229
111,Hofstra,22,8,14,0.364,-14.47,-9.71,2.0,9.0,5,7,3,7,1267,1278,68.2,84.7,0.288,0.319,0.458,47.2,55.3,12.7,9.7,0.422,20.8,31.3,0.198
112,Holy Cross,24,14,10,0.583,-4.47,-9.6,8.0,5.0,10,2,4,8,1460,1301,66.3,81.7,0.256,0.319,0.423,45.6,51.8,9.7,5.8,0.388,16.0,25.2,0.173
113,Houston,25,13,12,0.52,11.3,10.66,4.0,10.0,10,5,3,7,1735,1719,74.5,91.4,0.329,0.278,0.527,52.8,54.8,9.7,7.6,0.485,25.1,36.0,0.247
114,Houston Christian,24,6,18,0.25,-20.68,-2.28,1.0,12.0,5,5,1,13,1285,1535,68.5,93.3,0.289,0.271,0.47,54.7,56.2,11.6,8.5,0.436,17.1,34.9,0.197
115,Howard,22,8,14,0.364,-8.9,-6.81,5.0,3.0,4,4,4,7,1270,1316,70.3,84.1,0.34,0.382,0.456,51.3,60.3,10.2,9.2,0.407,21.6,32.5,0.245
116,Idaho,25,13,12,0.52,-2.68,-4.86,6.0,7.0,3,9,9,3,1533,1422,66.2,85.6,0.262,0.273,0.462,48.4,39.8,10.3,12.0,0.423,18.5,24.6,0.193
117,Idaho State,25,10,15,0.4,-3.22,-0.18,6.0,8.0,8,4,1,10,1467,1501,68.0,87.8,0.378,0.413,0.481,48.2,59.2,12.5,5.6,0.434,20.3,28.9,0.267
118,Illinois,24,12,12,0.5,18.23,10.15,6.0,8.0,8,5,3,5,1779,1585,70.3,93.4,0.254,0.339,0.499,48.2,55.6,8.5,5.3,0.462,18.4,28.8,0.195
119,Illinois State,24,16,8,0.667,4.78,0.47,9.0,5.0,11,1,4,7,1793,1656,72.7,94.4,0.256,0.366,0.492,47.9,56.6,10.1,8.4,0.459,16.0,26.4,0.186
