Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
261,Sam Houston,18,5,13,0.278,-12.41,-1.35,0.0,6.0,4,5,1,8,1223,1284,77.4,87.2,0.389,0.272,0.436,49.4,48.9,11.9,6.6,0.385,19.0,38.4,0.264
262,Samford,21,11,10,0.524,-8.78,-3.73,3.0,3.0,9,1,2,8,1220,1234,67.9,85.5,0.319,0.327,0.471,48.9,53.1,10.4,10.3,0.443,20.1,27.2,0.199
263,San Diego,20,4,16,0.2,-5.02,3.82,0.0,7.0,3,9,1,7,1227,1341,71.4,85.9,0.291,0.197,0.47,51.5,59.8,12.0,8.1,0.432,22.4,35.4,0.208
264,San Diego State,22,14,8,0.636,2.45,-1.05,5.0,4.0,8,4,4,4,1492,1395,68.8,96.3,0.268,0.299,0.504,50.3,52.9,11.5,8.4,0.465,15.7,27.0,0.208
265,San Francisco,20,8,12,0.4,0.47,2.31,4.0,3.0,5,5,3,6,1334,1347,74.4,89.7,0.287,0.364,0.475,51.6,61.3,9.3,5.9,0.44,18.9,31.1,0.2
266,San Jose State,19,6,13,0.316,-8.4,-1.79,1.0,6.0,3,4,3,8,1166,1191,68.8,89.2,0.236,0.365,0.496,49.8,56.3,14.0,10.8,0.47,23.8,33.7,0.164
267,Santa Clara,22,15,7,0.682,9.23,3.38,3.0,4.0,8,1,6,5,1526,1292,68.0,102.1,0.237,0.384,0.528,53.3,59.9,10.7,7.8,0.492,17.6,33.9,0.193
268,Seattle,18,1,17,0.056,-16.5,-1.22,1.0,8.0,1,7,0,10,1112,1387,73.4,82.4,0.251,0.375,0.452,47.4,55.5,12.5,7.7,0.423,22.4,32.9,0.167
269,Seton Hall,20,12,8,0.6,15.58,6.48,4.0,5.0,8,4,3,3,1299,1117,66.1,96.5,0.254,0.304,0.502,50.8,56.3,14.7,8.1,0.469,18.0,32.4,0.188
270,Siena,17,9,8,0.529,-7.5,-8.45,6.0,3.0,5,3,4,5,1119,1103,72.2,90.5,0.252,0.343,0.495,49.0,49.8,12.6,8.8,0.469,20.9,32.6,0.171
271,South Alabama,21,7,14,0.333,-13.55,-0.97,0.0,9.0,4,8,3,5,1253,1443,72.6,82.2,0.31,0.327,0.46,50.5,51.6,8.9,6.8,0.416,23.7,33.8,0.223
272,South Carolina,19,19,0,1.0,48.13,12.34,7.0,0.0,9,0,8,0,1710,1030,75.3,119.6,0.273,0.252,0.591,58.5,55.9,11.6,18.8,0.576,14.6,39.7,0.184
273,South Carolina State,20,1,19,0.05,-27.86,-8.36,0.0,4.0,1,5,0,13,997,1387,68.1,73.3,0.333,0.251,0.445,45.4,47.6,9.9,7.7,0.401,27.4,28.1,0.229
274,South Carolina Upstate,20,11,9,0.55,-16.75,-11.28,6.0,1.0,6,1,4,7,1189,1265,72.3,82.2,0.348,0.301,0.486,49.1,51.1,9.5,5.5,0.437,24.7,27.9,0.258
275,South Dakota,22,15,7,0.682,1.75,-0.14,4.0,3.0,9,2,4,3,1615,1424,69.9,103.3,0.322,0.426,0.558,54.1,67.6,9.8,6.7,0.522,19.9,33.9,0.242
276,South Dakota State,20,15,5,0.75,12.5,3.39,7.0,0.0,9,1,6,4,1412,1199,68.9,101.1,0.313,0.298,0.542,54.6,55.2,8.9,12.2,0.51,19.0,32.6,0.226
277,South Florida,21,12,9,0.571,7.83,3.4,4.0,4.0,9,3,1,3,1342,1249,67.6,93.9,0.252,0.359,0.478,52.3,62.1,7.6,10.6,0.44,17.8,34.1,0.19
278,Southeast Missouri State,19,6,13,0.316,-12.11,-4.4,3.0,5.0,5,3,1,10,1217,1288,74.7,85.8,0.311,0.26,0.469,45.8,49.5,13.2,6.7,0.424,19.7,27.9,0.228
279,Southeastern Louisiana,19,11,8,0.579,2.2,-0.39,7.0,1.0,6,3,5,3,1151,1048,69.0,87.3,0.269,0.202,0.458,48.3,45.7,12.4,8.4,0.426,16.4,25.6,0.18
280,Southern,21,6,15,0.286,-13.3,4.1,4.0,3.0,4,2,2,13,1170,1462,73.6,75.7,0.246,0.272,0.434,44.1,54.9,13.3,7.1,0.405,22.0,24.4,0.158
281,Southern California,18,14,4,0.778,28.46,14.79,4.0,4.0,10,1,1,3,1322,1076,71.3,103.0,0.292,0.352,0.529,50.5,58.0,12.4,14.8,0.498,15.2,29.3,0.209
282,Southern Illinois,19,7,12,0.368,-1.03,-0.14,2.0,7.0,5,6,0,5,1273,1290,74.4,89.5,0.331,0.257,0.473,49.6,59.4,15.5,7.1,0.432,19.0,32.7,0.23
283,SIU Edwardsville,21,3,18,0.143,-15.96,-4.31,0.0,8.0,3,7,0,11,1484,1649,75.8,93.3,0.326,0.367,0.513,47.5,62.8,8.3,7.5,0.468,20.6,29.2,0.248
284,Southern Indiana,18,13,5,0.722,-2.66,-4.79,8.0,0.0,10,2,3,3,1267,1136,72.9,96.6,0.264,0.351,0.522,52.5,51.4,10.7,6.7,0.494,19.8,31.5,0.187
285,Southern Methodist,20,10,10,0.5,6.17,2.62,4.0,5.0,8,5,2,3,1414,1343,73.2,95.3,0.359,0.232,0.509,49.6,58.9,11.9,8.6,0.472,17.8,28.8,0.248
286,Southern Mississippi,19,10,9,0.526,1.97,-1.42,3.0,6.0,8,3,2,5,1341,1238,72.2,97.7,0.266,0.236,0.513,53.2,51.5,9.8,7.5,0.477,19.4,36.3,0.203
287,Southern Utah,18,5,13,0.278,-8.58,-0.17,3.0,6.0,4,6,1,7,1202,1331,71.5,93.3,0.229,0.338,0.49,50.1,53.1,7.1,8.4,0.47,18.4,31.7,0.145
288,St. Bonaventure,20,4,16,0.2,-14.53,-4.23,1.0,8.0,3,5,1,11,1140,1346,68.3,83.5,0.256,0.371,0.472,47.6,49.5,8.8,4.4,0.441,21.2,25.9,0.178
289,St. John's (NY),22,13,9,0.591,8.62,5.66,7.0,3.0,8,2,5,4,1332,1267,63.1,94.4,0.283,0.291,0.507,48.8,53.0,10.8,6.5,0.473,18.8,30.7,0.206
290,St. Thomas,21,12,9,0.571,-5.04,-0.99,4.0,3.0,6,3,6,4,1431,1436,72.1,94.5,0.313,0.378,0.532,51.4,59.1,11.8,8.1,0.494,22.3,32.0,0.236
291,Stanford,21,19,2,0.905,37.96,14.24,8.0,1.0,12,0,5,2,1715,1217,69.7,116.5,0.264,0.35,0.566,60.5,61.4,8.3,10.8,0.529,14.5,41.7,0.215
292,Stephen F. Austin,20,13,7,0.65,-0.87,-0.81,7.0,2.0,8,2,5,4,1511,1367,75.8,97.9,0.299,0.372,0.515,50.7,60.7,14.1,7.8,0.478,18.0,31.7,0.221
293,Stetson,21,10,11,0.476,-10.18,-5.28,5.0,2.0,6,3,4,6,1229,1263,69.1,84.2,0.316,0.3,0.444,51.0,44.5,10.9,7.8,0.409,19.7,32.3,0.204
294,Stonehill,20,3,17,0.15,-27.84,-10.29,3.0,4.0,3,8,0,9,1023,1374,70.5,72.6,0.229,0.372,0.416,45.5,59.8,6.5,4.5,0.378,24.4,27.8,0.166
295,Stony Brook,18,16,2,0.889,10.42,-7.14,6.0,1.0,10,0,6,2,1365,1049,73.8,102.0,0.267,0.35,0.546,54.8,58.4,9.8,8.8,0.511,18.7,32.2,0.207
296,Syracuse,20,17,3,0.85,19.09,5.64,7.0,2.0,11,1,4,2,1552,1283,73.2,106.0,0.258,0.33,0.516,54.9,46.6,13.3,11.4,0.484,16.6,41.7,0.19
297,Tarleton State,18,5,13,0.278,-13.85,-5.14,2.0,7.0,1,6,4,7,1099,1179,71.1,85.9,0.267,0.334,0.466,49.1,57.0,8.6,12.0,0.433,18.8,26.7,0.183
298,TCU,20,15,5,0.75,19.72,4.5,2.0,5.0,13,1,0,4,1493,1166,68.9,108.4,0.254,0.435,0.565,54.0,66.5,8.7,14.2,0.54,17.1,33.3,0.187
299,Temple,20,11,9,0.55,8.05,0.5,5.0,3.0,6,5,4,3,1391,1240,71.5,96.7,0.219,0.281,0.467,51.4,54.0,13.8,9.2,0.437,16.0,39.6,0.157
300,Tennessee,19,12,7,0.632,19.23,13.07,5.0,2.0,8,2,3,3,1466,1349,75.2,101.9,0.312,0.346,0.526,54.0,56.1,7.0,5.7,0.488,18.1,36.0,0.233
301,Tennessee State,18,5,13,0.278,-17.43,-6.24,2.0,6.0,4,4,0,8,1120,1286,74.6,81.2,0.303,0.211,0.447,45.7,43.8,13.1,6.5,0.406,22.2,31.7,0.211
302,Tennessee Tech,19,9,10,0.474,-5.7,-4.53,4.0,4.0,4,4,4,5,1312,1244,70.4,97.5,0.314,0.366,0.513,51.3,69.0,13.8,10.2,0.473,18.8,34.0,0.233
303,Tennessee-Martin,19,7,12,0.368,-7.33,-3.11,4.0,4.0,4,6,3,6,1189,1237,68.9,90.2,0.319,0.32,0.521,50.4,56.2,13.0,9.9,0.478,24.2,29.9,0.243
304,Texas,22,19,3,0.864,37.84,10.07,6.0,3.0,11,2,5,1,1883,1272,74.0,115.7,0.351,0.183,0.567,59.0,52.1,13.5,11.4,0.537,15.9,44.6,0.249
305,Texas A&M,20,15,5,0.75,22.05,5.35,3.0,4.0,11,1,3,4,1439,1105,72.0,99.9,0.266,0.299,0.479,56.9,57.3,12.0,10.1,0.452,15.1,38.3,0.176
306,Texas A&M-Commerce,18,9,9,0.5,-11.48,-0.98,4.0,4.0,7,3,2,6,1231,1320,77.2,88.6,0.222,0.337,0.466,46.6,49.2,8.9,6.3,0.433,16.0,25.0,0.164
307,Texas A&M-Corpus Christi,19,14,5,0.737,-3.17,-5.17,7.0,1.0,9,2,5,3,1244,1049,72.5,89.7,0.401,0.332,0.474,52.1,62.5,15.4,10.1,0.426,19.5,32.0,0.278
308,Texas Southern,19,4,15,0.211,-21.57,-4.02,3.0,5.0,3,6,1,9,1095,1369,76.1,75.7,0.273,0.349,0.428,46.9,51.5,9.4,9.6,0.387,23.7,30.3,0.193
309,Texas State,21,11,10,0.524,-2.96,-4.32,2.0,7.0,5,4,4,6,1381,1275,70.3,93.0,0.313,0.295,0.495,50.3,51.3,11.6,5.6,0.451,19.9,33.7,0.235
310,Texas Tech,22,16,6,0.727,16.08,6.49,5.0,4.0,13,1,1,3,1517,1306,70.0,98.5,0.342,0.358,0.521,52.1,58.4,11.8,8.3,0.474,19.5,35.8,0.262
