Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
0.3125,Indiana-2022,1.357,1.6413,0.1859,1.3084,0.4977,0.8312,0.7391,1.0853,1.6001
0.625,Southern California-2022,1.2976,2.0443,-0.2979,1.3471,1.5092,1.161,1.8634,1.1926,0.9792
0.375,Iowa State-2022,1.3379,2.0443,-0.2496,1.3374,0.6029,1.4673,1.3014,0.9618,1.8804
0.5625,Boise State-2022,1.2855,0.7012,0.1956,1.4051,1.5437,1.5011,1.5824,1.3693,0.9944
0.375,Notre Dame-2022,1.2926,0.4324,1.2309,1.318,0.9506,1.2835,0.1768,1.383,0.9792
0.6875,Colorado State-2022,1.2509,2.0443,0.2246,1.3954,1.7619,2.0461,1.8634,1.3354,0.9944
0.5,Marquette-2022,1.2077,0.9454,1.0181,1.2503,0.5356,0.9566,1.5824,0.9618,1.5336
0.5,Creighton-2022,1.1737,0.9454,0.7181,1.2406,0.8349,1.7736,0.7391,1.0497,1.5336
0.4375,Miami (FL)-2022,1.1872,0.9454,1.3374,1.2793,1.0035,2.4421,0.5515,1.1171,0.9792
0.3125,UAB-2022,1.1292,0.9454,0.1085,1.26,1.5437,1.7736,1.3014,0.8756,0.2334
0.4375,Davidson-2022,1.1596,1.3117,-0.0367,1.289,1.6778,1.2835,2.4257,1.4173,0.5903
0.625,Murray State-2022,1.1002,1.1489,1.5986,1.4535,2.3416,2.9988,1.8634,1.4173,-0.8062
0.3125,Wyoming-2022,1.0443,1.3725,0.2633,1.1729,1.3407,0.7234,1.751,1.0853,0.9944
0.375,Rutgers-2022,0.9629,0.4324,-1.2849,0.96,0.3559,1.5506,1.3014,-0.0943,1.6001
0.25,Vermont-2022,0.9218,0.5791,0.8342,1.1922,1.8464,0.9566,-0.9475,1.178,-0.6267
0.3125,New Mexico State-2022,0.781,1.2384,1.0761,0.9794,1.6461,2.9988,1.0764,0.8417,-0.1556
0.3125,Richmond-2022,0.8129,0.8044,1.1535,0.9213,0.7815,1.5011,0.8926,0.8644,0.5903
0.25,South Dakota State-2022,0.7074,0.5791,1.0471,1.0858,2.035,-0.6768,1.751,1.2916,-0.5102
0.25,Chattanooga-2022,0.7541,0.9454,0.989,1.1245,1.5437,1.2835,1.751,0.8756,0.3657
0.125,Saint Peter's-2022,0.3961,-1.3136,1.7148,0.7181,0.6491,1.4237,0.7391,0.4518,0.1281
0.1875,Colgate-2022,0.1796,-0.9779,-0.7721,0.5343,0.8894,-0.6768,0.1768,0.4381,-0.9143
0.25,Akron-2022,0.1838,0.5332,-0.1528,0.5149,1.1721,-0.6768,1.5824,0.592,-0.2659
0.125,Delaware-2022,0.1102,0.7012,0.3891,0.4375,0.7259,-0.6768,0.1768,0.8756,-0.0368
0.125,Cal State Fullerton-2022,0.0621,-0.1539,-0.5398,0.2343,0.8944,-0.6768,0.4018,0.5024,-0.3734
0.1875,Yale-2022,0.0678,-0.4355,1.4535,0.2923,0.6491,-0.6768,2.4257,0.4518,-0.4336
0.125,Jacksonville State-2022,0.0918,-0.1539,0.002,0.302,0.8944,-0.6768,0.7391,0.4205,-0.9126
0.1875,Montana State-2022,0.0416,0.7012,0.302,0.4955,1.5437,-0.6768,0.1768,1.0085,-0.768
0.1875,Longwood-2022,0.0713,-0.1946,-1.1688,0.4665,1.6461,-0.6768,0.7391,0.9352,-1.0849
0.0625,Georgia State-2022,-0.0171,-0.4742,-0.6656,0.2053,0.7025,-0.6768,0.7391,0.0619,-0.1184
0.0625,Wright State-2022,-0.1459,-0.9779,0.7761,-0.0657,0.5617,-0.6768,-0.9475,0.1468,-1.2762
0.0625,Texas Southern-2022,-0.2669,-1.09,1.1245,-0.1624,0.4638,-0.6768,-0.1042,0.4205,-2.1971
0.0625,Norfolk State-2022,-0.3051,0.4324,-0.9753,0.0988,1.5766,-0.6768,0.7391,0.9065,-1.35
0.0625,Bryant-2022,-0.4183,-0.7765,-0.6366,-0.2495,1.0742,-0.6768,-0.9475,0.6684,-1.2582
0.0625,Texas A&M-Corpus Christi-2022,-0.5974,0.8044,-1.7204,-0.6172,0.8894,-0.6768,-0.9475,0.1425,-1.2132
1.0,South Carolina-2022,3.0788,1.971,1.7046,1.7279,2.1114,3.9039,2.2453,1.4389,1.8877
1.0,NC State-2022,2.7749,1.2733,1.6754,1.7181,1.9667,3.1636,2.2453,1.4389,1.5543
1.0,Stanford-2022,2.6533,1.0116,1.7143,1.7084,1.9519,3.2844,2.2453,1.4389,1.5032
0.9375,Connecticut-2022,2.5797,0.4359,1.724,1.6986,1.6067,2.8772,1.8577,1.4389,0.4468
1.0,Louisville-2022,2.3935,1.6221,1.4712,1.6889,1.7489,2.7875,2.2453,1.4389,1.5543
0.75,North Carolina-2022,2.2713,1.971,0.9266,1.6791,1.4082,1.4685,2.2453,1.4389,1.5543
0.9375,Texas-2022,2.2195,1.6221,1.3934,1.6694,1.504,2.8772,1.7283,1.1409,1.6496
0.9375,Baylor-2022,2.239,1.3312,0.6056,1.6596,1.5322,2.0365,2.2453,1.4389,1.6496
0.875,Iowa State-2022,2.0249,1.6513,1.4906,1.6401,1.504,1.8743,2.2453,1.4389,1.6496
0.9375,Iowa-2022,1.9585,0.6919,1.1405,1.6011,1.2779,2.28,1.47,1.1162,1.1086
0.8125,Maryland-2022,1.987,0.9245,1.6949,1.6206,1.0675,1.1782,2.2453,1.4389,1.1086
0.75,Notre Dame-2022,1.915,1.2733,1.1114,1.5913,1.1129,1.8743,1.47,1.4389,1.5543
0.75,Oregon-2022,1.7093,0.5756,1.5684,1.6108,0.6779,1.5265,0.6947,1.0867,1.5032
0.6875,Brigham Young-2022,1.6953,1.6221,0.4403,1.6303,1.9193,1.8743,1.9008,1.4389,0.5336
0.8125,Tennessee-2022,1.9161,1.3807,1.6365,1.5523,1.1554,1.7121,2.2453,1.0084,1.8877
0.75,Virginia Tech-2022,1.9942,0.9245,0.8488,1.6499,1.0413,0.2509,2.2453,1.4389,1.5543
0.875,Indiana-2022,1.905,1.2034,1.6462,1.5621,1.1129,1.3872,2.2453,1.4389,1.1086
0.875,Michigan-2022,1.8693,1.5872,1.5976,1.5718,1.3717,2.4364,1.2117,1.4389,1.1086
0.8125,Arizona-2022,1.7628,1.971,0.8877,1.5231,1.1495,0.8305,1.6815,1.0867,1.5032
0.5625,Nebraska-2022,1.6792,1.971,0.7418,1.5133,1.1954,0.9001,1.6251,1.2235,1.1086
0.875,Louisiana State-2022,1.7829,1.6758,0.2166,1.5036,1.6067,1.8743,2.2453,1.4389,1.8877
0.6875,Ohio State-2022,1.6256,1.5446,0.8001,1.4743,1.4082,1.3872,2.2453,1.1967,1.1086
0.625,Central Florida-2022,1.8598,1.2034,1.5393,1.5816,1.901,2.8484,2.2453,1.1623,0.9753
0.625,Utah-2022,1.5872,1.0116,1.0336,1.4645,0.6779,0.9376,1.0824,1.4389,1.5032
0.625,Mississippi-2022,1.6909,1.6758,-0.1237,1.4938,1.1554,1.4685,1.2117,1.4389,1.8877
0.6875,Georgia-2022,1.7193,1.6513,1.2378,1.4548,0.8977,2.0618,1.0824,1.0515,1.8877
0.5,Gonzaga-2022,1.4327,0.7901,1.6268,1.5328,1.504,1.2654,1.8022,1.2351,0.5336
0.8125,Oklahoma-2022,1.5509,1.6513,1.2572,1.3865,1.1954,1.8743,1.8577,1.1162,1.6496
0.625,Colorado-2022,1.5676,1.971,-0.0848,1.4255,1.1129,0.6566,1.0824,1.4389,1.5032
0.4375,Arkansas-2022,1.5972,1.0853,1.16,1.406,0.3589,0.5631,0.6947,1.4389,1.8877
0.4375,Creighton-2022,1.6089,0.5319,1.6657,1.4353,0.8977,1.8743,0.6947,1.4389,0.4468
0.6875,Kentucky-2022,1.6234,0.8197,0.946,1.3963,0.6192,1.7121,-0.0806,1.1162,1.8877
0.5625,Kansas-2022,1.5297,1.5872,0.3625,1.3768,0.8977,0.2509,2.2453,1.4389,1.6496
0.5,Georgia Tech-2022,1.6518,1.2733,0.061,1.4158,0.8369,1.0623,0.4733,1.1967,1.5543
0.5,Kansas State-2022,1.5108,1.3312,1.1697,1.367,0.5184,0.7379,1.47,1.1623,1.6496
0.4375,South Dakota-2022,1.523,0.4359,1.4128,1.484,1.6586,1.8743,1.2117,1.4389,-0.1775
0.375,Princeton-2022,1.5403,0.6919,1.6851,1.5426,1.7242,2.1451,1.8022,1.4389,-0.1441
0.5625,Miami (FL)-2022,1.3535,0.8197,1.267,1.3475,0.5782,0.7379,2.2453,0.9224,1.5543
0.375,DePaul-2022,1.1444,0.9245,0.7807,1.1719,0.8868,0.9001,0.4733,1.4389,0.4468
0.375,Florida State-2022,1.218,0.4359,-0.0654,1.2012,0.2903,-0.1184,1.2117,0.8852,1.5543
0.5,South Florida-2022,1.2699,0.8746,1.5004,1.328,1.1954,1.0623,1.8022,1.4389,0.9753
0.375,Missouri State-2022,1.1383,1.2034,1.4809,1.3085,1.3149,1.3872,1.6251,0.7551,0.0448
0.4375,Florida-2022,1.2297,1.0853,0.9849,1.2695,0.8369,1.6868,0.9162,1.1162,1.8877
0.3125,Florida Gulf Coast-2022,1.1154,1.5446,1.6171,1.3573,2.1114,2.3614,2.2453,1.2545,-0.241
0.5625,Washington State-2022,1.0702,1.2034,1.2183,1.1622,0.7273,1.0623,0.3846,1.4389,1.5032
0.375,Dayton-2022,1.1751,1.0116,0.0999,1.3182,1.6067,1.8743,1.9352,0.9546,0.6816
0.3125,Belmont-2022,1.116,-0.1612,1.2864,1.2987,1.2379,0.8305,2.2453,0.9337,-0.6879
0.3125,Massachusetts-2022,1.0513,1.4226,0.9947,1.289,1.504,1.8743,1.0824,1.4389,0.6816
0.25,Buffalo-2022,0.9113,0.4359,1.5587,1.1134,1.2329,-0.5611,2.2453,0.9546,0.2512
0.3125,Stephen F. Austin-2022,0.8968,0.8197,0.2361,1.1427,1.8126,-0.5611,1.0048,1.2773,-0.4026
0.375,Villanova-2022,0.9487,0.6919,1.5198,1.0549,1.1554,0.9001,2.2453,0.9546,0.4468
0.25,IUPUI-2022,0.9303,0.4359,1.2281,1.0647,1.7242,1.0623,0.6947,1.1162,-0.6454
0.25,Nevada-Las Vegas-2022,0.6883,0.9245,0.0221,1.0061,1.504,-0.5611,-0.8559,1.0383,-0.0329
0.1875,Charlotte-2022,0.589,-0.3316,1.0822,0.8403,0.9964,-0.5611,0.6947,0.9337,0.4916
0.1875,Jackson State-2022,0.5834,-0.9072,1.0044,0.9086,1.4082,-0.5611,-0.8559,1.4389,-2.1191
0.25,Delaware-2022,0.3543,0.2656,0.3917,0.7818,1.3149,1.0623,1.0824,1.2111,0.3759
0.1875,UT Arlington-2022,0.3933,0.6919,1.5295,0.5477,1.1495,1.8743,1.6251,0.4192,-0.1214
0.125,Illinois State-2022,0.1736,-0.7153,-0.4155,0.5185,0.4241,0.6566,0.1778,0.2061,0.0448
0.125,Fairfield-2022,0.2818,-0.4275,1.2767,0.7428,1.4744,-0.5611,2.2453,0.974,-0.7491
0.125,Mercer-2022,0.2801,0.3719,1.0725,0.538,1.4082,-0.5611,-0.8559,1.1289,-1.2566
0.125,Hawaii-2022,0.0576,-0.3316,0.9071,0.1576,0.8977,-0.5611,-0.8559,0.793,-0.6425
0.0625,Montana State-2022,-0.0104,-0.5875,1.3059,0.1479,0.6873,-0.5611,-0.8559,0.4343,-0.8036
0.1875,American-2022,-0.1598,0.8197,-0.7851,-0.057,1.1554,-0.5611,0.4733,0.9337,-0.0369
0.0625,Albany (NY)-2022,-0.1911,0.4359,-1.5339,-0.0179,1.0413,-0.5611,-0.0806,0.6939,-0.7361
0.0625,Longwood-2022,-0.2463,-0.8201,1.3156,-0.1545,0.7322,-0.5611,-0.8559,0.5036,-1.1631
0.0625,Mount St. Mary's-2022,-0.7119,-1.3869,0.6737,-0.6324,0.3135,-0.5611,-0.8559,-0.014,-1.2686
0.0625,Howard-2022,-0.7074,-0.1224,-0.2891,-0.7592,0.8977,-0.5611,-0.8559,0.664,-1.4472
0.0625,Incarnate Word-2022,-0.8831,-1.0139,-1.106,-1.3054,-0.2943,-0.5611,-0.8559,-0.9132,-1.5101
1.0,Alabama-2023,2.4119,1.1483,1.7151,1.7177,1.9896,2.9749,1.9764,1.741,1.4122
0.8125,Connecticut-2023,2.4206,2.1246,1.5814,1.6603,1.424,2.2853,1.9764,1.4546,1.1229
1.0,Houston-2023,2.4878,1.7993,1.5433,1.7273,2.3392,2.9446,2.3446,1.5119,0.7228
0.9375,UCLA-2023,2.374,1.3555,1.381,1.7081,1.9896,1.6342,1.9764,1.741,0.8202
0.8125,Tennessee-2023,2.285,1.474,1.6292,1.6986,1.0643,1.9192,1.1018,1.4139,1.4122
0.9375,Texas-2023,2.1894,1.474,1.152,1.6699,1.4661,2.2397,1.7921,1.741,2.0132
1.0,Kansas-2023,2.0107,1.7993,1.4765,1.6507,1.6406,2.5939,1.9303,1.741,2.0132
0.9375,Arizona-2023,1.953,2.1246,1.5623,1.6411,1.8151,3.9131,0.9242,1.0176,0.8202
0.875,Gonzaga-2023,1.9888,1.2181,1.7055,1.6794,1.9635,2.3463,2.3446,1.4546,0.6985
1.0,Purdue-2023,2.0347,2.1246,0.8847,1.689,1.9896,2.7739,2.3446,1.1683,1.5693
0.6875,Creighton-2023,1.9144,0.2019,1.6482,1.5742,0.7046,1.1866,1.019,1.232,1.1229
0.75,Saint Mary's (CA)-2023,1.9545,0.916,1.6864,1.6316,1.6038,2.6186,1.3978,1.1683,0.6985
0.875,Baylor-2023,1.8195,1.474,1.4478,1.5933,1.0079,1.9192,1.1018,1.741,2.0132
0.9375,Marquette-2023,1.8122,0.971,0.2071,1.622,1.8151,2.1525,1.3978,1.741,1.1229
0.875,Xavier-2023,1.6605,0.971,1.6101,1.5263,1.2916,1.7219,2.3446,0.9324,1.1229
0.5625,Arkansas-2023,1.6955,1.474,1.696,1.5359,0.5247,0.9579,1.24,1.4139,1.4122
