,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,,Updated February  20,Updated February  20,Average Seed,Average Seed,,ESPN,CBS,131,5Star,AHB,AMA,Board,BoB,Brodd,BU,BV,Calm,CD,Dom,FOX,Hall,Hark,HM,INCC,Jeff,JNG,Katz,Liker,Lobo,Logo,MM24,Mon,MtM,Prop,PS,RFS,RM,SBN,SI,Skar,T3,U-State,USAT,Venom,VO,WA,WAG,Zac,,4and24,AA,ACC,B12,Bauer,BBP,BKS,BR-KM,brac,Brad,Clutch,Cox,CPI,CS,CST,F&B,GDB,Guru,Heart,HHD,Hind,Ivar,Jake,jMorr,JSch,JW,KHB,Kyle,Made,MB,Mill,MSB,NP,Oak,Pi,Proj,Roto,RWX,SDMN,SN,Stad,TRR,TSB,TSN,TSR,WR,Benz,CSM,D2S,HHD-JT,JH,JSB,Selje,MJ,17th,AnB,Ath,Busky,Delphi,HBC,Meyer,PW,S64,Sluder,Updates,
1,,,,# of Brackets,# of Brackets,,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2//20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,2/20,,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/19,2/18,2/18,2/18,2/18,2/18,2/18,2/18,2/17,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,2/16,
10,2.0,Kansas,Big 12,2.11,108,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,Kansas,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,3,Kansas
11,3.0,Iowa State,Big 12,2.90,108,,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,Iowa State,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,Iowa State
12,3.0,Baylor,Big 12,2.95,108,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,Baylor,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,Baylor
13,3.0,Alabama,SEC,2.96,108,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,Alabama,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,2,4,3,3,Alabama
14,3.0,Duke,ACC,3.14,108,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,Duke,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,3,4,4,Duke
15,4.0,Auburn,SEC,3.93,108,,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,Auburn,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,3,Auburn
16,4.0,Illinois,Big Ten,4.00,108,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,Illinois,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,Illinois
17,4.0,San Diego State,Mountain West,4.15,108,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,San Diego State,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,5,5,4,6,5,5,6,5,5,5,5,San Diego State
18,4.0,Creighton,Big East,4.20,108,,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,4,Creighton,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,4,5,4,4,4,5,5,4,4,5,5,4,4,5,4,4,4,5,5,5,4,5,4,5,4,3,6,4,4,4,Creighton
19,5.0,Wisconsin,Big Ten,4.80,108,,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Wisconsin,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,6,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,4,5,5,6,4,4,4,4,4,4,4,4,4,3,4,4,Wisconsin
