Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
330,Alabama State,SWAC,11,19,57.9,66.4,-8.47,-9.63,-12.35,-8.42,-20.76,39.99,58.27,-18.28
331,Eastern Kentucky,OVC,2,27,54.5,68.4,-13.9,-0.36,-13.07,-8.14,-21.21,37.63,59.74,-22.11
332,Wagner,NEC,10,20,63.5,69.2,-5.7,-12.77,-8.17,-13.46,-21.63,45.47,68.35,-22.88
333,Iona,MAAC,5,26,47.1,63.3,-16.19,-5.73,-18.77,-3.16,-21.93,35.75,61.71,-25.96
334,Coppin State,MEAC,5,25,57.2,67.1,-9.93,-7.24,-10.46,-11.52,-21.98,41.87,61.04,-19.17
335,Lipscomb,A-Sun,4,25,53.7,71.8,-18.14,-4.3,-13.46,-8.98,-22.44,39.18,63.35,-24.17
336,South Carolina Upstate,Big South,7,23,62.4,65.0,-2.6,-10.7,-8.38,-14.13,-22.52,37.97,57.93,-19.97
337,Incarnate Word,Southland,5,24,57.0,73.2,-16.24,-4.06,-9.96,-12.61,-22.58,40.42,60.78,-20.36
338,Longwood,Big South,3,27,59.4,73.5,-14.1,-8.54,-9.34,-13.3,-22.64,43.66,67.25,-23.6
339,Delaware State,MEAC,7,21,60.1,65.3,-5.21,-10.04,-8.43,-14.99,-23.42,42.03,63.59,-21.56
340,McNeese State,Southland,7,22,35.0,,,-7.92,-7.08,-16.95,-24.03,,,
341,North Carolina Central,MEAC,9,22,59.6,64.7,-5.1,-12.6,-10.98,-13.12,-24.1,37.55,59.82,-22.27
342,Saint Peter's,MAAC,6,24,56.3,68.7,-12.47,-11.68,-12.61,-11.53,-24.15,40.07,67.94,-27.87
343,Fairleigh Dickinson,NEC,8,22,57.6,62.0,-4.33,-13.58,-16.16,-8.03,-24.19,37.66,63.33,-25.66
344,Western Carolina,Southern,4,26,53.6,66.1,-12.43,-6.65,-14.8,-9.96,-24.76,35.3,60.82,-25.52
345,Mississippi Valley State,SWAC,6,24,61.4,74.7,-13.37,-11.91,-8.74,-16.54,-25.28,42.27,66.99,-24.72
346,Florida A&M,MEAC,4,25,51.4,61.5,-10.07,-9.62,-18.22,-8.22,-26.45,29.54,54.59,-25.04
347,Savannah State,MEAC,7,19,34.2,,,-12.94,-12.65,-14.83,-27.48,,,
348,Long Island University,NEC,4,25,56.0,70.8,-14.79,-12.93,-14.57,-13.08,-27.65,38.29,70.2,-31.92
349,Alcorn State,SWAC,4,26,57.1,65.3,-8.17,-14.02,-14.34,-15.57,-29.91,32.86,60.83,-27.97
350,Arkansas-Pine Bluff,SWAC,5,20,51.4,58.0,-6.64,-13.17,-21.04,-11.27,-32.31,22.32,50.44,-28.13
351,Chicago State,WAC,2,28,55.5,85.0,-29.43,-6.09,-13.87,-21.65,-35.52,32.17,71.34,-39.17
