Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
162,Illinois State,MVC,19,12,62.5,59.8,2.61,-1.44,-4.55,3.78,-0.77,55.1,50.81,4.29
163,Charlotte,CUSA,18,13,61.5,61.0,0.58,-1.54,-3.38,2.49,-0.89,58.72,53.36,5.35
164,Eastern Michigan,MAC,14,17,62.7,63.9,-1.19,2.06,-2.08,1.14,-0.94,51.52,47.35,4.17
165,UC Riverside,Big West,17,16,61.9,62.4,-0.45,-0.55,-2.32,1.31,-1.0,51.04,48.9,2.15
166,Santa Clara,WCC,14,17,64.1,59.7,4.42,3.73,-2.15,1.04,-1.11,44.58,44.83,-0.25
167,Bradley,MVC,20,10,70.8,65.0,5.77,-4.26,2.76,-3.91,-1.16,54.71,51.47,3.24
168,Southern Methodist,AAC,11,19,55.4,58.7,-3.33,2.14,-7.22,6.03,-1.19,47.49,42.97,4.52
169,Tulsa,AAC,13,18,57.8,63.4,-5.55,4.34,-3.61,2.4,-1.21,52.11,47.48,4.63
170,Dartmouth,Ivy,13,14,61.2,56.4,4.74,-3.08,-4.79,3.56,-1.22,54.14,49.39,4.75
171,South Alabama,Sun Belt,25,11,68.0,60.5,7.44,-4.2,-0.73,-0.65,-1.38,50.78,46.55,4.22
172,San Diego State,MWC,14,18,32.3,,,0.9,0.59,-2.15,-1.57,,,
173,Towson,CAA,20,13,67.2,67.2,-0.03,-1.7,2.96,-4.7,-1.73,56.76,52.45,4.31
174,Appalachian State,Sun Belt,22,14,68.5,67.7,0.75,-2.68,1.97,-3.9,-1.93,57.33,53.49,3.84
175,Tennessee Tech,OVC,22,11,69.6,60.6,9.03,-5.65,0.81,-2.91,-2.1,56.69,53.18,3.51
176,Montana State,Big Sky,16,15,65.2,64.9,0.32,-0.34,-0.56,-1.59,-2.14,54.6,53.3,1.3
177,Abilene Christian,Southland,23,10,73.2,57.1,16.06,-6.48,2.81,-5.08,-2.27,54.19,51.66,2.53
178,Delaware,CAA,16,15,61.5,60.8,0.65,-2.93,-4.62,2.34,-2.28,51.09,47.48,3.6
179,Southern Mississippi,CUSA,18,14,63.2,56.4,6.75,-4.4,-5.85,3.39,-2.46,51.28,47.86,3.42
180,Stony Brook,AEC,23,8,65.1,55.2,9.97,-10.09,-2.66,-0.03,-2.69,59.07,55.68,3.39
181,California Baptist,WAC,18,12,79.4,61.2,18.13,-8.42,7.36,-10.13,-2.77,46.49,44.93,1.56
182,New Mexico State,WAC,26,7,72.1,61.3,10.76,-8.74,0.48,-3.28,-2.8,49.29,47.91,1.38
183,Portland,WCC,13,17,74.0,68.4,5.6,2.42,8.61,-11.4,-2.8,51.06,52.74,-1.68
184,Ball State,MAC,8,23,64.1,69.7,-5.61,6.24,0.2,-3.05,-2.86,52.55,51.01,1.54
185,Kansas City,WAC,16,15,76.0,65.9,10.03,-7.22,5.64,-8.69,-3.05,55.54,54.84,0.71
186,North Alabama,A-Sun,21,9,71.0,54.4,16.63,-8.94,0.29,-3.35,-3.05,45.34,43.48,1.85
187,UNC Wilmington,CAA,18,12,65.6,60.4,5.23,-3.5,-1.29,-1.82,-3.11,54.98,52.6,2.38
188,Chattanooga,Southern,14,17,62.0,62.5,-0.52,-0.6,-3.75,0.59,-3.16,52.35,50.46,1.89
189,Wichita State,AAC,12,18,56.9,60.0,-3.13,1.55,-6.88,3.63,-3.25,49.91,48.11,1.79
190,George Mason,A-10,16,14,64.6,63.3,1.3,-4.68,-1.28,-2.1,-3.38,57.43,56.06,1.38
191,Robert Morris,NEC,22,11,62.0,53.7,8.36,-10.0,-9.51,5.85,-3.66,48.45,46.77,1.68
192,East Carolina,AAC,16,15,61.2,64.7,-3.55,-0.13,-1.86,-1.82,-3.68,51.21,49.58,1.63
193,UC Irvine,Big West,20,11,66.8,64.4,2.42,-2.68,0.51,-4.2,-3.68,51.55,52.76,-1.21
194,Cornell,Ivy,12,14,58.0,59.1,-1.12,-2.6,-8.11,4.4,-3.71,49.02,48.64,0.38
195,San Francisco,WCC,7,24,64.9,68.3,-3.39,3.4,-0.81,-3.15,-3.96,50.07,53.05,-2.98
196,High Point,Big South,22,9,72.8,62.8,9.94,-8.12,3.37,-7.35,-3.98,53.55,51.72,1.84
197,William & Mary,CAA,15,16,65.0,65.2,-0.26,-3.85,-0.14,-3.97,-4.11,58.7,57.42,1.28
198,Bowling Green State,MAC,9,21,68.9,73.4,-4.43,2.61,4.92,-9.14,-4.22,57.72,57.59,0.12
199,Massachusetts,A-10,16,16,63.0,61.7,1.34,-5.68,-3.46,-0.88,-4.34,56.23,55.88,0.35
200,Georgia State,Sun Belt,17,14,63.3,63.4,-0.1,-4.29,-3.73,-0.66,-4.39,52.96,52.42,0.54
201,Columbia,Ivy,8,19,64.9,68.6,-3.7,-0.7,-0.22,-4.18,-4.4,57.65,57.81,-0.16
202,Marshall,CUSA,17,15,67.3,65.3,1.97,-4.09,-0.77,-3.94,-4.7,53.78,53.99,-0.21
203,Northern Kentucky,Horizon,11,18,58.7,61.0,-2.31,0.14,-5.71,0.85,-4.86,51.63,53.1,-1.47
204,Coastal Carolina,Sun Belt,17,15,71.2,63.3,7.88,-4.83,0.17,-5.07,-4.9,51.76,51.92,-0.17
205,Texas State,Sun Belt,14,17,62.5,59.9,2.55,-1.42,-5.8,0.87,-4.93,50.39,51.14,-0.76
206,Liberty,A-Sun,16,16,62.2,60.0,2.19,-5.25,-4.8,-0.16,-4.96,52.2,52.7,-0.51
207,Sam Houston,Southland,16,13,74.5,60.0,14.52,-6.86,3.51,-8.6,-5.09,46.91,46.03,0.88
208,Saint Joseph's,A-10,12,19,53.7,57.0,-3.26,-1.87,-9.84,4.71,-5.12,51.77,53.35,-1.58
209,George Washington,A-10,10,20,51.3,57.4,-6.1,0.77,-11.74,6.42,-5.33,47.91,50.87,-2.96
210,Furman,Southern,19,14,64.6,60.1,4.55,-5.62,-3.71,-1.75,-5.46,52.77,52.71,0.06
211,Jacksonville State,OVC,15,15,59.8,57.4,2.47,-5.13,-9.74,4.27,-5.47,43.81,44.86,-1.06
212,Boston University,Patriot,15,14,58.9,59.1,-0.21,-5.39,-8.02,2.42,-5.59,55.7,57.43,-1.73
213,Montana,Big Sky,14,16,65.5,67.1,-1.53,-0.96,-2.21,-3.44,-5.65,52.25,56.16,-3.91
214,Western Michigan,MAC,10,20,61.8,65.0,-3.23,0.2,-4.5,-1.23,-5.73,53.28,55.9,-2.62
215,Colorado State,MWC,8,22,54.7,58.1,-3.43,3.76,-10.56,4.82,-5.74,43.86,49.95,-6.09
216,Stetson,A-Sun,16,16,61.0,57.6,3.38,-4.01,-6.49,0.72,-5.78,51.87,53.64,-1.78
217,Northern Arizona,Big Sky,13,18,68.2,72.9,-4.65,-1.51,1.22,-7.37,-6.16,53.14,57.47,-4.34
218,Eastern Washington,Big Sky,13,20,63.1,67.9,-4.82,0.59,-2.9,-3.54,-6.44,50.13,55.59,-5.47
219,Western Illinois,Summit,12,18,75.5,74.7,0.83,0.39,7.18,-13.65,-6.46,52.64,55.44,-2.8
220,Memphis,AAC,11,20,57.1,64.5,-7.45,0.98,-6.29,-0.19,-6.47,48.54,51.08,-2.54
221,Arkansas State,Sun Belt,12,18,67.7,72.6,-4.97,-1.53,1.7,-8.2,-6.5,56.29,59.06,-2.77
222,East Tennessee State,Southern,10,21,67.8,72.4,-4.52,-2.06,1.33,-7.91,-6.58,52.71,54.7,-2.0
223,Cal State Fullerton,Big West,14,16,62.6,62.9,-0.3,-3.68,-3.89,-2.75,-6.64,47.2,52.5,-5.31
224,Air Force,MWC,8,22,60.1,65.3,-5.13,1.1,-5.18,-1.51,-6.69,38.25,43.9,-5.65
225,Loyola (IL),MVC,13,18,62.3,66.2,-3.94,-2.76,-5.24,-1.45,-6.69,51.09,55.16,-4.06
226,North Carolina A&T,MEAC,20,12,59.9,48.8,11.13,-12.63,-9.71,2.98,-6.73,41.59,42.12,-0.53
227,Cleveland State,Horizon,10,20,64.4,60.9,3.5,-0.72,-1.73,-5.06,-6.79,45.22,49.18,-3.96
228,UNC Asheville,Big South,17,15,60.3,55.4,4.91,-8.98,-9.94,3.06,-6.88,49.41,51.5,-2.09
229,Indiana State,MVC,11,19,62.9,65.0,-2.1,-2.18,-4.01,-3.07,-7.08,48.02,52.84,-4.82
230,Austin Peay,OVC,15,15,69.1,62.4,6.63,-7.49,-2.26,-4.91,-7.17,53.69,57.28,-3.59
231,Holy Cross,Patriot,18,13,63.4,63.1,0.26,-7.53,-3.31,-3.97,-7.27,55.09,59.54,-4.46
232,Texas-Rio Grande Valley,WAC,18,15,63.6,58.7,4.88,-7.48,-6.35,-0.97,-7.32,48.1,51.44,-3.34
233,Long Beach State,Big West,9,22,56.0,62.5,-6.52,1.04,-8.08,0.66,-7.41,44.05,50.4,-6.35
234,Southeast Missouri State,OVC,13,17,63.9,61.7,2.27,-4.26,-5.73,-1.88,-7.62,47.99,52.03,-4.05
235,North Dakota,Summit,12,19,65.6,71.4,-5.74,0.98,-1.68,-6.07,-7.75,49.36,54.7,-5.34
236,Rider,MAAC,19,13,62.1,62.2,-0.03,-7.78,-4.26,-3.55,-7.81,53.64,58.15,-4.51
237,San Diego,WCC,9,21,69.3,69.5,-0.23,2.73,-3.73,-4.36,-8.1,,,
238,Nicholls State,Southland,20,12,68.3,58.3,10.0,-8.91,-1.5,-6.61,-8.11,48.87,51.52,-2.65
239,Murray State,OVC,13,17,69.1,66.0,3.03,-4.54,-1.26,-7.13,-8.4,51.92,57.06,-5.14
240,Sacred Heart,NEC,19,13,63.7,60.8,2.97,-11.53,-6.76,-1.8,-8.56,52.52,57.38,-4.87
241,SIU Edwardsville,OVC,13,16,61.5,62.5,-0.97,-5.43,-6.97,-1.74,-8.71,47.77,53.83,-6.07
242,Jacksonville,A-Sun,14,16,65.7,56.9,8.8,-6.47,-4.81,-4.33,-9.13,43.36,48.03,-4.66
243,UTEP,CUSA,9,22,58.5,65.5,-6.9,-2.27,-8.05,-1.12,-9.17,52.03,59.96,-7.94
244,Maryland-Eastern Shore,MEAC,17,14,65.0,57.0,8.0,-10.91,-5.68,-3.78,-9.46,47.18,52.48,-5.3
245,Campbell,Big South,23,13,59.5,54.1,5.47,-10.73,-12.18,2.6,-9.59,43.09,48.33,-5.24
246,Hampton,Big South,16,14,69.0,65.8,3.23,-9.03,-0.48,-9.17,-9.65,51.93,57.58,-5.66
247,Prairie View,SWAC,17,14,67.6,60.2,7.42,-10.16,-4.65,-5.24,-9.89,44.82,48.84,-4.02
248,Rhode Island,A-10,8,21,60.0,69.4,-9.41,-0.6,-4.11,-5.9,-10.01,49.08,56.61,-7.53
249,St. Bonaventure,A-10,8,22,57.2,66.0,-8.87,-1.15,-7.86,-2.16,-10.02,49.12,57.6,-8.47
250,Wofford,Southern,16,15,72.8,63.6,9.26,-8.75,0.29,-10.32,-10.04,49.28,55.39,-6.11
251,UC Santa Barbara,Big West,8,22,55.7,64.9,-9.2,-0.88,-9.18,-0.91,-10.08,45.27,56.32,-11.05
252,San Jose State,MWC,6,24,63.9,71.1,-7.17,2.39,0.25,-10.41,-10.16,41.72,51.5,-9.78
253,Cal State Bakersfield,WAC,14,17,63.4,59.8,3.58,-8.3,-7.39,-2.78,-10.17,43.05,50.79,-7.74
254,North Florida,A-Sun,15,14,65.2,62.4,2.83,-7.22,-3.11,-7.22,-10.33,49.2,56.0,-6.8
255,Elon,CAA,9,21,62.2,67.1,-4.97,-2.18,-4.5,-5.85,-10.35,50.4,58.5,-8.1
256,Colgate,Patriot,12,17,64.3,67.8,-3.45,-7.16,-1.6,-9.0,-10.61,52.45,60.9,-8.45
257,St. Francis (NY),NEC,18,13,75.1,68.9,6.19,-13.63,2.55,-13.25,-10.7,55.52,63.65,-8.13
258,Cal Poly,Big West,6,21,59.7,67.4,-7.7,0.55,-5.78,-5.02,-10.8,43.07,53.84,-10.77
259,Norfolk State,MEAC,17,15,59.8,51.5,8.31,-12.83,-12.22,1.39,-10.83,41.3,48.62,-7.33
260,Sacramento State,Big Sky,10,19,69.1,74.8,-5.72,-1.87,1.03,-11.9,-10.87,46.27,55.94,-9.67
261,Howard,MEAC,18,13,71.1,66.1,5.03,-13.66,1.47,-12.36,-10.89,49.34,57.23,-7.88
262,Texas A&M-Corpus Christi,Southland,17,16,62.7,53.5,9.27,-9.38,-9.75,-1.14,-10.89,39.2,45.04,-5.84
263,UNC Greensboro,Southern,11,19,63.7,56.9,6.8,-6.56,-7.35,-3.6,-10.94,44.82,52.25,-7.43
264,Kennesaw State,A-Sun,9,22,61.4,64.5,-3.06,-5.33,-6.35,-4.82,-11.17,47.44,56.3,-8.87
265,Hofstra,CAA,11,22,59.2,64.0,-4.85,-3.82,-7.47,-3.75,-11.23,47.84,56.4,-8.56
266,Louisiana,Sun Belt,7,23,61.9,66.3,-4.37,-2.34,-4.95,-6.33,-11.27,46.91,54.75,-7.84
267,Southern Utah,Big Sky,8,23,61.9,69.8,-7.84,-1.52,-5.56,-5.7,-11.27,45.6,58.04,-12.44
268,Navy,Patriot,10,19,53.4,56.6,-3.17,-5.14,-12.7,1.38,-11.32,40.42,50.55,-10.13
269,Army,Patriot,11,19,56.6,58.7,-2.07,-6.68,-10.69,-0.68,-11.37,47.41,57.75,-10.34
270,Central Arkansas,Southland,12,18,61.5,53.6,7.9,-7.73,-10.86,-0.56,-11.42,41.66,48.58,-6.92
271,Albany (NY),AEC,13,18,55.3,59.3,-4.03,-7.46,-10.84,-0.66,-11.5,48.32,58.5,-10.18
272,Bethune-Cookman,MEAC,21,11,62.5,56.4,6.03,-11.72,-8.11,-3.64,-11.75,43.39,51.4,-8.01
273,Binghamton,AEC,12,18,59.6,60.1,-0.53,-6.16,-6.89,-4.91,-11.8,46.32,55.38,-9.06
274,Gardner-Webb,Big South,16,15,67.0,59.5,7.52,-10.84,-4.76,-7.09,-11.84,44.29,51.73,-7.44
275,Saint Francis (PA),NEC,16,17,71.8,72.9,-1.18,-8.01,2.64,-14.56,-11.92,54.84,63.67,-8.83
276,Manhattan,MAAC,12,19,54.1,56.3,-2.23,-9.78,-13.9,1.89,-12.01,41.62,52.32,-10.7
277,Jackson State,SWAC,18,14,69.3,61.8,7.5,-13.65,-3.17,-8.92,-12.09,46.16,52.82,-6.65
278,Valparaiso,MVC,8,24,63.9,73.4,-9.5,-2.83,-3.54,-8.72,-12.26,52.06,63.63,-11.57
279,Utah Valley,WAC,14,16,64.7,60.8,3.9,-7.43,-7.22,-5.21,-12.43,44.89,55.62,-10.73
280,Omaha,Summit,8,21,59.8,63.5,-3.76,-2.22,-9.71,-2.92,-12.62,42.59,54.5,-11.91
281,Canisius,MAAC,11,19,57.6,61.8,-4.17,-8.61,-10.05,-2.73,-12.78,46.17,57.97,-11.8
282,Eastern Illinois,OVC,11,18,65.7,62.7,3.03,-4.67,-6.68,-6.26,-12.94,45.61,56.62,-11.02
283,Monmouth,MAAC,14,17,58.1,63.6,-5.52,-7.48,-8.02,-4.98,-13.0,47.04,59.14,-12.11
284,Fairfield,MAAC,11,20,55.9,60.0,-4.03,-9.04,-12.28,-0.8,-13.08,49.19,61.69,-12.5
285,Samford,Southern,10,20,58.4,61.7,-3.3,-4.46,-10.92,-2.22,-13.14,46.39,57.85,-11.46
286,Oakland,Horizon,6,24,61.8,70.3,-8.53,1.53,-2.75,-10.51,-13.26,45.22,56.14,-10.92
287,Grambling,SWAC,16,16,63.6,65.5,-1.97,-9.71,-5.01,-8.26,-13.27,45.07,54.56,-9.49
288,Mount St. Mary's,NEC,15,16,66.6,66.7,-0.13,-10.86,-4.18,-9.27,-13.46,51.13,62.11,-10.98
289,Richmond,A-10,9,21,52.2,64.5,-12.37,-1.1,-11.3,-2.17,-13.47,45.57,58.48,-12.91
290,Weber State,Big Sky,6,25,62.4,69.5,-7.16,-2.9,-6.83,-6.97,-13.8,44.14,58.92,-14.77
291,La Salle,A-10,6,25,54.8,69.2,-14.39,0.57,-7.86,-5.96,-13.82,42.03,54.65,-12.63
292,North Dakota State,Summit,7,22,57.2,68.9,-11.72,0.02,-9.84,-4.04,-13.88,47.59,62.96,-15.38
293,Loyola (MD),Patriot,7,24,53.8,64.4,-10.58,-3.37,-11.73,-2.22,-13.95,46.33,60.63,-14.29
294,Brown,Ivy,9,21,69.1,74.7,-5.6,-2.62,3.27,-17.35,-14.08,50.77,63.16,-12.39
295,Purdue Fort Wayne,Summit,7,22,61.8,64.8,-3.0,-1.14,-8.27,-6.09,-14.37,43.22,57.31,-14.08
296,Seattle,WAC,3,27,61.4,70.9,-9.5,-4.87,-7.05,-7.31,-14.37,47.69,62.6,-14.9
297,UTSA,CUSA,7,21,58.6,62.5,-3.89,-0.91,-7.53,-6.84,-14.37,38.58,51.69,-13.11
298,Texas Southern,SWAC,15,15,60.5,55.4,5.1,-12.94,-12.04,-2.44,-14.48,40.8,50.84,-10.04
299,Siena,MAAC,12,18,58.1,63.4,-5.27,-9.38,-9.33,-5.31,-14.64,45.88,60.99,-15.11
300,Charleston Southern,Big South,14,18,64.4,59.9,4.53,-10.59,-7.84,-6.84,-14.69,42.64,53.88,-11.24
301,Southern,SWAC,20,13,60.2,55.3,4.88,-8.52,-11.68,-3.14,-14.82,38.72,45.81,-7.09
302,Lafayette,Patriot,8,23,53.9,60.4,-6.42,-8.71,-13.0,-2.13,-15.13,43.84,59.62,-15.78
303,Bryant,NEC,11,19,64.7,68.8,-4.17,-11.01,-6.66,-8.52,-15.18,47.21,61.17,-13.95
304,Louisiana-Monroe,Sun Belt,10,19,55.8,55.4,0.38,-7.42,-16.13,0.86,-15.27,36.84,50.33,-13.5
305,Niagara,MAAC,12,19,61.3,70.1,-8.81,-6.76,-5.11,-10.45,-15.57,48.55,63.23,-14.68
306,Tennessee State,OVC,5,25,59.2,73.9,-14.73,-1.46,-7.92,-8.28,-16.19,46.02,60.68,-14.66
307,Detroit Mercy,Horizon,4,25,53.0,65.8,-12.83,-0.73,-11.46,-4.98,-16.44,41.44,58.88,-17.43
308,College of Charleston,CAA,7,23,60.8,68.7,-7.9,-5.22,-6.98,-9.69,-16.67,45.11,60.84,-15.73
309,Vermont,AEC,11,18,52.3,58.7,-6.38,-7.6,-14.75,-2.24,-17.0,40.85,58.51,-17.66
310,Georgia Southern,Sun Belt,7,22,62.2,69.6,-7.31,-4.49,-5.15,-11.88,-17.02,48.44,64.29,-15.85
311,Florida Atlantic,CUSA,5,25,57.0,72.0,-14.97,-2.18,-8.18,-8.96,-17.14,43.03,60.34,-17.3
312,South Carolina State,MEAC,16,16,57.3,49.9,7.38,-14.01,-14.62,-2.62,-17.24,35.09,48.49,-13.4
313,Alabama A&M,SWAC,13,17,59.5,62.9,-3.33,-14.34,-12.15,-5.53,-17.68,43.07,58.48,-15.41
314,Presbyterian,Big South,7,24,56.7,65.5,-8.74,-9.08,-12.52,-5.3,-17.83,44.0,61.5,-17.5
315,Florida International,CUSA,5,24,58.6,69.1,-10.45,-4.87,-8.38,-9.56,-17.94,44.46,61.88,-17.42
316,Grand Canyon,WAC,7,20,56.3,65.2,-8.89,-9.98,-14.37,-4.5,-18.87,41.8,63.04,-21.24
317,Central Connecticut State,NEC,7,21,59.1,67.0,-7.89,-11.1,-11.48,-7.51,-18.99,43.94,63.39,-19.46
318,Southeastern Louisiana,Southland,9,20,57.1,56.6,0.48,-10.27,-13.39,-5.76,-19.16,36.22,50.68,-14.46
319,Houston Christian,Southland,9,19,65.4,56.2,9.21,-8.34,-8.88,-10.34,-19.22,33.52,45.69,-12.17
320,Northwestern State,Southland,11,18,69.3,61.9,7.38,-8.46,-2.75,-16.48,-19.22,37.59,52.45,-14.86
321,Massachusetts-Lowell,AEC,7,22,53.2,61.2,-8.03,-8.41,-14.67,-4.89,-19.56,41.67,62.69,-21.01
322,Maryland-Baltimore County,AEC,10,20,55.5,57.9,-2.4,-8.5,-13.9,-5.67,-19.57,37.11,56.51,-19.4
323,NJIT,A-Sun,6,24,54.2,66.9,-12.67,-7.13,-13.48,-6.32,-19.79,40.08,61.4,-21.32
324,Evansville,MVC,4,26,56.6,73.8,-17.17,-2.76,-10.36,-9.56,-19.92,44.39,66.79,-22.4
325,Morgan State,MEAC,10,21,54.4,56.6,-2.29,-10.45,-15.15,-4.86,-20.01,36.04,53.22,-17.18
326,Winthrop,Big South,10,20,55.5,62.4,-6.83,-10.8,-14.13,-5.91,-20.04,38.54,56.98,-18.44
327,New Orleans,Southland,12,16,60.9,56.2,4.71,-9.39,-11.95,-8.2,-20.15,33.12,49.16,-16.04
328,New Hampshire,AEC,6,24,52.4,63.3,-10.93,-6.66,-14.57,-5.75,-20.31,40.66,63.54,-22.88
329,Illinois-Chicago,Horizon,3,26,49.2,69.8,-20.52,-0.2,-15.16,-5.56,-20.71,35.92,59.14,-23.22
