Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,33,23,10,0.697,-2.27,-6.48,13,5,13,4,10,6,2415,1885.0,65.8,86.8,0.368,0.312,0.5,41.9,58.7,12.3,7.2,0.462,16.8,27.4,0.25
2,Air Force,30,8,22,0.267,-6.69,1.1,4,14,7,7,1,15,1804,1958.0,73.2,88.4,0.337,0.224,0.507,50.3,50.1,13.1,10.1,0.476,21.5,31.2,0.225
3,Akron,31,16,15,0.516,0.03,0.49,7,11,12,6,4,9,2045,1996.0,70.4,90.8,0.301,0.331,0.496,51.8,52.6,8.1,7.8,0.46,17.5,27.8,0.212
4,Alabama,31,14,17,0.452,7.7,8.73,5,11,11,7,3,10,1974,2006.0,72.5,88.5,0.262,0.32,0.474,48.4,50.6,12.3,7.9,0.444,17.9,29.6,0.178
5,Alabama A&M,30,13,17,0.433,-17.68,-14.34,8,10,7,7,6,10,1786,1886.0,73.1,86.0,0.418,0.253,0.474,49.8,47.5,10.4,6.4,0.438,18.8,27.9,0.259
6,Alabama State,30,11,19,0.367,-20.76,-9.63,10,8,7,6,4,13,1738,1992.0,73.7,89.3,0.391,0.319,0.468,47.7,55.3,15.5,9.8,0.425,16.4,32.1,0.26
7,Albany (NY),31,13,18,0.419,-11.5,-7.46,9,7,7,7,6,11,1714,1839.0,65.7,89.1,0.28,0.33,0.476,49.1,55.8,12.6,9.7,0.438,18.1,32.0,0.202
8,Alcorn State,30,4,26,0.133,-29.91,-14.02,3,15,3,11,1,15,1713,1958.0,72.1,90.1,0.356,0.226,0.508,49.3,60.4,12.0,9.9,0.483,19.3,35.5,0.223
9,American,33,22,11,0.667,2.75,-2.4,16,2,13,3,9,8,2108,1938.0,68.2,86.1,0.263,0.356,0.47,53.2,54.9,10.4,9.7,0.44,19.2,29.0,0.177
10,Appalachian State,36,22,14,0.611,-1.93,-2.68,10,8,15,3,7,11,2465,2438.0,74.6,90.2,0.205,0.271,0.481,46.5,47.6,10.3,7.7,0.456,16.2,25.2,0.146
