Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,33,23,10,0.697,-2.27,-6.48,13,5,13,4,10,6,2415,1885.0,65.8,111.2,0.314,0.436,0.56,58.1,64.2,12.0,10.4,0.529,21.0,41.1,0.229
2,Air Force,30,8,22,0.267,-6.69,1.1,4,14,7,7,1,15,1804,1958.0,73.2,81.4,0.339,0.25,0.433,49.7,46.5,13.0,8.8,0.394,20.3,33.5,0.218
3,Akron,31,16,15,0.516,0.03,0.49,7,11,12,6,4,9,2045,1996.0,70.4,93.0,0.27,0.396,0.502,48.2,55.9,9.4,7.5,0.465,17.1,23.9,0.201
4,Alabama,31,14,17,0.452,7.7,8.73,5,11,11,7,3,10,1974,2006.0,72.5,87.1,0.303,0.336,0.483,51.6,50.7,9.4,7.4,0.448,21.0,31.1,0.208
5,Alabama A&M,30,13,17,0.433,-17.68,-14.34,8,10,7,7,6,10,1786,1886.0,73.1,81.5,0.35,0.295,0.426,50.2,48.6,9.8,4.3,0.404,17.3,30.7,0.186
6,Alabama State,30,11,19,0.367,-20.76,-9.63,10,8,7,6,4,13,1738,1992.0,73.7,77.9,0.455,0.241,0.473,52.3,49.7,9.2,8.8,0.428,28.0,32.8,0.295
7,Albany (NY),31,13,18,0.419,-11.5,-7.46,9,7,7,7,6,11,1714,1839.0,65.7,83.1,0.25,0.287,0.459,50.9,60.1,10.5,9.0,0.44,21.4,33.4,0.147
8,Alcorn State,30,4,26,0.133,-29.91,-14.02,3,15,3,11,1,15,1713,1958.0,72.1,78.9,0.286,0.231,0.407,50.7,55.6,12.0,5.9,0.383,23.1,38.0,0.158
9,American,33,22,11,0.667,2.75,-2.4,16,2,13,3,9,8,2108,1938.0,68.2,93.6,0.333,0.354,0.523,46.8,68.4,10.6,6.9,0.483,17.5,19.5,0.246
10,Appalachian State,36,22,14,0.611,-1.93,-2.68,10,8,15,3,7,11,2465,2438.0,74.6,91.2,0.306,0.31,0.482,53.5,47.7,6.9,5.0,0.453,17.7,31.6,0.2
11,Arizona,37,24,13,0.649,18.89,11.56,7,11,19,5,5,8,2516,2245.0,69.5,95.9,0.267,0.335,0.516,49.2,51.3,11.9,10.8,0.488,16.4,25.8,0.186
12,Arizona State,33,22,11,0.667,23.73,16.55,10,7,14,4,8,7,2159,1922.0,66.2,98.0,0.251,0.315,0.496,54.7,63.5,9.8,7.6,0.471,15.4,35.0,0.168
13,Arkansas,37,22,15,0.595,14.78,10.67,6,10,11,8,11,7,2736,2584.0,76.2,96.7,0.294,0.382,0.497,44.8,44.4,11.1,8.8,0.459,13.3,24.7,0.214
14,Arkansas State,30,12,18,0.4,-6.5,-1.53,7,11,9,5,3,13,2030,2179.0,74.3,90.6,0.434,0.247,0.491,46.0,53.4,10.4,4.1,0.448,18.9,29.3,0.289
15,Arkansas-Pine Bluff,25,5,20,0.2,-32.31,-13.17,2,16,4,9,1,11,1284,1450.0,70.9,71.8,0.378,0.208,0.383,49.9,54.2,14.2,11.8,0.351,23.6,29.7,0.201
16,Army,30,11,19,0.367,-11.37,-6.68,6,12,7,9,4,10,1699,1761.0,65.8,86.1,0.31,0.31,0.439,54.5,57.5,8.3,5.5,0.407,18.1,35.8,0.194
17,Auburn,32,22,10,0.688,16.28,8.6,9,7,10,5,12,5,2292,1977.0,70.8,100.4,0.29,0.304,0.499,49.9,46.9,17.2,7.4,0.466,15.2,34.9,0.205
18,Austin Peay,30,15,15,0.5,-7.17,-7.49,10,8,11,4,4,11,2072,1873.0,68.0,101.5,0.34,0.42,0.504,50.6,52.9,12.2,3.8,0.455,16.3,33.3,0.259
19,Ball State,31,8,23,0.258,-2.86,6.24,3,15,6,11,2,12,1986,2160.0,74.1,86.5,0.336,0.312,0.484,48.6,53.8,9.1,6.8,0.452,20.9,25.6,0.218
20,Baylor,38,37,1,0.974,41.69,15.66,18,0,25,0,12,1,3104,2115.0,73.4,111.3,0.3,0.127,0.551,62.5,68.4,10.2,20.2,0.528,14.6,42.3,0.203
21,Belmont,33,26,7,0.788,12.32,-2.62,16,2,14,2,12,5,2474,1981.0,68.7,108.7,0.274,0.487,0.558,54.1,60.5,8.0,5.3,0.536,15.2,31.9,0.189
22,Bethune-Cookman,32,21,11,0.656,-11.75,-11.72,11,5,12,3,9,8,1999,1806.0,69.0,89.8,0.371,0.293,0.463,50.7,50.0,11.1,7.8,0.423,19.0,30.3,0.244
23,Binghamton,30,12,18,0.4,-11.8,-6.16,7,9,8,7,4,11,1787,1803.0,67.8,87.4,0.247,0.348,0.473,53.2,57.0,10.3,10.4,0.439,21.5,32.3,0.179
24,Boise State,33,28,5,0.848,10.71,2.39,16,2,19,1,9,4,2478,2036.0,71.7,103.9,0.244,0.361,0.531,53.6,58.7,12.0,9.1,0.503,16.6,33.0,0.179
25,Boston College,30,14,16,0.467,8.66,8.26,3,13,9,9,5,7,2205,2193.0,76.1,95.4,0.226,0.356,0.506,51.3,57.7,10.3,6.0,0.483,19.4,36.4,0.155
26,Boston University,29,15,14,0.517,-5.59,-5.39,11,7,8,6,7,8,1707,1713.0,65.3,89.7,0.262,0.308,0.484,51.3,51.6,9.3,7.0,0.448,19.7,33.2,0.193
27,Bowling Green State,30,9,21,0.3,-4.22,2.61,2,16,7,8,2,13,2068,2201.0,74.9,92.1,0.263,0.432,0.526,48.9,62.2,7.9,3.1,0.495,21.1,21.7,0.195
28,Bradley,30,20,10,0.667,-1.16,-4.26,10,8,13,3,7,7,2123,1950.0,74.3,94.4,0.35,0.312,0.486,51.7,55.5,10.5,10.4,0.439,16.5,31.1,0.255
29,Brigham Young,33,26,7,0.788,10.71,4.64,15,3,15,2,11,5,2282,1958.0,68.5,100.2,0.268,0.336,0.514,51.9,59.5,11.5,13.5,0.486,16.2,31.0,0.186
30,Brown,30,9,21,0.3,-14.08,-2.62,1,13,6,8,3,13,2074,2242.0,74.6,91.6,0.229,0.397,0.476,45.7,53.6,12.3,6.4,0.446,16.6,25.7,0.164
31,Bryant,30,11,19,0.367,-15.18,-11.01,9,9,7,5,4,14,1940,2065.0,75.1,86.1,0.339,0.241,0.463,52.6,57.0,10.9,5.4,0.425,20.4,35.1,0.226
32,Bucknell,34,28,6,0.824,10.15,-4.44,16,2,16,1,12,5,2462,1966.0,71.0,102.0,0.303,0.394,0.565,52.0,60.5,12.7,11.1,0.534,18.2,28.3,0.225
33,Buffalo,34,24,10,0.706,15.15,6.23,12,6,11,3,13,7,2589,2286.0,74.9,100.9,0.335,0.354,0.516,53.2,55.0,12.7,6.7,0.469,16.7,37.3,0.26
34,Butler,33,23,10,0.697,15.14,6.95,11,7,15,5,8,5,2202,1932.0,70.6,92.4,0.288,0.337,0.505,54.9,57.6,14.9,11.4,0.472,19.9,32.3,0.205
35,Cal Poly,27,6,21,0.222,-10.8,0.55,3,13,5,8,1,13,1611,1819.0,71.4,82.4,0.26,0.284,0.449,52.2,62.4,9.9,6.4,0.414,21.4,32.7,0.181
36,Cal State Bakersfield,31,14,17,0.452,-10.17,-8.3,9,7,9,4,5,13,1966,1855.0,70.7,89.7,0.244,0.318,0.452,49.8,46.3,15.8,9.0,0.429,17.5,33.8,0.151
37,Cal State Fullerton,30,14,16,0.467,-6.64,-3.68,6,10,8,8,6,8,1879,1888.0,69.4,89.9,0.294,0.295,0.497,49.5,61.5,7.6,7.0,0.466,20.5,27.4,0.201
38,Cal State Northridge,31,16,15,0.516,2.47,1.09,10,6,10,5,6,10,1888,1845.0,69.6,87.5,0.244,0.306,0.455,54.3,66.2,9.1,11.9,0.427,18.3,34.8,0.162
39,California,33,20,13,0.606,18.88,16.18,9,9,13,5,7,8,2399,2257.0,68.5,104.9,0.28,0.338,0.532,55.7,57.9,6.3,8.3,0.504,15.9,34.7,0.198
40,California Baptist,30,18,12,0.6,-2.77,-8.42,11,5,11,5,7,7,2381,1837.0,74.6,105.5,0.208,0.412,0.522,54.7,65.6,11.3,7.5,0.502,17.1,31.9,0.144
41,Campbell,36,23,13,0.639,-9.59,-10.73,10,8,13,6,10,7,2143,1946.0,68.1,87.1,0.308,0.386,0.457,53.1,56.5,8.7,10.8,0.424,19.5,31.1,0.201
42,Canisius,30,11,19,0.367,-12.78,-8.61,9,9,7,8,4,11,1728,1853.0,69.2,81.9,0.228,0.319,0.471,52.0,50.6,8.4,7.9,0.438,22.7,30.0,0.167
