Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,33,23,10,0.697,-2.27,-6.48,13,5,13,4,10,6,2415,1885.0,1321,661.0,1605.0,0.412,161.0,501.0,0.321,402.0,591.0,0.68,286.0,810.0,388.0,267.0,76.0,380.0,526.0
2,Air Force,30,8,22,0.267,-6.69,1.1,4,14,7,7,1,15,1804,1958.0,1210,732.0,1664.0,0.44,120.0,373.0,0.322,374.0,560.0,0.668,286.0,1004.0,367.0,290.0,136.0,530.0,572.0
3,Akron,31,16,15,0.516,0.03,0.49,7,11,12,6,4,9,2045,1996.0,1251,713.0,1762.0,0.405,196.0,584.0,0.336,374.0,530.0,0.706,271.0,1003.0,375.0,179.0,85.0,426.0,516.0
4,Alabama,31,14,17,0.452,7.7,8.73,5,11,11,7,3,10,1974,2006.0,1250,741.0,1880.0,0.394,189.0,602.0,0.314,335.0,493.0,0.68,321.0,1003.0,375.0,279.0,94.0,460.0,509.0
5,Alabama A&M,30,13,17,0.433,-17.68,-14.34,8,10,7,7,6,10,1786,1886.0,1195,669.0,1661.0,0.403,118.0,421.0,0.28,430.0,695.0,0.619,270.0,1028.0,318.0,228.0,81.0,461.0,564.0
6,Alabama State,30,11,19,0.367,-20.76,-9.63,10,8,7,6,4,13,1738,1992.0,1203,678.0,1794.0,0.378,170.0,573.0,0.297,466.0,702.0,0.664,349.0,933.0,375.0,346.0,112.0,417.0,594.0
7,Albany (NY),31,13,18,0.419,-11.5,-7.46,9,7,7,7,6,11,1714,1839.0,1254,658.0,1705.0,0.386,178.0,562.0,0.317,345.0,478.0,0.722,301.0,914.0,367.0,260.0,115.0,426.0,507.0
8,Alcorn State,30,4,26,0.133,-29.91,-14.02,3,15,3,11,1,15,1713,1958.0,1205,737.0,1647.0,0.447,117.0,373.0,0.314,367.0,586.0,0.626,360.0,1042.0,445.0,261.0,141.0,460.0,454.0
9,American,33,22,11,0.667,2.75,-2.4,16,2,13,3,9,8,2108,1938.0,1320,710.0,1834.0,0.387,194.0,653.0,0.297,324.0,482.0,0.672,307.0,1063.0,390.0,235.0,109.0,490.0,600.0
10,Appalachian State,36,22,14,0.611,-1.93,-2.68,10,8,15,3,7,11,2465,2438.0,1449,944.0,2307.0,0.409,214.0,626.0,0.342,336.0,474.0,0.709,322.0,1180.0,449.0,278.0,119.0,490.0,665.0
11,Arizona,37,24,13,0.649,18.89,11.56,7,11,19,5,5,8,2516,2245.0,1510,800.0,2114.0,0.378,235.0,759.0,0.31,410.0,618.0,0.663,356.0,1211.0,454.0,205.0,120.0,573.0,612.0
12,Arizona State,33,22,11,0.667,23.73,16.55,10,7,14,4,8,7,2159,1922.0,1329,724.0,1794.0,0.404,142.0,471.0,0.301,332.0,490.0,0.678,245.0,935.0,315.0,191.0,75.0,423.0,523.0
13,Arkansas,37,22,15,0.595,14.78,10.67,6,10,11,8,11,7,2736,2584.0,1485,966.0,2334.0,0.414,198.0,672.0,0.295,454.0,653.0,0.695,431.0,1466.0,514.0,206.0,135.0,610.0,671.0
14,Arkansas State,30,12,18,0.4,-6.5,-1.53,7,11,9,5,3,13,2030,2179.0,1205,834.0,1894.0,0.44,200.0,569.0,0.351,311.0,440.0,0.707,378.0,1101.0,485.0,242.0,118.0,505.0,656.0
15,Arkansas-Pine Bluff,25,5,20,0.2,-32.31,-13.17,2,16,4,9,1,11,1284,1450.0,1010,518.0,1264.0,0.41,111.0,340.0,0.326,303.0,478.0,0.634,252.0,841.0,307.0,260.0,93.0,396.0,391.0
16,Army,30,11,19,0.367,-11.37,-6.68,6,12,7,9,4,10,1699,1761.0,1200,685.0,1721.0,0.398,199.0,598.0,0.333,192.0,283.0,0.678,260.0,903.0,370.0,218.0,107.0,348.0,521.0
17,Auburn,32,22,10,0.688,16.28,8.6,9,7,10,5,12,5,2292,1977.0,1290,688.0,1638.0,0.42,219.0,630.0,0.348,382.0,540.0,0.707,300.0,991.0,417.0,220.0,73.0,636.0,517.0
18,Austin Peay,30,15,15,0.5,-7.17,-7.49,10,8,11,4,4,11,2072,1873.0,1200,684.0,1497.0,0.457,152.0,440.0,0.345,353.0,467.0,0.756,232.0,895.0,373.0,181.0,98.0,469.0,507.0
19,Ball State,31,8,23,0.258,-2.86,6.24,3,15,6,11,2,12,1986,2160.0,1240,808.0,1872.0,0.432,230.0,725.0,0.317,314.0,480.0,0.654,309.0,1057.0,485.0,288.0,85.0,466.0,559.0
20,Baylor,38,37,1,0.974,41.69,15.66,18,0,25,0,12,1,3104,2115.0,1520,718.0,2258.0,0.318,273.0,904.0,0.302,406.0,611.0,0.664,305.0,998.0,370.0,215.0,89.0,546.0,709.0
21,Belmont,33,26,7,0.788,12.32,-2.62,16,2,14,2,12,5,2474,1981.0,1326,735.0,1990.0,0.369,205.0,679.0,0.302,306.0,442.0,0.692,321.0,1022.0,385.0,186.0,98.0,388.0,577.0
22,Bethune-Cookman,32,21,11,0.656,-11.75,-11.72,11,5,12,3,9,8,1999,1806.0,1290,663.0,1755.0,0.378,144.0,511.0,0.282,336.0,481.0,0.699,320.0,1057.0,358.0,230.0,118.0,446.0,526.0
23,Binghamton,30,12,18,0.4,-11.8,-6.16,7,9,8,7,4,11,1787,1803.0,1205,647.0,1652.0,0.392,175.0,573.0,0.305,334.0,468.0,0.714,263.0,901.0,367.0,258.0,81.0,372.0,445.0
24,Boise State,33,28,5,0.848,10.71,2.39,16,2,19,1,9,4,2478,2036.0,1329,737.0,1748.0,0.422,161.0,493.0,0.327,401.0,564.0,0.711,250.0,952.0,368.0,203.0,85.0,553.0,503.0
25,Boston College,30,14,16,0.467,8.66,8.26,3,13,9,9,5,7,2205,2193.0,1214,788.0,1777.0,0.443,182.0,488.0,0.373,435.0,613.0,0.71,305.0,964.0,415.0,244.0,96.0,536.0,507.0
26,Boston University,29,15,14,0.517,-5.59,-5.39,11,7,8,6,7,8,1707,1713.0,1165,632.0,1590.0,0.397,182.0,576.0,0.316,267.0,383.0,0.697,279.0,851.0,354.0,202.0,88.0,401.0,482.0
27,Bowling Green State,30,9,21,0.3,-4.22,2.61,2,16,7,8,2,13,2068,2201.0,1200,781.0,1879.0,0.416,263.0,772.0,0.341,376.0,546.0,0.689,309.0,1049.0,432.0,277.0,96.0,378.0,522.0
28,Bradley,30,20,10,0.667,-1.16,-4.26,10,8,13,3,7,7,2123,1950.0,1210,691.0,1755.0,0.394,162.0,533.0,0.304,406.0,561.0,0.724,279.0,1033.0,363.0,231.0,77.0,479.0,608.0
29,Brigham Young,33,26,7,0.788,10.71,4.64,15,3,15,2,11,5,2282,1958.0,1329,688.0,1861.0,0.37,219.0,705.0,0.311,363.0,519.0,0.699,344.0,1037.0,410.0,231.0,82.0,448.0,470.0
30,Brown,30,9,21,0.3,-14.08,-2.62,1,13,6,8,3,13,2074,2242.0,1216,840.0,1891.0,0.444,202.0,652.0,0.31,360.0,499.0,0.721,355.0,1178.0,505.0,218.0,104.0,428.0,438.0
31,Bryant,30,11,19,0.367,-15.18,-11.01,9,9,7,5,4,14,1940,2065.0,1200,752.0,1824.0,0.412,189.0,595.0,0.318,372.0,525.0,0.709,301.0,999.0,394.0,296.0,112.0,476.0,603.0
32,Bucknell,34,28,6,0.824,10.15,-4.44,16,2,16,1,12,5,2462,1966.0,1360,704.0,1921.0,0.366,179.0,601.0,0.298,379.0,532.0,0.712,311.0,996.0,386.0,218.0,77.0,570.0,595.0
33,Buffalo,34,24,10,0.706,15.15,6.23,12,6,11,3,13,7,2589,2286.0,1370,798.0,2003.0,0.398,231.0,760.0,0.304,459.0,640.0,0.717,351.0,1092.0,503.0,214.0,83.0,610.0,684.0
34,Butler,33,23,10,0.697,15.14,6.95,11,7,15,5,8,5,2202,1932.0,1349,667.0,1804.0,0.37,267.0,853.0,0.313,331.0,476.0,0.695,251.0,919.0,392.0,279.0,117.0,587.0,568.0
35,Cal Poly,27,6,21,0.222,-10.8,0.55,3,13,5,8,1,13,1611,1819.0,1095,630.0,1539.0,0.409,200.0,624.0,0.321,359.0,505.0,0.711,249.0,851.0,374.0,241.0,90.0,391.0,498.0
36,Cal State Bakersfield,31,14,17,0.452,-10.17,-8.3,9,7,9,4,5,13,1966,1855.0,1240,626.0,1553.0,0.403,170.0,513.0,0.331,433.0,621.0,0.697,297.0,1034.0,370.0,216.0,55.0,572.0,451.0
37,Cal State Fullerton,30,14,16,0.467,-6.64,-3.68,6,10,8,8,6,8,1879,1888.0,1205,721.0,1813.0,0.398,168.0,571.0,0.294,278.0,389.0,0.715,321.0,982.0,400.0,238.0,87.0,375.0,525.0
38,Cal State Northridge,31,16,15,0.516,2.47,1.09,10,6,10,5,6,10,1888,1845.0,1240,692.0,1919.0,0.361,222.0,704.0,0.315,239.0,341.0,0.701,315.0,1016.0,457.0,226.0,105.0,385.0,478.0
39,California,33,20,13,0.606,18.88,16.18,9,9,13,5,7,8,2399,2257.0,1335,855.0,1976.0,0.433,215.0,597.0,0.36,332.0,447.0,0.743,267.0,927.0,444.0,187.0,90.0,325.0,522.0
