Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Florida,1.1743,1.0016,0.3127,1.1788,0.1277,0.1806,0.9115,1.3638,1.6935
Arkansas,1.1146,1.1958,1.1595,1.121,0.7438,0.8229,1.0456,1.0935,1.6935
Vanderbilt,1.1156,1.6955,0.1395,1.1691,0.9261,1.4652,1.4986,1.0197,1.6935
Virginia,1.0649,0.9134,0.1973,1.1114,-0.1778,0.0521,0.7436,0.49,1.304
Columbia,1.05,0.7774,0.5533,1.1403,1.3154,-0.4617,1.0456,1.3638,0.2902
Green Bay,1.1256,0.6779,0.8612,1.2076,1.4387,2.1076,0.7436,0.9652,-0.1683
Richmond,1.0555,1.0762,0.8901,1.2461,1.6555,2.4745,1.6496,1.3638,0.363
Georgia Tech,0.969,1.0016,0.765,1.0922,0.1967,-0.4617,0.2402,1.3638,1.304
Seton Hall,1.0078,0.9134,1.1499,1.1018,0.1967,0.1092,-0.0114,1.0935,0.8682
Florida Gulf Coast,1.0595,0.6779,1.4771,1.1884,1.6555,0.566,2.2536,1.3638,-0.6151
Missouri,0.9223,0.7774,0.5341,1.0344,-0.375,0.2726,-0.0954,0.9432,1.6935
Texas Tech,0.9581,1.3753,-0.0625,1.0633,0.3791,-0.4617,0.9115,0.7816,1.8103
Drake,0.9094,0.5602,1.5252,1.0729,1.3992,0.8229,1.247,1.3638,-0.1338
Purdue,0.8949,0.5602,0.3993,0.9767,-0.375,-0.4617,-0.1624,1.3638,1.3317
Saint Joseph's,1.05,1.6493,-0.0144,1.2557,2.0054,1.251,2.2536,1.3638,0.363
South Dakota State,0.9506,0.207,1.4963,1.1595,1.3992,-0.4617,1.247,1.3638,-0.4356
Belmont,0.9302,0.5602,1.4193,1.044,1.005,-0.4617,0.7436,1.3638,-0.1338
Central Florida,0.8661,1.5412,0.1299,0.9478,-0.0793,-0.4617,1.7502,-0.1505,1.8103
Brigham Young,0.8636,1.0762,-0.7361,1.0152,0.1967,0.2726,-0.0114,1.3638,1.8103
George Mason,0.9064,1.1958,-0.0722,1.1306,1.3992,-0.4617,0.7436,1.3638,0.363
Clemson,0.8149,0.3539,0.5725,0.8901,-0.4588,0.0521,-0.0114,0.4173,1.304
Houston,0.7086,1.2665,-0.5052,0.8035,0.0193,-0.4617,0.7436,1.0197,1.8103
Cincinnati,0.7911,0.9134,0.8035,0.842,-0.2666,0.0054,-0.0114,1.0197,1.8103
Boston College,0.7394,0.4786,-0.4378,0.8612,-0.5376,-0.4617,-0.0114,0.49,1.304
Oregon,0.7359,0.7774,0.9478,0.8516,-0.5376,-0.4617,1.0456,0.9432,1.9653
Georgia,0.7195,0.7774,1.3423,0.8131,-0.375,-0.4617,0.0964,0.9852,1.6935
Stony Brook,0.7155,1.6197,-0.6976,1.0825,1.7689,-0.4617,1.247,1.0034,-0.2589
Ball State,0.7702,1.3252,0.2358,1.0248,1.7935,-0.4617,2.2536,1.1533,-0.1883
Toledo,0.7578,0.8073,1.4867,1.0537,1.5274,0.8229,2.2536,1.1113,-0.1883
Santa Clara,0.7722,1.0762,-0.101,1.0056,1.1528,-0.4617,0.7436,1.1533,-0.0688
Cleveland State,0.6668,1.2665,-0.5437,0.9574,1.6555,-0.4617,0.7436,1.1991,-0.1683
Davidson,0.716,1.6197,-0.4859,0.9671,1.005,0.566,0.2402,1.1412,0.363
Rhode Island,0.6628,0.4786,1.1018,0.9382,0.4481,0.8229,0.2402,0.5226,0.363
Wisconsin,0.5779,0.8073,0.9767,0.6688,0.0193,-0.4617,0.9592,0.4173,1.3317
North Texas,0.6102,1.2665,-0.688,0.8997,1.2021,-0.4617,0.2402,0.7959,0.4492
