Team,Record,NET_Rank
Houston,33-4,1
Alabama,31-6,2
UCLA,31-6,3
Tennessee,25-11,4
Purdue,29-6,5
Gonzaga,30-6,6
Texas,29-9,7
Connecticut,31-8,8
Kansas,28-8,9
Arizona,28-7,10
Saint Mary's (CA),26-8,11
Marquette,29-7,12
Florida Atlantic,33-4,13
San Diego State,31-7,14
Baylor,23-11,15
Duke,27-9,16
Creighton,24-13,17
Utah State,25-9,18
Texas A&M,25-10,19
Iowa State,19-14,20
Arkansas,22-14,21
Xavier,27-10,22
Memphis,26-9,23
Kansas State,26-10,24
West Virginia,19-15,25
Kentucky,22-12,26
Virginia,25-8,27
TCU,22-13,28
Boise State,23-10,29
Indiana,23-12,30
Maryland,22-13,31
Auburn,21-13,32
Michigan State,21-13,33
Illinois,20-13,34
Miami (FL),29-8,35
Oral Roberts,26-5,36
Nevada,21-11,37
North Texas,29-7,38
Iowa,19-14,39
Rutgers,19-15,40
Northwestern,22-12,41
Missouri,25-10,42
Oklahoma State,20-16,43
Liberty,24-9,44
NC State,23-11,45
North Carolina,20-13,46
Oregon,21-15,47
Penn State,23-14,48
Mississippi State,21-13,49
Southern California,22-11,50
College of Charleston,30-4,51
Ohio State,16-19,52
Virginia Commonwealth,27-8,53
New Mexico,21-12,54
Drake,26-8,55
Providence,21-12,56
UAB,28-10,57
Iona,27-8,58
Kent State,26-7,59
Clemson,23-11,60
Michigan,18-16,61
Florida,16-17,62
Texas Tech,16-16,63
Yale,19-9,64
Sam Houston,22-8,65
Arizona State,23-13,66
Pittsburgh,24-12,67
Oklahoma,15-17,68
Colorado,18-17,69
Cincinnati,22-13,70
Central Florida,19-15,71
Bradley,24-10,72
Washington State,17-17,73
Utah Valley,25-9,74
Villanova,17-17,75
Virginia Tech,19-15,76
Seton Hall,16-16,77
Dayton,22-12,78
Utah,17-15,79
Wisconsin,20-15,80
Vanderbilt,22-15,81
Toledo,26-8,82
Marshall,23-8,83
Santa Clara,22-10,84
Brigham Young,17-15,85
Hofstra,24-10,86
Southern Mississippi,22-8,87
Furman,25-8,88
Louisiana,23-8,89
Wake Forest,19-14,90
Nevada-Las Vegas,18-13,91
Nebraska,16-16,92
Indiana State,22-13,93
James Madison,19-11,94
San Jose State,20-14,95
UC Irvine,21-12,96
Stanford,14-19,97
St. John's (NY),18-15,98
Saint Louis,20-12,99
UC Santa Barbara,25-8,100
Colgate,25-9,101
Akron,20-11,102
Montana State,23-10,103
Grand Canyon,21-12,104
Tulane,20-11,105
South Alabama,17-16,106
Loyola Marymount,18-12,107
San Francisco,19-14,108
Vermont,22-11,109
Colorado State,14-18,110
Princeton,21-9,111
Wichita State,17-15,112
Southern Utah,20-13,113
UNC Greensboro,18-12,114
Kennesaw State,23-9,115
Charlotte,22-14,116
Middle Tennessee,17-14,117
Belmont,20-11,118
Massachusetts-Lowell,24-8,119
Southern Illinois,22-10,120
Cal State Fullerton,18-13,121
Washington,16-16,122
Youngstown State,22-10,123
Mississippi,12-21,124
Temple,16-16,125
Syracuse,17-15,126
Hawaii,21-11,127
Eastern Washington,22-11,128
Towson,21-12,129
Duquesne,20-13,130
Butler,14-18,131
Cornell,15-11,132
Ohio,18-14,133
Fordham,25-8,134
Troy,17-13,135
Samford,18-10,136
UC Riverside,21-12,137
Stephen F. Austin,16-13,138
George Mason,20-13,139
UNC Asheville,25-8,140
Pennsylvania,16-13,141
Missouri State,16-15,142
Seattle,18-12,143
UNC Wilmington,22-10,144
Davidson,15-16,145
Fresno State,10-20,146
UC Davis,16-14,147
Lipscomb,17-13,148
Air Force,14-18,149
Ball State,18-12,150
Louisiana State,14-19,151
Georgia,16-16,152
Old Dominion,18-12,153
Northern Kentucky,20-13,154
South Dakota State,18-13,155
Utah Tech,11-19,156
Stetson,15-14,157
Harvard,12-14,158
Richmond,15-18,159
South Florida,14-18,160
Long Beach State,15-16,161
Tarleton State,13-17,162
DePaul,10-23,163
Portland,12-19,164
Eastern Kentucky,20-14,165
Longwood,18-12,166
Montana,16-14,167
Boston College,16-17,168
California Baptist,15-16,169
Louisiana Tech,12-18,170
Cleveland State,20-13,171
Wyoming,8-22,172
Navy,17-13,173
Quinnipiac,19-12,174
Texas A&M-Corpus Christi,20-11,175
Chattanooga,15-17,176
Western Kentucky,15-16,177
Florida Gulf Coast,16-15,178
Georgia Tech,13-18,179
Grambling,22-9,180
Norfolk State,18-11,181
Bryant,15-13,182
Brown,14-13,183
Radford,19-15,184
North Carolina Central,14-12,185
Notre Dame,11-21,186
Weber State,16-15,187
East Carolina,16-17,188
New Mexico State,6-15,189
Pacific,14-17,190
Drexel,16-15,191
UTEP,12-18,192
Buffalo,13-17,193
Texas State,14-18,194
Wright State,16-15,195
St. Thomas,17-14,196
Appalachian State,13-16,197
Gardner-Webb,13-16,198
St. Bonaventure,14-18,199
Saint Joseph's,16-17,200
Pepperdine,7-22,201
Rice,16-16,202
Northwestern State,21-11,203
Queens (NC),15-15,204
Massachusetts,15-16,205
Abilene Christian,9-17,206
Georgia Southern,14-16,207
Siena,17-15,208
Southern Methodist,10-22,209
Milwaukee,19-12,210
George Washington,15-16,211
Detroit Mercy,13-19,212
Murray State,16-15,213
Howard,19-13,214
North Dakota State,14-17,215
Northern Iowa,13-18,216
Rider,15-14,217
Florida International,12-18,218
SIU Edwardsville,16-14,219
Minnesota,9-22,220
Florida State,9-23,221
Oregon State,10-21,222
La Salle,15-19,223
Sacramento State,12-18,224
Delaware,16-16,225
Wofford,14-16,226
Mercer,12-19,227
Morehead State,18-12,228
