RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
1,Alabama,31-6,1,10-3,7,2,15-0,9-3,7-3,12-5,8-1,5-0,6-0
2,San Diego State,31-7,3,8-3,12,1,14-1,8-2,9-4,9-6,6-1,13-0,3-0
3,Kansas,28-8,4,12-1,4,27,15-1,7-4,6-3,12-7,7-1,5-0,4-0
4,Gonzaga,30-6,10,11-3,11,3,14-1,7-2,9-3,7-5,8-0,6-1,9-0
5,Florida Atlantic,33-4,64,8-1,14,87,15-0,11-3,7-1,7-3,4-0,11-1,11-0
6,Houston,33-4,36,12-1,5,20,16-2,11-0,6-2,7-3,7-0,9-1,10-0
7,UCLA,31-6,29,9-2,28,37,17-0,9-2,5-4,4-5,8-1,9-0,10-0
8,Texas,29-9,8,11-2,25,61,17-1,4-6,8-2,9-7,10-2,3-0,7-0
9,Connecticut,31-8,22,11-0,1,16,15-2,6-5,10-1,8-6,8-1,7-1,8-0
10,Duke,27-9,14,9-2,19,28,16-0,4-6,7-3,6-6,5-3,6-0,10-0
11,Purdue,29-6,39,11-0,8,89,14-2,8-3,7-1,8-4,7-0,9-1,5-1
12,Saint Mary's (CA),26-8,9,10-4,32,5,15-2,6-2,5-4,7-4,5-2,6-2,8-0
13,Arizona,28-7,40,11-0,2,18,15-2,6-4,7-1,8-1,4-3,6-3,10-0
14,Miami (FL),29-8,38,9-1,10,23,16-1,7-4,6-3,7-5,7-1,7-1,8-1
15,Marquette,29-7,54,8-3,98,160,16-1,9-4,4-2,6-5,5-2,9-0,9-0
16,North Texas,29-7,48,7-2,30,71,12-2,10-3,7-2,5-4,5-2,10-1,9-0
17,Utah State,25-9,19,10-2,21,34,13-2,6-4,6-3,3-7,9-0,8-0,5-2
18,Memphis,26-9,30,10-3,23,36,13-2,7-5,6-2,6-5,3-2,8-2,9-0
19,Baylor,23-11,5,11-2,13,30,14-3,5-5,4-3,8-8,5-3,5-0,5-0
20,Tennessee,25-11,13,11-2,9,11,14-2,4-6,7-3,7-7,5-3,6-1,7-0
21,Xavier,27-10,23,8-3,42,13,15-2,7-4,5-4,6-7,7-0,5-3,9-0
22,Kansas State,26-10,34,12-1,24,163,16-1,4-7,6-2,8-6,5-3,7-1,6-0
23,Virginia,25-8,58,8-1,18,47,15-1,6-5,4-2,3-5,6-2,7-1,9-0
24,Boise State,23-10,33,9-3,54,100,13-1,6-6,4-3,4-7,6-1,7-2,6-0
25,Virginia Commonwealth,27-8,50,9-4,58,46,15-3,8-3,4-2,1-2,8-3,9-1,9-2
26,Arkansas,22-14,2,11-2,3,4,14-3,2-8,6-3,5-11,4-2,8-1,5-0
27,Oral Roberts,26-5,167,5-4,47,24,12-0,11-4,3-1,0-5,2-0,7-0,17-0
28,Indiana,23-12,18,9-2,22,45,15-2,5-7,3-3,4-8,7-3,6-1,6-0
29,UAB,28-10,59,8-2,56,166,16-2,7-5,5-3,3-7,4-1,10-2,11-0
30,Texas A&M,25-10,47,8-5,182,227,15-1,7-4,3-5,7-7,4-0,6-2,8-1
31,Nevada,21-11,31,9-3,37,73,13-1,6-7,2-3,5-4,5-5,5-2,6-0
32,Creighton,24-13,20,6-5,73,9,13-2,5-6,6-5,5-9,3-2,10-2,6-0
33,Auburn,21-13,11,10-3,16,22,14-2,4-8,3-3,3-12,5-0,7-1,6-0
34,Michigan State,21-13,16,8-3,33,31,12-2,5-7,4-4,5-6,5-5,7-1,4-1
35,Drake,26-8,114,8-2,52,201,13-1,6-6,7-1,1-3,5-3,9-2,11-0
36,Missouri,25-10,46,12-1,41,154,16-3,5-5,4-2,4-8,5-2,6-0,10-0
37,College of Charleston,30-4,201,11-1,20,144,16-1,11-2,3-1,0-2,4-1,9-1,17-0
38,Kent State,26-7,166,8-3,27,60,13-0,9-6,4-1,0-4,4-1,8-1,14-1
39,Liberty,24-9,93,6-4,55,15,16-1,6-7,2-1,1-5,0-3,10-1,13-0
40,Louisiana,23-8,148,7-2,39,149,11-0,7-7,5-1,0-4,3-3,9-0,11-1
41,Bradley,24-10,90,6-4,84,55,14-1,8-6,2-3,0-7,4-1,7-2,13-0
42,Vanderbilt,22-15,7,7-6,91,10,14-6,5-6,3-3,4-11,6-2,6-1,6-1
43,Southern Mississippi,22-8,152,8-2,46,172,12-0,8-7,2-1,2-3,2-3,4-2,14-0
44,Kentucky,22-12,26,9-4,82,66,14-4,6-4,2-4,6-9,5-1,4-1,7-1
45,North Carolina,20-13,21,8-3,35,25,12-3,4-7,4-3,1-9,3-4,8-0,8-0
46,West Virginia,19-15,6,11-2,15,39,13-4,3-8,3-3,4-12,5-2,5-1,5-0
47,Sam Houston,22-8,151,6-2,29,107,9-1,10-6,3-1,0-4,2-2,10-1,10-1
48,Iona,27-8,156,7-4,48,29,11-1,8-4,8-3,0-3,3-1,6-2,18-2
49,Penn State,23-14,25,9-2,51,137,13-4,4-7,6-3,4-6,6-7,7-1,6-0
50,NC State,23-11,63,10-1,44,177,15-2,4-6,4-3,3-6,5-3,5-2,10-0
51,Utah Valley,25-9,140,6-4,60,102,11-1,12-5,2-3,1-3,7-3,6-2,11-1
52,Maryland,22-13,42,9-2,43,57,16-1,2-9,4-3,4-8,4-5,4-0,10-0
53,Iowa State,19-14,15,9-3,74,189,13-3,3-8,3-3,8-8,2-5,4-1,5-0
54,Kennesaw State,23-9,141,5-5,70,74,12-1,10-6,1-2,0-4,2-2,9-1,12-2
55,Saint Louis,20-12,41,7-5,81,19,14-3,4-7,2-2,1-6,4-3,8-2,7-1
56,Pittsburgh,24-12,83,7-4,105,78,14-3,7-5,3-4,5-6,3-3,5-1,11-2
57,Arizona State,23-13,62,9-2,26,97,10-5,7-6,6-2,4-5,4-4,4-3,11-1
58,TCU,22-13,45,11-2,100,293,13-4,3-7,6-2,5-10,6-2,3-1,8-0
59,Oklahoma State,20-16,12,9-4,75,92,12-6,5-7,3-3,1-13,6-1,7-2,6-0
60,Southern California,22-11,82,8-3,80,88,15-2,5-5,2-4,2-5,4-4,8-0,8-2
61,Hofstra,24-10,139,6-6,50,8,10-2,11-5,3-3,3-2,2-5,5-2,14-1
62,Northwestern,22-12,53,9-2,66,153,13-5,7-4,2-3,7-4,4-5,2-3,9-0
63,Vermont,22-11,118,5-8,72,7,12-1,9-6,1-4,0-5,1-4,5-2,16-0
64,Princeton,21-9,127,7-4,87,99,8-3,7-4,6-2,2-3,2-2,7-2,10-2
65,Yale,19-9,157,8-3,53,193,8-1,8-7,3-1,1-2,2-3,8-2,8-2
66,Cincinnati,22-13,65,8-4,119,108,15-3,5-7,2-3,1-8,1-3,10-2,10-0
67,Middle Tennessee,17-14,44,5-4,78,75,10-2,3-11,4-1,2-5,3-2,8-4,4-3
68,Mississippi State,21-13,52,12-1,38,197,12-4,4-6,5-3,3-9,3-2,5-2,10-0
69,Santa Clara,22-10,92,11-3,62,133,13-4,6-4,3-2,2-6,2-1,7-2,11-1
70,Toledo,26-8,209,8-4,76,141,12-1,10-4,4-3,2-3,1-2,7-1,16-2
71,Marshall,23-8,190,10-2,45,176,14-2,9-5,0-1,0-1,4-2,7-4,12-1
72,Wisconsin,20-15,35,8-2,36,41,11-6,6-6,3-3,2-6,9-5,2-4,7-0
73,Providence,21-12,89,8-3,126,236,15-2,6-6,0-4,2-9,3-1,5-2,11-0
74,New Mexico,21-12,73,12-0,6,80,14-5,5-6,2-1,5-5,2-2,6-4,8-1
75,San Jose State,20-14,74,8-4,116,210,11-3,5-8,4-3,4-8,1-3,5-3,10-0
76,Southern Illinois,22-10,153,7-3,96,223,12-2,8-6,2-2,1-4,3-2,6-2,12-2
77,Dayton,22-12,97,8-5,170,209,14-2,5-6,3-4,1-4,4-3,5-4,12-1
78,Illinois,20-13,61,9-2,57,151,15-2,3-7,2-4,3-10,4-3,5-0,8-0
79,Furman,25-8,203,6-4,104,85,11-2,8-3,6-3,1-3,1-0,8-3,15-2
