Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
308,Texas A&M-Corpus Christi,31,19,12,0.613,-5.51,-7.58,14.0,4.0,10,4,9,5,1912,1748,67.9,90.4,0.348,0.318,0.484,52.8,66.9,13.0,7.1,0.444,20.4,33.4,0.241
309,Texas Southern,29,2,27,0.069,-21.49,-5.14,2.0,16.0,1,11,1,16,1750,2224,76.6,78.1,0.357,0.361,0.437,46.9,49.1,10.0,7.3,0.391,22.9,30.6,0.242
310,Texas State,33,23,10,0.697,-1.52,-5.42,13.0,5.0,13,4,8,5,2226,1952,68.9,97.2,0.309,0.313,0.52,48.7,60.9,11.8,7.1,0.483,17.9,28.6,0.228
311,Texas Tech,35,20,15,0.571,12.18,10.04,6.0,12.0,15,6,3,8,2413,2338,70.7,95.5,0.363,0.327,0.52,50.0,51.2,10.0,7.1,0.473,19.0,29.1,0.274
312,Texas-Rio Grande Valley,30,12,18,0.4,-7.01,-1.01,6.0,12.0,8,6,4,11,1868,2026,69.4,88.7,0.296,0.418,0.45,50.6,58.7,9.1,7.6,0.405,17.9,33.4,0.216
313,Toledo,34,29,5,0.853,10.51,1.19,16.0,2.0,14,1,10,3,2482,2165,69.6,103.8,0.342,0.335,0.552,52.1,57.8,9.5,5.1,0.507,15.8,26.2,0.268
314,Towson,33,21,12,0.636,-2.39,-5.33,13.0,5.0,12,5,8,5,2207,2110,71.6,93.4,0.301,0.289,0.486,51.5,46.8,10.4,7.2,0.449,18.2,33.3,0.214
315,Troy,30,17,13,0.567,1.08,-2.37,12.0,6.0,8,4,8,7,2499,2334,82.6,98.7,0.294,0.226,0.461,54.2,44.4,13.7,9.1,0.424,14.7,41.8,0.203
316,Tulane,32,18,14,0.563,7.8,3.39,7.0,9.0,11,6,5,6,2125,1937,69.6,94.7,0.261,0.368,0.507,51.9,60.1,10.7,6.7,0.475,20.1,34.1,0.19
317,Tulsa,30,17,13,0.567,4.43,0.59,7.0,9.0,11,4,5,7,2083,1968,72.1,96.3,0.254,0.5,0.524,47.8,64.0,8.3,9.8,0.497,18.5,25.3,0.18
318,UAB,31,14,17,0.452,-2.4,-1.29,5.0,15.0,9,6,3,9,2201,2162,72.9,97.0,0.322,0.43,0.534,48.5,57.0,6.8,5.2,0.493,18.9,24.5,0.245
319,UC Davis,30,16,14,0.533,-1.74,-1.02,12.0,7.0,7,6,9,5,1906,1832,68.6,92.6,0.232,0.442,0.504,51.4,57.9,9.3,8.9,0.48,19.4,27.4,0.158
320,UC Irvine,32,25,7,0.781,2.58,-3.49,16.0,2.0,11,2,13,3,1998,1703,66.1,91.6,0.272,0.326,0.467,52.6,57.7,14.8,9.5,0.425,18.6,37.1,0.206
321,UC Riverside,32,6,26,0.188,-9.93,-0.8,3.0,17.0,4,9,1,15,1644,1925,66.6,75.9,0.249,0.306,0.411,45.6,52.4,11.1,6.8,0.37,19.8,26.4,0.179
322,UC San Diego,30,13,17,0.433,-6.02,-1.89,10.0,10.0,7,6,5,9,1778,1902,68.1,87.0,0.256,0.439,0.491,49.9,61.7,9.0,7.4,0.453,21.5,25.3,0.194
323,UC Santa Barbara,33,21,12,0.636,1.19,-2.2,12.0,8.0,11,4,8,7,2206,2015,67.0,97.8,0.365,0.307,0.528,52.8,59.1,9.6,5.5,0.478,20.4,33.1,0.283
324,UCLA,37,27,10,0.73,24.93,16.87,11.0,7.0,15,3,6,5,2580,2282,69.2,99.4,0.257,0.344,0.487,54.3,58.2,11.5,10.6,0.446,15.6,37.9,0.2
325,UNC Asheville,31,12,19,0.387,-21.79,-12.55,7.0,11.0,7,9,4,9,1778,1943,70.4,81.4,0.266,0.37,0.443,48.2,49.9,10.6,3.4,0.41,21.2,29.7,0.18
326,UNC Greensboro,30,16,14,0.533,-12.18,-8.7,8.0,6.0,9,5,6,8,1964,1919,68.9,94.3,0.269,0.3,0.474,50.0,48.2,10.6,8.6,0.443,17.3,35.6,0.184
327,UNC Wilmington,30,5,25,0.167,-17.7,-6.02,2.0,16.0,4,10,1,14,1608,1921,68.1,78.4,0.269,0.209,0.443,51.1,44.6,9.8,7.6,0.398,24.7,34.6,0.203
