Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
246,Quinnipiac,30,21,9,0.7,-2.44,-9.94,16.0,4.0,12,3,9,4,1845,1620,1206,584,1727,0.338,166,594,0.279,286,433,0.661,332,972,307,234,80,491,552
247,Radford,31,14,17,0.452,-14.13,-13.58,9.0,9.0,10,4,3,12,1972,1925,1250,723,1863,0.388,165,610,0.27,314,468,0.671,350,1121,331,289,63,487,470
248,Rhode Island,33,26,7,0.788,9.85,-0.73,14.0,2.0,15,1,8,5,2236,1887,1341,695,1906,0.365,166,631,0.263,331,458,0.723,339,1108,346,236,95,521,508
249,Rice,32,23,9,0.719,6.57,1.91,13.0,7.0,13,2,10,6,2293,2144,1290,762,1819,0.419,151,524,0.288,469,646,0.726,347,1099,379,256,88,518,678
250,Richmond,32,21,11,0.656,6.9,-0.47,8.0,6.0,10,3,6,6,2208,1972,1290,727,1985,0.366,238,805,0.296,280,397,0.705,373,1167,428,228,93,459,526
251,Rider,31,10,21,0.323,-18.32,-10.74,6.0,14.0,4,9,4,10,1848,2083,1265,769,1829,0.42,216,621,0.348,329,499,0.659,373,1127,452,278,82,447,464
252,Robert Morris,30,11,19,0.367,-11.4,-4.36,5.0,15.0,9,7,2,12,1733,1835,1200,641,1623,0.395,151,603,0.25,402,548,0.734,317,1219,356,189,77,525,467
253,Rutgers,32,12,20,0.375,2.22,12.79,5.0,13.0,10,7,1,9,2021,2359,1285,871,1990,0.438,248,700,0.354,369,512,0.721,386,1150,581,301,127,465,526
254,Sacramento State,33,25,8,0.758,6.85,-1.78,13.0,5.0,11,2,9,6,2261,1976,1330,715,1841,0.388,171,536,0.319,375,503,0.746,314,965,323,247,48,365,526
255,Sacred Heart,33,19,14,0.576,-11.02,-12.95,12.0,4.0,11,6,7,7,2056,1957,1320,700,1797,0.39,184,596,0.309,373,571,0.653,346,1238,399,215,100,627,574
256,Saint Francis (PA),29,7,22,0.241,-25.95,-11.44,6.0,10.0,5,7,2,15,1508,1929,1165,715,1708,0.419,176,552,0.319,323,460,0.702,292,965,393,303,88,387,471
257,Saint Joseph's,31,20,11,0.645,6.02,0.05,9.0,7.0,12,4,7,6,2061,1876,1255,695,1796,0.387,185,575,0.322,301,390,0.772,331,1054,331,207,72,442,519
258,Saint Louis,35,17,18,0.486,2.28,3.63,10.0,6.0,9,5,4,11,2417,2464,1410,893,2214,0.403,259,768,0.337,419,601,0.697,493,1377,472,298,112,592,586
259,Saint Mary's (CA),31,13,18,0.419,-0.64,3.65,6.0,12.0,5,10,7,7,1968,2101,1255,749,1887,0.397,193,619,0.312,410,546,0.751,361,1129,401,274,121,433,520
260,Saint Peter's,30,0,30,0.0,-28.33,-9.56,0.0,20.0,0,12,0,17,1507,2070,1211,774,1852,0.418,209,707,0.296,313,463,0.676,433,1203,476,361,119,510,479
261,Sam Houston,30,13,17,0.433,-4.48,-0.69,8.0,10.0,6,6,6,10,2039,2059,1215,770,1747,0.441,146,410,0.356,373,531,0.702,328,1123,420,235,123,530,580
262,Samford,30,13,17,0.433,-10.34,-4.41,7.0,7.0,8,5,5,10,1967,2028,1210,750,1868,0.401,211,623,0.339,317,442,0.717,389,1106,377,224,85,423,484
263,San Diego,33,19,14,0.576,4.09,4.4,11.0,7.0,12,6,6,6,2062,2044,1330,735,1773,0.415,185,516,0.359,389,575,0.677,323,1107,400,231,95,530,581
264,San Diego State,34,23,11,0.676,7.88,2.45,12.0,6.0,15,3,6,7,2227,1948,1360,697,1789,0.39,168,596,0.282,386,505,0.764,301,1127,376,210,96,602,545
265,San Francisco,32,19,13,0.594,4.03,3.37,9.0,9.0,13,6,6,6,2180,2095,1291,769,1947,0.395,207,650,0.318,350,469,0.746,348,1226,384,207,108,522,559
266,San Jose State,31,6,25,0.194,-8.9,0.98,3.0,15.0,3,11,2,12,1791,2097,1245,710,1619,0.439,210,654,0.321,467,668,0.699,316,1088,425,273,101,571,538
267,Santa Clara,32,15,17,0.469,4.02,2.62,6.0,12.0,8,8,5,8,2283,2137,1295,783,1931,0.405,183,589,0.311,388,516,0.752,389,1194,450,189,86,470,544
268,Seattle,30,6,24,0.2,-11.2,-0.73,5.0,13.0,2,11,3,12,1792,2106,1210,726,1802,0.403,180,632,0.285,474,641,0.739,367,1130,390,308,103,409,503
269,Seton Hall,34,19,15,0.559,12.51,10.39,10.0,10.0,10,6,6,7,2422,2350,1365,884,2072,0.427,236,662,0.356,346,482,0.718,405,1248,520,223,86,539,514
270,Siena,32,19,13,0.594,-7.85,-11.98,12.0,8.0,11,5,6,7,2174,2042,1290,730,1895,0.385,190,625,0.304,392,547,0.717,373,1138,383,266,79,572,504
271,South Alabama,30,7,23,0.233,-19.07,-6.73,3.0,15.0,6,9,1,13,1658,1972,1210,745,1810,0.412,144,499,0.289,338,492,0.687,367,1250,374,245,94,443,471
272,South Carolina,37,36,1,0.973,44.26,15.7,16.0,0.0,17,0,13,0,2972,1915,1490,704,2192,0.321,154,579,0.266,353,498,0.709,367,1076,310,214,146,515,729
273,South Carolina State,30,3,27,0.1,-31.59,-9.03,2.0,12.0,2,8,1,17,1405,2082,1200,764,1844,0.414,199,655,0.304,355,525,0.676,476,1279,469,299,103,437,478
274,South Carolina Upstate,31,11,20,0.355,-24.35,-11.8,7.0,11.0,8,7,2,12,1639,1966,1240,725,1833,0.396,219,732,0.299,297,454,0.654,321,1086,372,346,93,494,548
275,South Dakota,30,14,16,0.467,-6.84,-3.13,10.0,8.0,7,8,7,5,2094,2071,1205,747,1787,0.418,214,643,0.333,363,486,0.747,291,1015,401,198,124,402,493
276,South Dakota State,35,29,6,0.829,19.4,1.63,18.0,0.0,13,1,9,3,2742,2120,1405,762,2046,0.372,228,719,0.317,368,519,0.709,299,1083,368,243,112,517,719
277,South Florida,34,27,7,0.794,18.86,8.68,15.0,1.0,14,1,10,2,2385,2039,1375,749,2012,0.372,184,597,0.308,357,515,0.693,360,1073,342,243,101,449,588
