Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,30,15,15,0.5,-1.54,-3.87,9.0,9.0,11,3,3,10,2134,1948,69.7,92.8,0.285,0.322,0.503,47.8,49.5,11.4,7.9,0.468,19.9,29.7,0.205
2,Air Force,31,13,18,0.419,-1.04,1.2,8.0,10.0,9,5,4,9,1972,2017,70.7,92.0,0.314,0.242,0.534,55.0,44.7,10.2,9.5,0.501,24.2,31.6,0.226
3,Akron,30,17,13,0.567,-3.17,-2.38,8.0,10.0,11,5,5,7,2057,1998,72.3,91.8,0.22,0.34,0.476,50.0,56.8,11.4,6.6,0.446,16.4,27.3,0.161
4,Alabama,31,20,11,0.645,21.37,11.72,9.0,7.0,11,4,8,4,2170,1871,68.9,87.6,0.284,0.283,0.476,49.1,55.6,10.4,13.2,0.439,21.2,31.6,0.203
5,Alabama A&M,29,14,15,0.483,-16.06,-11.54,12.0,6.0,9,2,5,12,1647,1778,69.2,87.8,0.288,0.278,0.457,49.5,51.6,11.8,10.2,0.421,17.7,31.1,0.196
6,Alabama State,31,16,15,0.516,-15.39,-7.89,12.0,6.0,10,1,5,13,1963,2177,71.0,97.4,0.333,0.271,0.504,51.8,48.1,12.5,10.8,0.476,18.9,37.4,0.216
7,Albany (NY),34,22,12,0.647,-5.83,-8.98,14.0,2.0,11,2,11,8,1976,1869,63.0,87.0,0.225,0.304,0.446,48.1,43.2,11.1,7.3,0.41,16.9,30.0,0.167
8,Alcorn State,29,12,17,0.414,-15.98,-10.21,8.0,10.0,8,5,4,12,1859,1926,75.7,87.3,0.475,0.313,0.481,50.9,58.4,12.1,7.7,0.433,20.8,32.8,0.314
9,American,31,9,22,0.29,-14.79,-5.88,7.0,11.0,5,9,4,11,1805,2081,71.5,93.5,0.312,0.334,0.508,53.9,51.8,11.3,6.7,0.471,20.6,33.1,0.224
10,Appalachian State,31,11,20,0.355,-7.79,-2.69,6.0,12.0,8,6,2,13,2081,2140,73.8,92.8,0.309,0.269,0.488,53.6,47.6,9.6,7.5,0.45,19.9,35.7,0.22
11,Arizona,32,22,10,0.688,23.87,14.9,11.0,7.0,12,3,7,6,2370,2083,72.2,89.1,0.317,0.31,0.496,50.1,58.3,8.3,7.7,0.459,21.6,30.7,0.222
12,Arizona State,28,8,20,0.286,6.7,15.38,1.0,15.0,3,11,4,7,1829,2072,72.2,101.6,0.298,0.302,0.519,54.2,65.7,9.6,8.5,0.489,17.4,35.4,0.207
13,Arkansas,37,24,13,0.649,19.77,13.2,7.0,9.0,14,4,6,6,2672,2429,74.0,88.1,0.32,0.307,0.466,51.7,49.0,8.7,9.9,0.426,18.5,30.4,0.222
14,Arkansas State,32,13,19,0.406,-9.29,-5.74,6.0,12.0,7,7,4,11,2222,2287,74.7,94.5,0.321,0.287,0.492,51.7,53.5,9.7,7.2,0.452,18.8,34.4,0.231
15,Arkansas-Pine Bluff,31,14,17,0.452,-13.14,-9.64,10.0,8.0,8,4,4,9,1999,2065,75.2,88.2,0.403,0.278,0.467,48.6,57.3,11.9,6.1,0.426,19.8,32.8,0.262
16,Army,30,13,17,0.433,-13.96,-9.2,10.0,8.0,6,7,7,10,1827,1941,68.5,93.7,0.275,0.253,0.502,48.7,53.8,10.1,8.4,0.468,18.0,28.1,0.198
17,Auburn,31,16,15,0.516,12.89,12.15,5.0,11.0,14,5,1,8,2065,2042,74.2,88.5,0.386,0.25,0.491,52.9,49.2,9.7,6.3,0.446,22.5,35.0,0.27
18,Austin Peay,29,17,12,0.586,-2.45,-4.13,11.0,6.0,8,4,8,6,1725,1632,66.4,84.8,0.335,0.324,0.468,48.8,46.9,12.2,6.8,0.423,21.1,28.9,0.24
19,Ball State,35,26,9,0.743,9.47,-0.47,14.0,4.0,15,1,9,6,2724,2332,72.5,91.0,0.291,0.377,0.498,50.2,56.9,9.1,7.7,0.458,20.3,28.6,0.217
20,Baylor,33,20,13,0.606,23.02,14.78,10.0,8.0,11,6,6,4,2368,2096,72.6,86.5,0.256,0.34,0.478,48.2,55.7,9.4,8.7,0.444,20.6,28.2,0.184
21,Bellarmine,31,9,22,0.29,-12.84,-3.05,5.0,13.0,7,8,1,13,1879,2115,72.9,93.2,0.346,0.335,0.487,46.8,53.2,14.1,8.2,0.446,17.1,28.5,0.243
22,Belmont,35,23,12,0.657,9.59,5.13,17.0,3.0,11,3,9,6,2506,2350,69.3,96.6,0.297,0.326,0.489,51.4,51.7,8.2,9.1,0.451,16.3,32.8,0.215
23,Bethune-Cookman,29,11,18,0.379,-13.82,-9.89,10.0,8.0,6,6,4,10,1760,1874,72.5,88.0,0.322,0.275,0.498,52.9,52.1,10.5,10.0,0.46,23.6,34.5,0.229
24,Binghamton,30,13,17,0.433,-13.77,-12.24,6.0,10.0,9,5,4,11,1832,1832,70.6,86.1,0.293,0.283,0.471,51.6,49.0,10.1,9.2,0.442,21.1,30.1,0.189
