Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Canisius,-0.7435,-0.2171,1.4019,-0.799,-0.7323,-0.6169,-0.07,-0.8933,-0.6217
SIU Edwardsville,-0.7265,-0.4018,-0.311,-0.8565,0.164,-0.6169,-0.8431,-0.2409,-1.1185
American,-0.7774,-0.3324,-1.6794,-0.9139,-0.0486,-0.6169,-0.8431,-0.1563,-1.5321
Nicholls State,-0.7285,-1.2338,1.0287,-0.8182,0.0605,-0.6169,-0.07,-0.168,-1.3825
Florida International,-0.7455,-0.8773,-0.7703,-1.1627,-1.2609,-0.6169,-0.8431,-1.0331,-0.2891
Robert Morris,-0.7632,-1.1414,0.0048,-0.9522,-0.9047,-0.6169,-0.8431,-1.0674,-0.7378
North Carolina Central,-0.7944,-0.5532,-0.9234,-0.866,0.0835,-0.6169,-0.8431,-0.4232,-1.4641
South Carolina Upstate,-0.8189,-1.2338,-0.2249,-1.0096,-1.0426,-0.6169,0.1876,-1.5787,-0.301
Lehigh,-0.8189,-1.6036,0.7799,-1.0,-0.7323,-0.6169,-0.8431,-0.7922,-1.5321
Howard,-0.8032,-0.9563,-0.9522,-0.933,-0.6002,-0.6169,-0.8431,-0.665,-1.4641
Idaho,-0.8616,-0.5532,-0.8086,-1.1722,-0.8185,-0.6169,-0.8431,-0.8933,-0.4223
Queens (NC),-0.7951,-0.7858,1.3923,-0.8756,-0.7725,-0.6169,-0.8431,-0.8608,-0.9378
Presbyterian,-0.8582,-0.3324,-1.7177,-1.0478,-0.5657,-0.6169,-0.8431,-0.9454,-0.301
Northern Illinois,-0.8752,-0.5532,1.2871,-1.0957,-0.9621,-0.6169,0.1876,-1.2744,-0.514
Tennessee State,-0.8542,-0.6793,-0.1675,-0.8852,0.164,-0.6169,-0.8431,-0.2084,-1.1185
Bucknell,-0.9071,-1.1057,0.4067,-1.0861,-0.9047,-0.6169,-0.8431,-0.8339,-1.5321
Southeastern Louisiana,-0.8324,-1.2338,0.8278,-0.9426,-0.2669,-0.6169,-0.07,-0.4232,-1.3825
Louisiana-Monroe,-0.9085,-0.6793,0.5981,-1.1053,-0.7323,-0.6169,-0.8431,-0.7922,-0.3849
Texas Southern,-0.8671,-1.6498,1.6029,-0.9713,-0.6346,-0.6169,-0.8431,-0.2796,-1.9916
Binghamton,-0.8623,0.2034,-0.7608,-0.8947,-0.2727,-0.6169,-0.8431,0.1727,-0.0818
Campbell,-0.9248,-0.8178,-1.6316,-1.0191,-0.4795,-0.6169,-0.8431,-0.7679,-0.2954
Chicago State,-0.9499,-0.6793,-0.6459,-1.0574,-0.7323,0.6122,-0.8431,-1.1429,-0.9248
Maryland-Baltimore County,-0.8861,-0.8773,-1.6986,-1.1531,-1.1173,-0.6169,-0.8431,-1.0674,-0.0818
Portland,-0.933,-0.7858,0.512,-1.2679,-1.1862,-0.6169,-0.8431,-1.0331,0.1142
Jackson State,-0.8875,-0.7858,0.2727,-0.9234,-0.3761,-0.6169,-0.8431,-0.3534,-1.9916
Lafayette,-0.9445,-2.0658,0.8469,-1.1914,-0.7725,-0.6169,-0.07,-0.9454,-1.5321
Coastal Carolina,-0.9554,-1.6036,-0.7033,-1.3445,-1.192,-0.6169,-0.8431,-1.2744,-0.3849
Western Michigan,-0.9859,-1.3723,-0.4163,-1.2201,-1.192,-0.6169,-0.8431,-1.0674,-0.514
Delaware State,-0.9499,-0.5803,-0.9617,-1.2297,-0.2727,-0.6169,-0.8431,-0.6542,-1.4641
Alabama State,-0.9391,-1.2338,1.5933,-1.2105,-0.3761,-0.6169,-0.8431,-0.2796,-1.9916
Boston University,-1.0233,-0.6793,-0.9713,-1.1148,-0.6921,-0.6169,-0.8431,-0.8339,-1.5321
Jacksonville,-0.9255,0.2034,-1.1148,-0.9617,-0.2669,-0.6169,-0.8431,-0.5509,-0.9378
Eastern Illinois,-1.0335,-1.1414,-0.4737,-1.2392,-0.2669,-0.6169,-0.8431,-0.5509,-1.1185
Georgia Southern,-0.9948,-2.0658,-1.1818,-1.2584,-1.9676,-0.6169,-0.8431,-1.6876,-0.3849
Elon,-1.0274,-0.1751,-0.933,-1.201,-0.4795,1.0217,-0.8431,-0.665,-0.2954
Le Moyne,-0.9995,-1.3095,-1.3636,-1.067,-0.3761,-0.6169,-0.8431,-0.9454,-1.3837
Sacred Heart,-1.0029,-0.7858,-1.3158,-1.0766,-0.2669,-0.6169,-0.8431,-0.5509,-1.3837
Grambling,-1.0756,-2.0658,1.6794,-1.134,-0.1578,-0.6169,-0.8431,-0.168,-1.9916
William & Mary,-1.1204,-0.9314,-1.6507,-1.3828,-1.3298,-0.6169,-0.8431,-1.5374,-0.2954
South Carolina State,-0.9893,-1.2338,0.1196,-1.0383,-0.8185,-0.6169,-0.8431,-0.8933,-1.4641
