Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
McNeese State,0.8778,1.1698,1.3254,1.2392,2.0542,4.2995,-0.8431,1.378,-1.3825
Southern California,0.7494,0.2034,1.3445,0.7033,-0.8185,-0.6169,-0.156,-0.05,0.8762
Massachusetts,0.7433,1.0541,-0.2344,0.866,0.6466,1.0217,1.6308,0.1727,0.9946
Indiana,0.7433,0.9597,1.067,0.7703,0.1869,-0.6169,0.1876,1.3095,1.4909
Samford,0.6584,1.3378,-0.2632,1.1244,1.8646,-0.6169,2.2493,1.1853,0.1284
Nevada-Las Vegas,0.78,0.0142,1.4306,0.8278,0.3191,1.8413,-0.07,0.3172,1.1436
Michigan,0.7114,-0.1751,1.6316,0.6172,-1.2609,-0.0707,0.1876,-0.7483,1.4909
Princeton,0.8248,1.7159,0.6651,1.2201,1.9336,1.0217,1.4762,1.6194,0.1964
UC Irvine,0.7243,0.2034,0.5885,0.9713,1.1694,-0.6169,2.2493,0.9683,-0.1379
Oklahoma State,0.6706,0.4942,-1.1244,0.5407,-0.5025,-0.6169,-0.07,0.6176,1.7764
George Mason,0.7365,1.4006,0.6555,0.9426,0.8764,-0.6169,0.3166,1.3095,0.9946
Louisiana Tech,0.7209,0.3607,1.3062,0.9234,0.9453,-0.6169,0.1876,0.8533,-0.2891
California,0.6761,-0.5532,0.3301,0.5885,-0.6002,-0.6169,1.6308,-0.6954,0.8762
South Florida,0.6584,0.5816,0.0622,0.8565,1.5199,2.6608,1.2186,1.0408,0.5726
Charlotte,0.6924,-0.1751,1.2105,0.8373,0.8764,0.3664,2.2493,0.5981,0.5726
Appalachian State,0.638,0.9597,0.4737,1.0096,1.652,4.2995,1.2186,0.7925,-0.3849
Loyola (IL),0.634,0.3607,0.0813,0.7799,1.1694,0.3664,1.2186,1.1089,0.9946
Duquesne,0.602,1.0541,1.3541,0.7608,0.4168,-0.6169,0.7031,0.9991,0.9946
Saint Joseph's,0.6081,1.134,-0.8373,0.8086,0.5029,0.3664,0.9239,0.6892,0.9946
Santa Clara,0.5538,0.3112,0.5407,0.7225,0.5891,0.6122,0.4823,0.7513,0.1142
Southern Illinois,0.5755,0.8461,-1.2871,0.6938,0.5891,0.6122,-0.8431,0.8958,0.6049
Arizona State,0.5029,0.2034,1.5837,0.445,-0.1578,0.0857,1.0124,0.0694,0.8762
Arkansas,0.4777,0.8141,1.1818,0.4354,-0.2727,0.0857,-0.07,1.2248,1.3583
Akron,0.5273,0.2034,1.488,0.8469,1.336,-0.6169,-0.07,1.3641,-0.514
UAB,0.4974,0.3607,1.1148,0.6842,0.8764,1.0217,1.0124,0.9518,0.5726
Davidson,0.5212,0.9597,0.2823,0.6459,0.1869,1.0217,-0.8431,0.6892,0.9946
Yale,0.5056,0.1743,1.3636,0.9522,1.0373,0.3664,2.2493,0.6176,0.1964
Tulane,0.4431,0.9597,-0.4354,0.4545,-0.0429,-0.6169,-0.3276,0.9518,0.5726
UC San Diego,0.4356,-0.4018,-1.0287,0.6651,0.727,-0.6169,-0.8431,0.5343,-0.1379
Liberty,0.4655,0.7076,1.0861,0.6555,0.5029,-0.6169,0.7031,0.263,-0.2891
Cornell,0.3731,1.0541,-0.2919,0.933,1.7152,0.3664,2.2493,1.6194,0.1964
Georgia Tech,0.3935,0.5816,0.7703,0.3876,-0.6002,1.8413,0.0404,-0.7483,1.2632
Missouri,0.3765,0.4942,0.11,0.3206,-1.192,-0.6169,-0.2246,-0.1893,1.3583
West Virginia,0.399,-0.4659,1.0766,0.2536,-1.192,0.0857,0.0404,-0.5509,1.7764
Northern Iowa,0.382,0.0142,1.1722,0.5981,0.164,-0.6169,1.0124,0.4618,0.6049
Seattle,0.3956,0.4301,0.3684,0.5789,0.5029,1.0217,-0.8431,0.1727,-0.2025
Notre Dame,0.3439,-0.1751,0.3397,0.2919,-0.9621,-0.6169,0.3939,-0.5509,1.2632
Oregon State,0.2169,0.8461,0.6938,0.0813,-0.6002,0.2027,-0.3276,-0.05,0.8762
UNC Wilmington,0.3134,0.7076,0.311,0.7129,1.1694,1.8413,0.7031,0.5981,-0.2954
High Point,0.2753,0.8141,-0.7895,0.6746,1.4854,-0.6169,-0.8431,0.8958,-0.301
Troy,0.2618,-0.4018,0.933,0.3971,0.8017,-0.6169,2.2493,0.1727,-0.3849
Oakland,0.2414,-0.1751,1.5167,0.5502,0.6638,-0.6169,0.7031,0.6328,-0.7378
Vermont,0.2991,0.4942,0.6077,0.7416,1.4394,-0.6169,2.2493,0.7513,-0.0818
Murray State,0.2645,-1.2338,0.9522,0.3589,-0.6921,-0.6169,0.3939,-0.5509,0.6049
College of Charleston,0.2298,0.7076,0.3493,0.6077,1.2269,-0.6169,-0.07,1.1853,-0.2954
Toledo,0.2421,-0.146,1.4115,0.4928,0.6466,-0.6169,0.3939,1.1089,-0.514
Louisiana,0.238,0.2034,1.2297,0.6268,0.5891,-0.6169,-0.8431,0.5343,-0.3849
Youngstown State,0.202,0.3112,-0.5694,0.4641,0.8707,-0.6169,-0.8431,0.3793,-0.7378
Weber State,0.1972,0.4301,0.7129,0.512,0.8017,2.6608,1.2186,-0.0686,-0.4223
Drexel,0.2298,0.0142,-0.6172,0.5215,0.5891,-0.6169,0.7031,0.3172,-0.2954
East Carolina,0.1898,0.0142,-0.7321,0.1579,0.0605,-0.6169,-0.07,0.5343,0.5726
Wichita State,0.1748,0.3607,0.9139,0.2057,-0.8185,-0.6169,0.7031,-0.6954,0.5726
Belmont,0.1673,0.4301,0.6746,0.4258,0.3765,0.2027,2.2493,0.2487,0.6049
Western Carolina,0.1707,1.2621,-0.4258,0.5598,1.0143,-0.6169,0.1876,0.5343,0.1284
Missouri State,0.1239,0.9597,-1.2967,0.378,0.164,1.0217,-0.8431,0.1002,0.6049
Hofstra,0.1714,0.0142,1.3158,0.4737,0.3765,-0.6169,0.1876,0.3172,-0.2954
Western Kentucky,0.1117,0.9597,-0.8565,0.4163,1.1694,-0.6169,0.7031,0.3793,-0.2891
Louisville,0.0811,-0.1751,-1.4306,-0.1292,-1.2609,-0.6169,-0.4012,-0.1893,1.2632
Eastern Washington,0.1307,-0.5532,-0.1388,0.5694,0.727,-0.6169,1.2186,0.5981,-0.4223
Georgetown,0.0451,0.5816,-1.0766,-0.1962,-1.192,-0.6169,-0.8431,0.4357,1.1057
Hawaii,0.0553,0.4301,-0.4067,0.11,0.164,-0.6169,-0.8431,0.2487,-0.1379
Stephen F. Austin,0.0607,0.2454,-0.4641,0.1675,0.1869,1.0217,-0.8431,-0.0686,-0.2025
Morehead State,0.1599,0.2454,0.8852,0.6364,1.2269,-0.6169,-0.8431,0.5859,-1.1185
Colgate,0.0872,-0.3324,1.5742,0.5311,1.0717,0.2027,-0.8431,0.9991,-1.5321
Furman,0.0573,-0.4018,0.2632,0.3493,0.164,-0.6169,-0.07,0.1727,0.1284
Loyola Marymount,0.0132,-0.146,0.0909,-0.2249,-0.8185,0.3664,-0.8431,-0.4063,0.1142
UNC Greensboro,0.0512,0.5816,-0.4833,0.5024,1.0143,-0.6169,1.0124,0.6549,0.1284
Kent State,0.0716,-0.1751,1.1053,0.1292,-0.0429,-0.6169,-0.8431,-0.4476,-0.514
Chattanooga,0.056,0.2034,-1.3254,0.4833,0.8017,-0.6169,0.7031,0.477,0.1284
UT Arlington,0.0539,-0.6793,0.9043,0.2153,-0.1578,-0.6169,-0.8431,0.263,-0.2025
Winthrop,0.0288,0.0142,-0.3971,0.2344,0.3765,-0.6169,-0.8431,0.4136,-0.301
Wyoming,0.0023,-0.1751,-0.0718,0.1962,-0.0429,-0.0707,2.2493,0.2838,1.1436
Delaware,0.0417,0.3607,-0.6268,0.3684,0.5891,-0.6169,-0.07,0.5343,-0.2954
Montana,0.0037,0.4301,0.5024,0.3397,0.727,-0.6169,-0.8431,0.477,-0.4223
Arkansas State,0.0573,-0.4659,0.3206,0.244,-0.2669,-0.6169,-0.07,-0.2409,-0.3849
Towson,0.0172,0.0142,-0.1196,0.2727,0.3765,-0.6169,1.2186,0.1002,-0.2954
Tulsa,0.0145,0.9597,-1.5837,-0.1675,-0.0429,-0.6169,0.1876,0.0876,0.5726
Tarleton State,-0.0011,0.0142,0.1675,0.311,1.1062,-0.6169,2.2493,0.8533,-0.2025
Wright State,-0.0384,-0.6793,1.3732,0.2823,0.164,-0.6169,-0.8431,-0.1563,-0.7378
Vanderbilt,-0.0439,-0.4659,-0.0239,-0.378,-1.4218,-0.6169,-0.8431,-0.3837,1.3583
UNC Asheville,-0.0269,-0.3324,1.2488,0.3301,0.8707,1.0217,-0.8431,0.7057,-0.301
Purdue Fort Wayne,-0.0731,1.1698,-1.622,0.1388,0.5891,-0.6169,0.1876,0.0412,-0.7378
Long Beach State,-0.0609,0.4301,-1.2775,0.2632,0.727,-0.6169,-0.8431,0.3793,-0.1379
Rhode Island,-0.0636,-0.3324,1.2392,-0.11,-0.5025,-0.6169,-0.07,0.1727,0.9946
Utah Valley,-0.0283,-0.6793,1.5072,0.1866,-0.3761,-0.6169,-0.8431,-0.168,-0.2025
St. Thomas,-0.0045,0.3607,-1.3923,0.3014,0.5891,-0.6169,-0.8431,-0.0791,-0.7429
Fordham,-0.0867,-0.146,-0.6842,-0.1388,-0.7323,-0.6169,-0.4012,-0.4232,0.9946
Ohio,-0.0772,-0.3324,-0.8182,0.1005,-0.0429,-0.6169,-0.8431,-0.2679,-0.514
UC Santa Barbara,-0.0975,0.5341,-0.7512,-0.0622,0.1869,-0.6169,-0.8431,-0.1168,-0.1379
Illinois State,-0.1166,0.0142,-0.177,0.0239,-0.2669,0.6122,-0.8431,-0.3338,0.6049
California Baptist,-0.0683,0.2454,-0.9043,0.0144,0.1869,-0.6169,-0.8431,-0.1168,-0.2025
UC Davis,-0.0996,-0.6793,-1.2201,0.0622,0.2846,-0.6169,0.7031,-0.1168,-0.1379
George Washington,-0.1254,1.4006,-1.6029,-0.2057,0.1869,0.3664,-0.07,0.4618,0.9946
South Dakota State,-0.0636,-0.6793,0.7608,0.0909,0.164,-0.6169,-0.8431,-0.1168,-0.7429
Massachusetts-Lowell,-0.103,0.4301,-1.4115,0.4067,1.0373,-0.6169,0.3939,0.5343,-0.0818
Illinois-Chicago,-0.1159,0.4301,0.0431,-0.1196,-0.9047,0.6122,-0.8431,-0.7922,0.6049
Fresno State,-0.156,0.0142,-0.3684,-0.2536,-0.6002,-0.6169,-0.8431,0.6176,1.1436
Saint Louis,-0.1736,0.0142,1.0,-0.4067,-0.9621,-0.6169,-0.8431,-0.05,0.9946
Jacksonville State,-0.1471,-0.3324,-1.3732,-0.0526,-0.3761,-0.6169,0.7031,-1.0331,-0.2891
Lipscomb,-0.1634,0.1743,0.4354,0.1483,0.457,-0.6169,0.3939,0.1002,-0.9378
Sam Houston,-0.1709,-0.4659,0.5311,0.0526,0.2846,-0.6169,0.1876,0.1727,-0.2891
Monmouth,-0.196,0.1743,0.0335,-0.0335,0.164,-0.6169,0.1876,0.6549,-0.2954
UTEP,-0.1919,0.0142,0.0526,-0.3014,-0.1578,-0.6169,-0.8431,-0.4367,-0.2891
Evansville,-0.1967,1.2621,-1.2679,-0.0431,0.164,-0.6169,1.2186,0.3428,0.6049
Temple,-0.2429,0.0142,-0.4545,-0.6077,-1.0426,-0.6169,-0.2246,-0.5509,0.5726
Pepperdine,-0.2436,-0.4659,-0.0813,-0.5885,-0.7725,-0.6169,-0.8431,-0.4232,0.1142
Bryant,-0.2354,-0.146,-0.2153,0.2249,0.5891,1.0217,-0.07,0.4136,-0.0818
Iona,-0.2246,-0.1751,0.8086,-0.0144,-0.0429,-0.6169,0.1876,-0.2409,-0.6217
San Jose State,-0.2646,0.0142,-0.9809,-0.4163,-1.0426,-0.6169,-0.2246,-0.5509,1.1436
Cleveland State,-0.2524,0.4301,-0.3301,-0.177,0.3765,1.0217,-0.8431,0.0412,-0.7378
Longwood,-0.2429,1.0541,-1.2584,0.0048,0.3765,-0.6169,-0.8431,0.1002,-0.301
Harvard,-0.2605,0.7076,-0.0622,0.0718,0.3651,-0.6169,0.1876,0.8958,0.1964
Fairfield,-0.2504,0.0142,-0.3493,0.1196,0.5029,4.2995,-0.8431,0.0412,-0.6217
Northern Kentucky,-0.2959,-0.6793,0.6268,-0.0813,-0.0486,-0.6169,-0.8431,-0.1168,-0.7378
Rice,-0.2714,-0.3324,0.8373,-0.5694,-0.9621,0.0857,-0.8431,-0.3837,0.5726
Pennsylvania,-0.3101,-0.146,0.4545,-0.3876,-0.876,-0.6169,-0.8431,-0.5509,0.1964
Wofford,-0.3006,-0.4018,0.4928,-0.0048,0.164,-0.6169,-0.8431,0.1727,0.1284
Northern Colorado,-0.2796,-0.1751,-0.5885,0.0335,0.5029,-0.6169,0.7031,0.1002,-0.4223
San Diego,-0.2626,0.4942,-0.3014,-0.4641,0.2501,-0.6169,-0.2246,0.2487,0.1142
Green Bay,-0.3203,-0.6793,-0.2823,-0.0239,0.5891,-0.6169,-0.8431,0.2382,-0.7378
La Salle,-0.2945,0.7076,-1.6124,-0.4545,-0.3761,-0.6169,-0.8431,0.263,0.9946
Georgia State,-0.3339,-0.4018,-0.1005,-0.2153,-0.3761,-0.6169,-0.07,-0.4232,-0.3849
Gardner-Webb,-0.2999,-1.3723,1.622,0.0431,-0.2669,-0.6169,-0.8431,-0.0083,-0.301
Texas A&M-Corpus Christi,-0.2605,-0.6793,-0.8852,-0.1005,0.5029,-0.6169,-0.8431,0.3428,-1.3825
Air Force,-0.4242,0.3607,-1.6699,-0.7799,-1.1173,0.0857,-0.8431,-0.9337,1.1436
Stetson,-0.3814,-0.3324,0.6364,-0.244,0.5891,-0.6169,2.2493,0.1727,-0.9378
Eastern Kentucky,-0.3142,-1.3095,1.3349,-0.1579,0.2846,-0.6169,-0.8431,0.1727,-0.9378
Columbia,-0.3244,0.4301,-1.5359,-0.1483,0.3651,-0.6169,-0.8431,0.6176,0.1964
Cal State Northridge,-0.3842,0.8461,-1.689,-0.2727,0.5891,-0.6169,-0.8431,0.1098,-0.1379
Quinnipiac,-0.3468,0.8461,-1.1627,0.177,1.336,-0.6169,-0.8431,0.9991,-0.6217
UC Riverside,-0.376,-0.8178,0.5789,-0.4928,-0.4795,-0.6169,0.7031,-0.665,-0.1379
New Hampshire,-0.3556,0.3607,-0.0909,-0.0909,0.3191,-0.6169,-0.8431,0.4136,-0.0818
East Tennessee State,-0.391,0.2034,0.0144,-0.2919,-0.2669,-0.6169,-0.8431,-0.0686,0.1284
Marshall,-0.3611,-0.6793,1.134,-0.4354,-0.4795,-0.6169,-0.8431,-0.0686,-0.3849
Merrimack,-0.4113,-0.6793,0.3971,-0.1866,0.5891,-0.6169,-0.8431,0.5343,-1.3837
