Team,Record,NET_Rank
Gonzaga,28-4,1
Houston,32-6,2
Kansas,34-6,3
Arizona,33-4,4
Baylor,27-7,5
Villanova,30-8,6
Tennessee,27-8,7
Texas Tech,27-10,8
Kentucky,26-8,9
Duke,32-7,10
UCLA,27-8,11
Purdue,29-8,12
Auburn,28-6,13
Iowa,26-10,14
Illinois,23-10,15
Texas,22-12,16
North Carolina,29-10,17
Connecticut,23-10,18
Saint Mary's (CA),25-8,19
Louisiana State,22-12,20
Arkansas,28-9,21
Virginia Tech,23-13,22
Ohio State,20-12,23
Providence,27-6,24
Wisconsin,25-8,25
San Francisco,23-10,26
Michigan,19-15,27
Loyola (IL),24-8,28
Murray State,28-3,29
San Diego State,23-9,30
Memphis,22-11,31
Alabama,19-14,32
TCU,21-13,33
Boise State,26-8,34
Colorado State,24-6,35
Texas A&M,26-13,36
Xavier,23-13,37
Michigan State,23-13,38
Oklahoma,19-16,39
Southern California,26-8,40
Iowa State,22-13,41
Wake Forest,25-10,42
Notre Dame,23-11,43
Indiana,21-14,44
Oklahoma State,15-15,45
Davidson,26-7,46
Miami (FL),26-11,47
Seton Hall,20-11,48
UAB,25-8,49
Marquette,19-13,50
Creighton,23-12,51
Dayton,24-11,52
Southern Methodist,24-9,53
Washington State,22-15,54
North Texas,23-7,55
Vermont,27-6,56
Virginia Commonwealth,22-10,57
Wyoming,24-9,58
Brigham Young,22-11,59
Mississippi State,18-16,60
Florida,20-14,61
Vanderbilt,19-17,62
Chattanooga,25-8,63
St. John's (NY),17-15,64
Utah State,17-16,65
Saint Louis,22-12,66
South Dakota State,28-5,67
Virginia,21-14,68
Kansas State,14-17,69
Santa Clara,21-12,70
Towson,25-9,71
Missouri State,22-11,72
West Virginia,16-17,73
Colorado,21-12,74
St. Bonaventure,23-10,75
Oregon,19-15,76
Fresno State,22-13,77
New Mexico State,24-7,78
Belmont,24-8,79
Rutgers,18-14,80
Clemson,17-16,81
Furman,21-12,82
Syracuse,16-17,83
Richmond,24-13,84
Drake,23-11,85
Toledo,25-8,86
Wichita State,15-13,87
Penn State,14-17,88
Iona,25-8,89
Maryland,15-17,90
Northwestern,14-16,91
Grand Canyon,21-8,92
South Carolina,17-13,93
Tulane,14-15,94
Middle Tennessee,24-11,95
Cincinnati,17-15,96
Nevada-Las Vegas,17-14,97
Northern Iowa,19-12,98
Central Florida,18-12,99
Arizona State,14-17,100
Louisiana Tech,21-10,101
Bradley,16-14,102
DePaul,15-16,103
Florida State,17-14,104
Saint Peter's,21-12,105
Stanford,16-16,106
Princeton,21-7,107
Wofford,17-13,108
Minnesota,13-17,109
Mississippi,13-19,110
Temple,17-12,111
Hofstra,19-11,112
Washington,17-15,113
George Mason,14-16,114
Morehead State,20-11,115
Utah Valley,18-12,116
Butler,12-19,117
Liberty,19-11,118
Ohio,24-10,119
Buffalo,17-11,120
Abilene Christian,21-11,121
Western Kentucky,17-13,122
Stephen F. Austin,18-10,123
Colgate,22-12,124
Nevada,12-18,125
Akron,22-10,126
Texas State,18-8,127
Montana State,25-8,128
Seattle,21-9,129
Louisville,13-19,130
Longwood,22-7,131
Florida Atlantic,16-15,132
Utah,11-20,133
Delaware,21-13,134
Wagner,20-6,135
UC Irvine,13-10,136
Southern Illinois,15-15,137
Kent State,21-11,138
NC State,11-21,139
Monmouth,21-13,140
Boston College,13-20,141
Rhode Island,14-16,142
UC Santa Barbara,15-11,143
College of Charleston,17-15,144
Nebraska,10-22,145
UNC Wilmington,25-9,146
Winthrop,20-9,147
Jacksonville State,19-11,148
Yale,18-12,149
California,12-20,150
Missouri,11-21,151
Coastal Carolina,15-14,152
Sam Houston,16-14,153
Drexel,14-14,154
Cal State Fullerton,19-11,155
South Alabama,17-12,156
Georgia Tech,11-20,157
Georgia State,15-11,158
Long Beach State,18-13,159
Oral Roberts,16-12,160
UTEP,18-14,161
North Dakota State,21-10,162
UC Riverside,14-12,163
Southern Utah,21-12,164
New Mexico,11-19,165
Weber State,19-12,166
Appalachian State,16-15,167
Jacksonville,17-10,168
Norfolk State,21-7,169
Gardner-Webb,15-13,170
UNC Greensboro,16-15,171
Hawaii,15-11,172
Oakland,18-12,173
Navy,20-11,174
VMI,13-16,175
Samford,18-11,176
Fordham,16-16,177
Massachusetts,15-17,178
Cleveland State,18-11,179
Tulsa,11-20,180
Portland,17-15,181
Saint Joseph's,11-19,182
East Carolina,15-15,183
Arkansas State,15-11,184
East Tennessee State,13-17,185
Wright State,21-14,186
Louisiana,14-15,187
Charlotte,17-14,188
Troy,17-12,189
Cornell,13-11,190
Mercer,14-17,191
Nicholls State,17-12,192
Pittsburgh,11-21,193
Georgetown,6-25,194
Niagara,13-16,195
Texas Southern,19-13,196
Bellarmine,16-13,197
Northern Kentucky,18-12,198
Florida Gulf Coast,20-12,199
Illinois State,11-20,200
Old Dominion,12-19,201
Fairfield,14-18,202
Northern Colorado,20-15,203
South Dakota,17-12,204
Bryant,21-10,205
Boston University,21-13,206
Valparaiso,12-18,207
Kansas City,15-12,208
Loyola Marymount,10-18,209
Marist,14-16,210
James Madison,13-14,211
Brown,11-16,212
Pennsylvania,12-16,213
Tarleton State,11-17,214
