RPI,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_RPI_Ws,Avg_RPI_Ls
69,Furman,22-8,69,186,8-1,44,247,10-3,11-4,1-1,1-5,2-2,3-0,16-1,228,58
70,St. John's (NY),21-13,70,71,12-1,32,197,14-5,4-7,3-1,4-5,4-4,6-4,7-0,145,76
71,Mississippi,20-13,71,70,10-3,84,174,11-5,6-5,3-3,3-9,2-4,7-0,8-0,158,48
72,Colorado,23-13,72,104,9-3,80,217,15-2,5-9,3-2,0-5,3-3,11-4,9-1,172,105
73,Liberty,26-7,73,249,8-4,101,195,13-1,11-3,2-3,3-1,3-3,4-3,16-0,223,106
74,Xavier,19-16,74,47,8-5,128,96,13-5,4-8,2-3,3-8,5-6,6-2,5-0,132,61
75,Montana,24-9,75,209,5-4,62,37,10-2,9-5,5-2,0-3,2-2,5-2,17-2,231,133
76,Bowling Green State,20-12,76,113,6-5,178,284,12-2,5-9,3-1,1-4,2-1,9-5,8-2,181,125
77,Dayton,21-12,77,90,8-5,125,81,13-4,7-4,1-4,1-7,2-2,4-3,14-0,200,62
78,Drake,22-10,78,164,9-2,42,150,11-2,7-6,4-2,1-2,2-1,9-5,10-2,188,154
79,Georgia Southern,19-12,79,105,6-5,75,45,8-4,7-7,4-1,0-2,1-5,8-5,10-0,198,102
80,Western Kentucky,20-14,80,88,7-6,121,93,10-4,6-8,4-2,1-5,4-3,8-5,7-1,171,109
81,San Diego,20-15,81,80,10-4,53,88,11-4,5-9,4-2,0-9,5-3,5-2,10-1,191,72
82,East Tennessee State,22-10,82,170,8-3,78,235,11-3,8-6,3-1,0-7,2-1,4-2,16-0,234,63
83,NC State,24-12,83,102,12-1,90,340,17-5,4-6,3-1,1-9,7-1,3-2,13-0,192,40
84,San Diego State,20-13,84,92,7-5,145,112,13-3,5-7,2-3,3-5,2-1,4-6,11-1,194,110
85,Colgate,23-11,85,207,7-5,104,215,14-1,9-9,0-1,0-2,1-3,9-3,13-3,210,148
86,Saint Louis,23-13,86,116,9-4,98,146,15-2,4-8,4-3,1-4,2-5,6-3,14-1,197,105
87,College of Charleston,23-9,87,214,10-2,48,187,12-2,8-5,3-2,1-3,2-3,4-1,16-2,216,115
88,Nebraska,18-17,88,44,9-1,35,153,12-5,2-10,4-2,2-13,5-2,5-2,6-0,139,45
89,Bucknell,21-12,89,130,6-6,135,95,12-3,7-8,2-1,1-3,2-3,5-4,13-2,189,147
90,Kent State,20-11,90,138,9-2,92,267,12-3,8-7,0-1,0-3,2-3,9-5,9-0,204,90
91,Penn State,14-18,91,18,7-4,51,21,9-6,4-9,1-3,3-11,0-3,8-4,3-0,124,61
92,Marshall,23-14,92,117,7-6,118,105,16-3,6-10,1-1,1-2,2-6,7-6,13-0,189,112
93,San Francisco,20-10,93,129,11-2,85,281,13-3,6-5,1-2,1-4,3-1,3-5,13-0,207,87
94,Northern Kentucky,24-9,94,248,8-3,66,164,15-1,7-7,2-1,0-3,0-0,7-4,17-2,229,156
95,Arkansas,18-16,95,60,9-4,96,85,12-6,5-8,1-2,1-8,4-5,9-3,4-0,148,61
96,Radford,19-11,96,162,5-6,99,69,8-3,9-7,2-1,1-3,0-0,7-5,11-3,208,146
97,Providence,18-16,97,55,10-3,79,129,11-7,5-6,2-3,3-7,4-5,5-3,6-1,138,72
98,Indiana,19-16,98,58,9-2,52,167,15-6,3-9,1-1,3-8,3-5,5-3,8-0,151,57
99,Southern Mississippi,17-12,99,131,5-3,123,264,8-2,7-8,2-2,1-3,1-3,8-5,7-1,188,124
100,South Carolina,15-16,100,40,4-8,233,100,10-6,4-8,1-2,3-9,2-5,5-1,5-1,149,64
101,Georgetown,19-14,101,79,10-3,120,242,13-6,5-6,1-2,3-6,5-4,4-4,7-0,155,72
102,UCLA,17-16,102,51,7-6,107,9,13-5,3-7,1-4,1-6,1-7,6-3,9-0,166,66
