Team,Record,NET_Rank
Gonzaga,31-1,1
Baylor,28-2,2
Michigan,23-5,3
Illinois,24-7,4
Houston,27-4,5
Southern California,25-8,6
Iowa,22-9,7
Alabama,26-7,8
Colorado,23-9,9
Loyola (IL),24-5,10
Villanova,18-7,11
Texas Tech,18-11,12
Ohio State,21-10,13
Arkansas,25-7,14
UCLA,22-10,15
Brigham Young,19-7,16
Kansas,20-9,17
Texas,19-8,18
Tennessee,18-9,19
Virginia,18-7,20
Florida State,18-7,21
West Virginia,19-10,22
Wisconsin,18-13,23
Oregon,21-7,24
Louisiana State,19-10,25
San Diego State,22-5,26
Creighton,22-9,27
Oklahoma State,21-9,28
Purdue,18-10,29
Colgate,14-2,30
St. Bonaventure,16-5,31
Arizona,17-9,32
Connecticut,15-8,33
Florida,15-10,34
Memphis,20-8,35
Oklahoma,16-11,36
Syracuse,18-10,37
Maryland,16-14,38
North Carolina,18-11,39
Rutgers,16-12,40
Georgia Tech,17-9,41
Virginia Commonwealth,19-7,42
Drake,24-5,43
Penn State,11-14,44
Clemson,16-8,45
Missouri,16-10,46
Utah State,19-9,47
UC Santa Barbara,20-5,48
Duke,13-11,49
Oregon State,19-13,50
Virginia Tech,15-7,51
Saint Louis,14-7,52
Boise State,18-9,53
Mississippi,16-12,54
North Texas,17-10,55
Stanford,14-13,56
Seton Hall,14-13,57
Louisville,13-7,58
Southern Methodist,11-6,59
Saint Mary's (CA),14-10,60
Kentucky,9-16,61
Xavier,13-8,62
Colorado State,19-8,63
Utah,12-13,64
Winthrop,23-2,65
Auburn,13-14,66
Indiana,12-15,67
Richmond,13-9,68
St. John's (NY),16-11,69
Wichita State,14-6,70
Louisiana Tech,23-8,71
Georgetown,13-13,72
NC State,14-11,73
Abilene Christian,20-5,74
Wright State,18-6,75
Michigan State,15-13,76
Davidson,12-9,77
Mississippi State,18-15,78
Toledo,21-9,79
Furman,13-9,80
Minnesota,14-15,81
Western Kentucky,21-8,82
UAB,20-7,83
Washington State,14-13,84
Liberty,19-6,85
Buffalo,15-9,86
Providence,13-13,87
Ohio,16-8,88
Marshall,15-7,89
Dayton,14-10,90
UNC Greensboro,21-9,91
Belmont,25-4,92
Marquette,13-14,93
Pepperdine,13-12,94
Loyola Marymount,13-9,95
Northwestern,8-15,96
Missouri State,15-7,97
Notre Dame,11-15,98
Arizona State,11-14,99
Georgia,13-12,100
Nevada,15-10,101
UC Irvine,16-9,102
Central Florida,11-12,103
San Francisco,11-14,104
Pittsburgh,10-12,105
UC Riverside,14-8,106
Navy,15-3,107
Grand Canyon,14-7,108
Eastern Washington,15-8,109
Vanderbilt,9-16,110
Weber State,14-6,111
Rhode Island,10-15,112
Wofford,13-9,113
Akron,13-8,114
South Dakota State,15-7,115
Vermont,10-5,116
Mercer,15-11,117
Kent State,14-8,118
Massachusetts,8-7,119
Indiana State,14-10,120
Cincinnati,12-11,121
Southern Utah,15-4,122
Pacific,8-9,123
Butler,10-15,124
Oral Roberts,15-11,125
Morehead State,21-8,126
Tulsa,9-12,127
East Tennessee State,11-12,128
Nebraska,6-20,129
Georgia State,14-6,130
Santa Clara,11-8,131
Old Dominion,14-8,132
TCU,12-14,133
California,8-20,134
George Mason,12-9,135
Maryland-Baltimore County,14-6,136
Chattanooga,16-8,137
South Carolina,6-15,138
Duquesne,9-9,139
James Madison,10-7,140
Iona,12-6,141
Stephen F. Austin,13-5,142
UTEP,9-12,143
Bryant,14-7,144
Cal State Bakersfield,13-11,145
Northeastern,10-9,146
Drexel,12-8,147
Siena,12-5,148
VMI,10-12,149
Texas A&M,8-10,150
Bowling Green State,13-12,151
Army,11-10,152
Miami (FL),10-17,153
Texas State,17-6,154
Eastern Kentucky,20-7,155
Jacksonville State,16-9,156
North Dakota State,15-12,157
Tulane,10-13,158
Coastal Carolina,14-8,159
Temple,5-11,160
UTSA,11-11,161
Hofstra,13-10,162
Wyoming,14-11,163
New Mexico State,9-8,164
Non D1,15-9,165
South Dakota,13-11,166
DePaul,5-14,167
Washington,5-21,168
Sam Houston,15-9,169
Cleveland State,19-8,170
Loyola (MD),6-11,171
Bellarmine,12-8,172
Bradley,10-16,173
Detroit Mercy,12-10,174
East Carolina,7-11,175
Kansas State,9-19,176
Wagner,13-7,177
Florida Atlantic,9-10,178
Ball State,10-13,179
Mount St. Mary's,12-11,180
Nicholls State,17-7,180
Rice,12-13,181
Miami (OH),11-11,182
Norfolk State,15-8,183
Boston College,4-16,184
Louisiana,15-9,186
Northern Iowa,8-15,187
Elon,9-9,188
Nevada-Las Vegas,10-15,189
Texas Southern,16-9,190
Hawaii,9-10,191
Saint Peter's,14-11,192
Morgan State,12-7,193
Gardner-Webb,11-15,194
Monmouth,12-8,195
Wake Forest,5-16,196
Prairie View,16-5,197
Murray State,11-13,198
Fresno State,10-12,199
South Florida,8-13,200
American,4-6,201
Montana,10-13,202
South Alabama,13-11,203
Boston University,7-11,204
Campbell,15-10,205
Utah Valley,9-11,206
Southern Illinois,11-14,207
Canisius,7-6,208
La Salle,8-16,209
The Citadel,9-12,210
UC Davis,9-8,211
Montana State,11-10,212
Lafayette,9-6,213
Massachusetts-Lowell,11-12,214
Appalachian State,13-12,215
Albany (NY),7-9,216
Northern Kentucky,14-11,217
Niagara,9-11,218
College of Charleston,7-10,219
Delaware,6-8,220
Little Rock,10-15,221
Saint Joseph's,5-15,222
Valparaiso,8-18,223
Iowa State,2-22,224
Bucknell,5-7,225
Stony Brook,8-14,226
Long Island University,9-9,227
Holy Cross,5-11,228
Radford,13-12,229
Evansville,9-16,230
Charlotte,9-15,231
Merrimack,9-9,232
Marist,12-9,233
San Diego,3-11,234
Western Carolina,9-16,235
Seattle,8-11,236
Milwaukee,10-12,237
California Baptist,9-10,238
Arkansas State,8-13,239
Lipscomb,11-12,240
Kansas City,7-13,241
UT Arlington,10-13,242
Illinois State,6-18,243
UC San Diego,4-10,244
New Hampshire,9-9,245
UNC Wilmington,6-10,246
St. Francis (NY),9-10,247
Austin Peay,12-13,248
Cal State Fullerton,5-10,249
UNC Asheville,10-10,250
Sacramento State,6-12,251
Jackson State,12-6,252
Tarleton State,5-10,253
Northern Colorado,8-11,254
Oakland,12-18,255
Fairleigh Dickinson,9-15,256
Stetson,10-14,257
Longwood,12-16,258
Portland State,6-12,259
Youngstown State,11-12,260
Quinnipiac,9-13,261
Georgia Southern,9-13,262
Long Beach State,6-12,263
Idaho State,8-11,264
Southern Mississippi,6-17,265
George Washington,5-12,266
NJIT,7-12,267
Coppin State,9-13,268
