Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,30,17,13,0.567,-5.04,-5.97,9,9,12,6,5,7,2216,1820.0,66.1,111.8,0.296,0.457,0.548,53.7,63.1,11.6,6.0,0.513,16.9,36.0,0.224
2,Air Force,33,19,14,0.576,2.69,0.31,11,7,11,4,8,10,2033,1777.0,65.9,92.7,0.227,0.279,0.453,50.6,55.1,16.6,6.0,0.419,15.1,31.1,0.166
3,Akron,29,17,12,0.586,0.5,1.75,13,7,9,4,8,8,1947,1885.0,70.6,95.1,0.29,0.323,0.509,50.5,58.2,10.3,9.2,0.477,18.1,28.6,0.203
4,Alabama,34,20,14,0.588,14.87,9.6,6,10,13,6,7,8,2431,2252.0,72.6,97.4,0.333,0.392,0.523,48.7,45.8,12.2,6.7,0.486,17.3,29.1,0.239
5,Alabama A&M,29,15,14,0.517,-13.64,-10.53,13,5,7,4,8,10,1730,1820.0,70.7,83.6,0.322,0.215,0.449,51.3,52.5,9.0,10.6,0.405,18.7,32.3,0.225
6,Alabama State,30,15,15,0.5,-14.43,-7.63,11,6,11,2,4,13,1910,2030.0,75.0,84.6,0.344,0.251,0.466,50.6,60.3,9.3,9.7,0.424,21.9,33.7,0.236
7,Albany (NY),33,23,10,0.697,-4.16,-10.28,13,5,16,1,7,9,1885,1601.0,62.2,91.9,0.245,0.339,0.491,56.6,59.6,13.2,9.9,0.467,20.9,38.0,0.164
8,Alcorn State,25,3,22,0.12,-30.1,-8.64,2,14,1,10,2,12,1298,1736.0,70.0,73.8,0.264,0.367,0.422,41.6,53.5,9.7,4.5,0.389,22.9,23.7,0.172
9,American,32,23,9,0.719,-2.83,-5.61,13,5,16,1,7,8,1900,1811.0,67.7,87.0,0.273,0.284,0.489,47.3,62.8,12.2,6.2,0.455,19.7,23.8,0.195
10,Appalachian State,26,14,12,0.538,-6.5,-4.63,8,4,9,5,5,7,1785,1674.0,74.7,90.2,0.294,0.455,0.493,48.9,51.2,12.3,5.7,0.469,21.1,27.5,0.187
11,Arizona,29,21,8,0.724,23.04,13.21,10,6,16,3,5,5,1949,1664.0,68.0,97.6,0.278,0.321,0.513,49.6,56.6,15.0,10.9,0.484,15.5,28.0,0.195
12,Arizona State,26,12,14,0.462,16.21,12.82,4,8,11,5,1,9,1645,1497.0,66.6,94.1,0.284,0.353,0.481,52.9,57.4,10.8,10.6,0.441,17.4,33.8,0.211
13,Arkansas,32,18,14,0.563,20.22,13.16,7,9,14,5,4,9,2355,2129.0,74.3,98.3,0.315,0.397,0.502,46.7,48.0,9.9,11.4,0.471,12.8,24.2,0.211
14,Arkansas State,28,12,16,0.429,-5.99,-6.03,5,9,8,7,4,9,2173,1824.0,71.3,108.8,0.311,0.34,0.514,54.4,52.2,12.9,5.8,0.478,16.1,36.3,0.224
15,Arkansas-Pine Bluff,29,13,16,0.448,-11.99,-10.24,9,9,6,5,7,11,1988,1876.0,73.6,93.1,0.344,0.305,0.474,51.6,57.4,10.8,7.4,0.431,17.5,33.3,0.24
16,Army,29,16,13,0.552,-9.02,-7.24,10,8,10,4,6,9,1841,1813.0,69.7,89.9,0.242,0.381,0.461,55.3,48.4,9.4,5.9,0.432,19.3,36.9,0.164
17,Auburn,28,10,18,0.357,8.11,10.29,2,14,8,7,2,11,1784,1845.0,72.6,87.3,0.34,0.23,0.458,48.4,48.5,11.6,8.1,0.419,16.9,30.7,0.225
