Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,30,17,13,0.567,-5.04,-5.97,9,9,12,6,5,7,2216,1820.0,1201,687.0,1517.0,0.453,181.0,529.0,0.342,265.0,377.0,0.703,251.0,806.0,397.0,198.0,84.0,397.0,494.0
2,Air Force,33,19,14,0.576,2.69,0.31,11,7,11,4,8,10,2033,1777.0,1329,646.0,1503.0,0.43,117.0,394.0,0.297,368.0,513.0,0.717,227.0,985.0,281.0,173.0,106.0,565.0,458.0
3,Akron,29,17,12,0.586,0.5,1.75,13,7,9,4,8,8,1947,1885.0,1157,688.0,1682.0,0.409,165.0,518.0,0.319,344.0,474.0,0.726,278.0,915.0,355.0,240.0,80.0,386.0,451.0
4,Alabama,34,20,14,0.588,14.87,9.6,6,10,13,6,7,8,2431,2252.0,1374,858.0,2069.0,0.415,175.0,572.0,0.306,361.0,551.0,0.655,367.0,1135.0,472.0,239.0,174.0,534.0,571.0
5,Alabama A&M,29,15,14,0.517,-13.64,-10.53,13,5,7,4,8,10,1730,1820.0,1169,660.0,1701.0,0.388,133.0,420.0,0.317,367.0,569.0,0.645,295.0,963.0,328.0,223.0,90.0,406.0,526.0
6,Alabama State,30,15,15,0.5,-14.43,-7.63,11,6,11,2,4,13,1910,2030.0,1205,694.0,1782.0,0.389,164.0,560.0,0.293,478.0,683.0,0.7,347.0,1009.0,368.0,289.0,136.0,468.0,536.0
7,Albany (NY),33,23,10,0.697,-4.16,-10.28,13,5,16,1,7,9,1885,1601.0,1322,613.0,1640.0,0.374,140.0,481.0,0.291,235.0,351.0,0.67,259.0,803.0,324.0,275.0,100.0,464.0,458.0
8,Alcorn State,25,3,22,0.12,-30.1,-8.64,2,14,1,10,2,12,1298,1736.0,1006,599.0,1391.0,0.431,129.0,409.0,0.315,409.0,604.0,0.677,326.0,953.0,331.0,235.0,77.0,368.0,361.0
9,American,32,23,9,0.719,-2.83,-5.61,13,5,16,1,7,8,1900,1811.0,1289,696.0,1745.0,0.399,129.0,528.0,0.244,290.0,416.0,0.697,306.0,1022.0,357.0,238.0,88.0,537.0,532.0
10,Appalachian State,26,14,12,0.538,-6.5,-4.63,8,4,9,5,5,7,1785,1674.0,1060,636.0,1552.0,0.41,122.0,362.0,0.337,280.0,404.0,0.693,293.0,914.0,330.0,215.0,67.0,449.0,412.0
11,Arizona,29,21,8,0.724,23.04,13.21,10,6,16,3,5,5,1949,1664.0,1170,574.0,1471.0,0.39,146.0,432.0,0.338,370.0,487.0,0.76,214.0,854.0,323.0,159.0,83.0,509.0,434.0
12,Arizona State,26,12,14,0.462,16.21,12.82,4,8,11,5,1,9,1645,1497.0,1048,540.0,1314.0,0.411,127.0,399.0,0.318,290.0,409.0,0.709,191.0,725.0,298.0,185.0,76.0,383.0,411.0
13,Arkansas,32,18,14,0.563,20.22,13.16,7,9,14,5,4,9,2355,2129.0,1288,778.0,1965.0,0.396,181.0,563.0,0.321,392.0,562.0,0.698,333.0,1208.0,377.0,159.0,133.0,482.0,600.0
14,Arkansas State,28,12,16,0.429,-5.99,-6.03,5,9,8,7,4,9,2173,1824.0,1120,664.0,1475.0,0.45,152.0,465.0,0.327,344.0,504.0,0.683,262.0,871.0,378.0,186.0,72.0,370.0,441.0
15,Arkansas-Pine Bluff,29,13,16,0.448,-11.99,-10.24,9,9,6,5,7,11,1988,1876.0,1159,684.0,1720.0,0.398,160.0,502.0,0.319,348.0,507.0,0.686,329.0,995.0,388.0,213.0,89.0,429.0,525.0
16,Army,29,16,13,0.552,-9.02,-7.24,10,8,10,4,6,9,1841,1813.0,1174,715.0,1688.0,0.424,151.0,479.0,0.315,232.0,330.0,0.703,246.0,878.0,382.0,237.0,102.0,392.0,444.0
17,Auburn,28,10,18,0.357,8.11,10.29,2,14,8,7,2,11,1784,1845.0,1125,661.0,1604.0,0.412,134.0,422.0,0.318,389.0,542.0,0.718,280.0,964.0,317.0,187.0,123.0,463.0,516.0
18,Austin Peay,33,20,13,0.606,-1.8,-5.89,11,7,13,4,7,9,2182,1903.0,1329,665.0,1599.0,0.416,168.0,540.0,0.311,405.0,554.0,0.731,224.0,827.0,356.0,227.0,82.0,464.0,535.0
19,Ball State,33,20,13,0.606,4.55,1.25,11,8,10,7,10,6,2356,2247.0,1329,814.0,1954.0,0.417,216.0,678.0,0.319,403.0,553.0,0.729,287.0,1097.0,422.0,233.0,70.0,486.0,483.0
20,Baylor,35,28,7,0.8,28.19,11.87,15,3,18,3,10,4,2677,2106.0,1405,750.0,2080.0,0.361,200.0,656.0,0.305,406.0,550.0,0.738,296.0,1071.0,401.0,222.0,91.0,514.0,671.0
21,Bellarmine,28,4,24,0.143,-20.51,-3.78,1,15,4,9,0,15,1702,1950.0,1120,712.0,1594.0,0.447,168.0,542.0,0.31,358.0,485.0,0.738,291.0,979.0,396.0,237.0,101.0,396.0,446.0
22,Belmont,31,23,8,0.742,13.06,-0.01,16,2,12,2,11,6,2155,1750.0,1249,648.0,1719.0,0.377,134.0,447.0,0.3,320.0,453.0,0.706,303.0,991.0,333.0,174.0,79.0,488.0,509.0
23,Bethune-Cookman,27,6,21,0.222,-22.56,-9.28,4,13,3,8,3,13,1619,1808.0,1084,664.0,1566.0,0.424,140.0,459.0,0.305,340.0,500.0,0.68,305.0,931.0,397.0,246.0,109.0,433.0,445.0
24,Binghamton,29,9,20,0.31,-13.19,-10.27,5,13,7,9,2,11,1668,1581.0,1166,611.0,1551.0,0.394,99.0,417.0,0.237,260.0,410.0,0.634,279.0,933.0,287.0,238.0,75.0,400.0,394.0
