Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,2196.0,1753.0,72.0,84.0,0.385,0.349,0.498,48.5,49.8,9.1,9.9,0.458,24.7,26.8,0.262
2,Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,1468.0,1798.0,63.9,112.5,0.328,0.405,0.594,59.9,56.3,9.4,8.2,0.574,18.7,35.4,0.226
3,Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,1798.0,1660.0,70.1,101.8,0.261,0.339,0.515,48.3,44.9,7.9,6.7,0.485,14.5,28.6,0.186
4,Alabama,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,2629.0,2313.0,74.7,93.5,0.307,0.343,0.492,48.3,44.0,10.6,14.2,0.458,17.7,28.8,0.211
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,950.0,1008.0,70.1,94.3,0.374,0.333,0.48,50.2,53.7,11.3,6.9,0.44,15.5,29.2,0.251
6,Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,1156.0,1288.0,72.4,98.9,0.369,0.319,0.526,50.9,49.8,10.7,11.4,0.489,18.0,29.6,0.257
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,1110.0,1099.0,69.7,98.6,0.293,0.369,0.54,52.1,48.8,8.1,11.0,0.513,18.6,27.3,0.202
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,1256.0,1437.0,71.3,106.1,0.501,0.39,0.585,52.2,58.0,9.5,10.8,0.554,19.6,30.3,0.34
9,American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,691.0,736.0,67.5,103.8,0.384,0.295,0.533,51.8,43.7,12.0,7.8,0.502,15.3,29.9,0.257
10,Appalachian State,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,2039.0,1860.0,66.8,94.0,0.239,0.377,0.507,49.2,50.2,8.3,13.1,0.479,18.1,26.8,0.17
11,Arizona,26,17,9,0.654,15.02,8.18,11.0,9.0,12.0,4.0,5.0,5.0,1961.0,1783.0,68.4,99.3,0.324,0.367,0.525,44.9,46.3,7.8,7.0,0.492,16.0,24.1,0.229
12,Arizona State,25,11,14,0.44,7.48,10.24,7.0,10.0,7.0,6.0,2.0,6.0,1858.0,1927.0,72.6,105.1,0.361,0.363,0.563,55.4,55.6,7.6,8.2,0.525,18.2,30.0,0.269
13,Arkansas,32,25,7,0.781,17.8,7.18,13.0,4.0,16.0,1.0,5.0,4.0,2604.0,2264.0,75.1,93.9,0.29,0.377,0.508,47.4,48.3,8.7,8.5,0.479,17.8,26.0,0.199
14,Arkansas State,24,11,13,0.458,-7.97,-5.87,7.0,8.0,9.0,3.0,1.0,9.0,1741.0,1667.0,69.3,99.7,0.275,0.335,0.515,47.5,48.4,9.7,10.2,0.481,15.7,27.6,0.203
15,Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,3.0,12.0,2.0,3.0,2.0,17.0,1549.0,1921.0,69.5,109.4,0.383,0.333,0.567,53.3,59.4,11.8,9.9,0.541,16.0,31.7,0.258
16,Army,22,12,10,0.545,0.06,0.63,7.0,7.0,5.0,5.0,5.0,3.0,1578.0,1529.0,70.0,98.7,0.243,0.406,0.537,50.5,50.5,9.9,9.7,0.511,17.6,24.1,0.176
17,Auburn,27,13,14,0.481,10.02,9.28,7.0,11.0,8.0,5.0,3.0,8.0,2084.0,2064.0,73.4,103.1,0.316,0.355,0.525,48.0,45.5,11.8,11.5,0.496,15.8,31.5,0.217
18,Austin Peay,27,14,13,0.519,-6.66,-8.22,10.0,10.0,8.0,5.0,4.0,6.0,2007.0,1890.0,69.0,100.4,0.327,0.371,0.561,47.9,45.4,11.2,6.7,0.538,20.6,29.7,0.221
