Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,2196.0,1753.0,72.0,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.23
2,Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,1468.0,1798.0,63.9,91.9,0.309,0.45,0.547,40.1,59.0,11.1,8.0,0.521,21.2,15.3,0.214
3,Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,1798.0,1660.0,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31.0,0.23
4,Alabama,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,2629.0,2313.0,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,950.0,1008.0,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199
6,Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,1156.0,1288.0,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,1110.0,1099.0,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,1256.0,1437.0,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5.0,0.444,17.7,29.7,0.247
9,American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,691.0,736.0,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189
10,Appalachian State,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,2039.0,1860.0,66.8,103.1,0.34,0.437,0.52,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252
11,Arizona,26,17,9,0.654,15.02,8.18,11.0,9.0,12.0,4.0,5.0,5.0,1961.0,1783.0,68.4,109.2,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34.0,0.304
12,Arizona State,25,11,14,0.44,7.48,10.24,7.0,10.0,7.0,6.0,2.0,6.0,1858.0,1927.0,72.6,101.4,0.333,0.354,0.53,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242
13,Arkansas,32,25,7,0.781,17.8,7.18,13.0,4.0,16.0,1.0,5.0,4.0,2604.0,2264.0,75.1,108.0,0.327,0.339,0.544,52.6,49.8,10.4,13.0,0.508,14.7,31.3,0.242
14,Arkansas State,24,11,13,0.458,-7.97,-5.87,7.0,8.0,9.0,3.0,1.0,9.0,1741.0,1667.0,69.3,104.1,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248
15,Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,3.0,12.0,2.0,3.0,2.0,17.0,1549.0,1921.0,69.5,88.2,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279
16,Army,22,12,10,0.545,0.06,0.63,7.0,7.0,5.0,5.0,5.0,3.0,1578.0,1529.0,70.0,101.9,0.283,0.41,0.541,49.5,53.8,8.9,4.2,0.523,15.9,23.2,0.18
17,Auburn,27,13,14,0.481,10.02,9.28,7.0,11.0,8.0,5.0,3.0,8.0,2084.0,2064.0,73.4,104.1,0.362,0.461,0.546,52.0,56.3,8.4,14.8,0.512,18.7,34.8,0.256
18,Austin Peay,27,14,13,0.519,-6.66,-8.22,10.0,10.0,8.0,5.0,4.0,6.0,2007.0,1890.0,69.0,106.6,0.286,0.354,0.546,52.1,48.7,9.7,5.9,0.513,17.8,36.0,0.215
19,Ball State,23,10,13,0.435,-1.96,-1.22,8.0,9.0,7.0,4.0,3.0,8.0,1719.0,1736.0,72.0,102.7,0.287,0.412,0.547,49.4,51.9,7.5,6.2,0.513,17.3,27.8,0.215
20,Baylor,30,28,2,0.933,24.83,7.4,13.0,1.0,11.0,0.0,7.0,1.0,2487.0,1964.0,69.6,118.7,0.265,0.384,0.586,53.2,55.3,12.7,10.3,0.565,14.0,36.4,0.188
21,Bellarmine,22,14,8,0.636,-1.76,-5.56,10.0,3.0,6.0,4.0,7.0,2.0,1634.0,1456.0,65.8,112.9,0.285,0.315,0.594,50.8,55.6,11.1,8.3,0.567,15.1,26.8,0.216
22,Belmont,30,26,4,0.867,3.46,-8.71,18.0,2.0,11.0,1.0,10.0,2.0,2439.0,2074.0,71.9,112.7,0.282,0.43,0.588,50.4,61.2,10.7,7.5,0.563,14.8,26.1,0.208
23,Binghamton,18,4,14,0.222,-12.24,-5.35,4.0,10.0,1.0,9.0,3.0,5.0,1178.0,1302.0,66.2,96.9,0.232,0.454,0.511,50.2,46.3,7.4,8.3,0.489,17.8,29.1,0.156
24,Boise State,28,19,9,0.679,9.75,1.71,14.0,6.0,11.0,1.0,6.0,6.0,2122.0,1868.0,70.2,107.4,0.346,0.389,0.558,52.1,50.9,9.3,7.7,0.522,14.7,26.8,0.255
25,Boston College,20,4,16,0.2,0.82,8.97,2.0,11.0,3.0,5.0,0.0,7.0,1427.0,1590.0,71.8,98.7,0.297,0.461,0.528,47.2,46.0,10.0,10.0,0.498,16.8,25.0,0.208
26,Boston University,18,7,11,0.389,-3.71,0.84,6.0,10.0,2.0,6.0,5.0,5.0,1249.0,1331.0,67.9,102.2,0.286,0.38,0.531,51.2,42.1,7.9,8.2,0.496,16.1,28.8,0.214
27,Bowling Green State,26,14,12,0.538,-0.17,-2.37,10.0,8.0,4.0,7.0,10.0,3.0,2015.0,1939.0,71.9,106.8,0.278,0.385,0.514,49.4,45.3,9.8,5.9,0.48,11.5,30.5,0.204
28,Bradley,28,12,16,0.429,0.32,1.17,6.0,12.0,8.0,6.0,2.0,9.0,1948.0,1864.0,66.4,103.9,0.24,0.369,0.534,52.3,51.9,7.7,11.3,0.509,16.0,29.3,0.174
29,Brigham Young,27,20,7,0.741,15.19,7.23,10.0,3.0,11.0,2.0,7.0,2.0,2109.0,1853.0,70.2,109.8,0.275,0.394,0.58,54.7,56.2,6.5,7.2,0.556,16.4,28.6,0.2
30,Brown,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
31,Bryant,22,15,7,0.682,-1.37,-7.27,10.0,4.0,10.0,1.0,5.0,5.0,1843.0,1664.0,77.2,108.5,0.344,0.398,0.577,50.8,52.7,8.9,8.6,0.541,17.3,28.2,0.262
32,Bucknell,12,5,7,0.417,-7.78,-5.36,4.0,6.0,2.0,3.0,3.0,4.0,899.0,928.0,73.1,102.5,0.363,0.391,0.561,47.6,46.3,8.0,8.1,0.52,16.0,19.8,0.277
33,Buffalo,25,16,9,0.64,6.5,-1.58,12.0,5.0,8.0,3.0,5.0,3.0,2034.0,1823.0,74.2,108.6,0.293,0.312,0.537,55.1,51.8,10.6,9.6,0.514,15.5,37.2,0.197
34,Butler,25,10,15,0.4,4.76,9.92,8.0,12.0,8.0,4.0,1.0,9.0,1588.0,1717.0,65.1,96.1,0.294,0.398,0.5,48.8,53.8,8.4,6.0,0.475,15.3,26.0,0.19
35,Cal Poly,24,4,20,0.167,-13.69,-1.56,1.0,15.0,3.0,8.0,0.0,11.0,1475.0,1700.0,68.5,89.3,0.295,0.373,0.492,46.4,57.4,9.0,9.3,0.454,18.2,22.1,0.213
36,Cal State Bakersfield,26,15,11,0.577,-0.13,-2.38,11.0,7.0,9.0,2.0,6.0,8.0,1811.0,1665.0,65.7,105.6,0.272,0.27,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194
