Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,27,14,13,0.519,-10.53,-6.44,6.0,7.0,9,4,5.0,8.0,1843,1472.0,63.5,107.0,0.329,0.486,0.552,57.9,57.9,12.4,7.7,0.513,22.2,36.4,0.249
2,Air Force,26,8,18,0.308,-3.91,2.18,4.0,14.0,5,9,3.0,9.0,1563,1580.0,69.4,86.6,0.196,0.307,0.447,50.7,51.8,14.2,9.1,0.416,17.9,31.1,0.145
3,Akron,21,7,14,0.333,-4.95,2.8,4.0,14.0,4,6,3.0,8.0,1417,1477.0,74.3,90.3,0.22,0.346,0.503,44.3,54.7,9.8,7.6,0.474,18.7,18.3,0.164
4,Alabama,27,17,10,0.63,16.96,13.55,8.0,8.0,8,5,8.0,4.0,2014,1922.0,72.3,102.8,0.322,0.387,0.544,50.7,58.6,7.3,5.2,0.506,16.1,28.9,0.243
5,Alabama A&M,17,10,7,0.588,-8.31,-14.14,8.0,5.0,5,2,5.0,5.0,1122,1023.0,70.3,93.2,0.312,0.259,0.491,53.8,49.4,8.7,8.2,0.464,18.7,34.8,0.199
6,Alabama State,20,16,4,0.8,-5.97,-15.77,14.0,3.0,10,1,6.0,3.0,1468,1272.0,75.8,96.9,0.433,0.28,0.534,53.1,58.1,10.0,8.9,0.494,20.0,32.6,0.298
7,Albany (NY),18,7,11,0.389,-16.51,-9.29,5.0,7.0,3,2,4.0,9.0,897,1027.0,64.2,77.6,0.245,0.304,0.448,50.3,58.6,9.9,8.3,0.419,23.1,28.5,0.162
8,Alcorn State,20,7,13,0.35,-21.06,-11.76,7.0,8.0,5,3,2.0,10.0,1170,1356.0,72.7,79.9,0.254,0.289,0.437,41.8,49.0,15.7,4.2,0.412,19.3,26.1,0.155
9,American,11,7,4,0.636,-8.21,-10.3,6.0,3.0,4,0,3.0,4.0,705,682.0,70.0,91.6,0.353,0.282,0.532,50.7,61.3,10.5,11.2,0.497,20.9,22.9,0.249
10,Appalachian State,27,15,12,0.556,-9.94,-7.35,10.0,8.0,7,6,8.0,6.0,1747,1817.0,74.6,86.7,0.306,0.383,0.462,48.6,47.7,10.8,3.2,0.425,18.6,30.5,0.208
11,Arizona,27,21,6,0.778,30.95,19.88,13.0,4.0,12,2,4.0,3.0,1791,1492.0,69.9,94.0,0.268,0.31,0.491,50.3,46.9,15.0,11.4,0.461,14.7,25.6,0.185
12,Arizona State,24,12,12,0.5,13.35,16.06,6.0,9.0,11,5,1.0,7.0,1296,1306.0,64.1,83.8,0.293,0.353,0.424,51.1,63.2,13.1,6.3,0.379,18.6,35.6,0.208
13,Arkansas,28,19,9,0.679,21.01,12.48,9.0,6.0,13,3,6.0,5.0,2305,2066.0,77.5,106.3,0.361,0.389,0.558,42.9,43.2,10.1,6.3,0.521,12.4,18.5,0.265
14,Arkansas State,21,9,12,0.429,-13.24,-9.01,4.0,10.0,7,6,2.0,6.0,1391,1101.0,64.4,101.7,0.306,0.334,0.486,57.2,54.1,12.6,9.1,0.454,19.1,37.2,0.205
15,Arkansas-Pine Bluff,21,3,18,0.143,-24.43,-9.33,2.0,13.0,1,5,2.0,13.0,1320,1637.0,77.1,81.1,0.357,0.315,0.458,46.6,56.7,8.5,8.9,0.418,21.8,28.2,0.235
16,Army,20,9,11,0.45,-15.44,-12.24,6.0,8.0,5,6,4.0,5.0,1185,1249.0,68.2,86.9,0.318,0.402,0.487,48.7,58.3,8.7,6.2,0.45,20.2,26.4,0.22
17,Auburn,24,5,19,0.208,4.59,11.71,0.0,15.0,5,9,0.0,10.0,1564,1735.0,74.8,87.1,0.264,0.281,0.455,48.8,47.8,14.0,5.9,0.417,17.2,31.1,0.191
18,Austin Peay,23,12,11,0.522,-2.09,-4.91,10.0,8.0,6,5,6.0,6.0,1469,1317.0,67.8,93.7,0.289,0.483,0.491,53.0,56.4,12.4,7.5,0.462,19.0,32.4,0.194
19,Ball State,25,14,11,0.56,0.95,1.15,12.0,8.0,3,8,11.0,3.0,1824,1829.0,74.8,95.6,0.413,0.323,0.53,52.1,51.5,8.7,8.3,0.489,19.4,29.7,0.291
20,Baylor,31,28,3,0.903,38.32,11.74,17.0,1.0,15,1,10.0,1.0,2539,1691.0,74.5,109.5,0.299,0.161,0.541,64.1,63.0,12.6,13.6,0.511,17.2,46.0,0.213
21,Bellarmine,22,5,17,0.227,-20.86,-6.46,5.0,11.0,2,8,3.0,9.0,1381,1698.0,74.5,83.8,0.305,0.304,0.454,45.2,49.4,9.9,5.7,0.407,18.5,26.2,0.224
22,Belmont,27,21,6,0.778,9.51,-1.27,14.0,3.0,9,3,11.0,2.0,1873,1582.0,68.0,102.0,0.214,0.418,0.529,49.4,59.0,15.6,8.0,0.508,16.4,32.9,0.15
23,Binghamton,16,5,11,0.313,-18.45,-13.38,5.0,9.0,4,7,1.0,4.0,863,944.0,69.7,77.4,0.2,0.254,0.439,47.6,45.4,10.3,7.7,0.421,21.0,26.9,0.118
24,Boise State,23,14,9,0.609,2.39,-0.52,10.0,8.0,9,5,5.0,4.0,1594,1440.0,75.2,92.2,0.202,0.237,0.473,55.5,51.9,9.9,15.0,0.451,16.5,34.0,0.136
25,Boston College,19,7,12,0.368,10.46,13.14,2.0,11.0,6,4,1.0,8.0,1295,1346.0,73.6,92.0,0.223,0.332,0.476,48.9,52.5,11.9,5.1,0.439,17.9,35.1,0.174
26,Boston University,15,12,3,0.8,-0.84,-12.31,10.0,2.0,6,2,6.0,1.0,984,812.0,66.8,98.1,0.173,0.328,0.524,57.1,57.4,13.1,8.0,0.507,18.6,35.2,0.119
27,Bowling Green State,29,21,8,0.724,10.61,1.92,14.0,4.0,13,4,8.0,4.0,2127,1875.0,73.6,98.8,0.295,0.372,0.527,47.7,57.0,14.0,6.3,0.492,15.9,25.4,0.218
28,Bradley,29,17,12,0.586,9.0,5.25,10.0,8.0,10,5,7.0,6.0,2050,1841.0,69.9,101.1,0.273,0.36,0.52,52.6,54.3,9.2,13.7,0.486,15.4,28.9,0.202
29,Brigham Young,25,19,6,0.76,15.18,5.98,13.0,3.0,10,1,8.0,4.0,1709,1421.0,68.1,100.4,0.209,0.347,0.526,53.3,61.8,11.0,12.1,0.501,17.6,31.1,0.155
30,Bryant,21,7,14,0.333,-24.94,-14.99,5.0,12.0,4,7,3.0,7.0,1212,1421.0,72.6,78.1,0.239,0.256,0.453,51.3,55.3,10.3,6.8,0.425,24.0,29.9,0.159
31,Bucknell,10,9,1,0.9,10.78,-4.32,8.0,0.0,5,1,4.0,0.0,706,555.0,70.9,99.6,0.27,0.258,0.521,53.5,59.0,8.5,10.4,0.481,12.1,19.8,0.213
32,Buffalo,24,15,9,0.625,4.72,0.1,11.0,6.0,7,2,8.0,7.0,1771,1660.0,74.0,99.2,0.293,0.295,0.489,53.0,48.2,10.8,7.1,0.453,14.5,37.2,0.209
33,Butler,20,3,17,0.15,-8.73,10.57,3.0,15.0,2,8,1.0,9.0,1144,1530.0,70.6,81.0,0.261,0.424,0.465,42.0,49.1,10.1,5.5,0.428,20.7,22.5,0.189
34,Cal Poly,24,13,11,0.542,-1.97,-0.47,8.0,8.0,7,4,6.0,7.0,1481,1517.0,69.0,88.0,0.184,0.279,0.469,54.7,57.1,11.3,7.5,0.44,18.6,34.3,0.138
35,Cal State Bakersfield,18,9,9,0.5,-4.63,-3.19,7.0,6.0,3,8,6.0,1.0,1080,1106.0,67.1,89.4,0.261,0.309,0.48,47.5,54.9,11.5,9.1,0.448,18.6,29.2,0.184
36,Cal State Fullerton,22,4,18,0.182,-10.66,-0.61,2.0,14.0,3,8,1.0,10.0,1248,1320.0,66.6,84.3,0.263,0.325,0.468,52.3,61.6,10.5,10.2,0.443,22.9,28.4,0.167
37,California,17,1,16,0.059,0.01,19.65,1.0,12.0,1,9,0.0,7.0,846,1180.0,68.5,72.6,0.31,0.285,0.419,49.5,50.7,7.9,11.2,0.378,24.8,32.6,0.206
