Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
1,Stanford,Pac-12,31,2,77.7,53.7,24.0,18.26,22.31,19.95,42.26,90.89,30.33,60.56
2,Connecticut,Big East,28,2,81.9,52.6,29.3,9.57,19.53,19.35,38.87,93.31,37.7,55.61
3,Baylor,Big 12,28,3,81.9,54.5,27.35,11.74,20.82,17.5,38.32,82.76,30.79,51.97
4,Maryland,Big Ten,26,3,90.8,69.0,21.79,14.54,29.39,6.95,36.34,102.79,50.93,51.86
5,South Carolina,SEC,26,5,75.4,58.1,17.29,17.55,16.83,18.01,34.84,83.48,32.82,50.67
6,UCLA,Pac-12,17,6,71.4,58.3,13.13,18.84,16.72,15.25,31.97,82.05,36.01,46.03
7,Oregon,Pac-12,15,9,70.9,59.6,11.29,19.72,15.05,15.96,31.01,81.81,37.75,44.06
8,Arizona,Pac-12,21,6,66.3,55.3,11.07,19.88,11.59,19.37,30.95,75.8,30.48,45.32
9,Indiana,Big Ten,21,6,74.4,59.9,14.52,15.64,13.86,16.3,30.16,84.96,40.46,44.51
10,Louisville,ACC,26,4,76.8,60.7,16.07,13.25,16.47,12.85,29.32,89.65,45.86,43.79
11,NC State,ACC,22,3,77.2,62.1,15.08,12.71,16.53,11.26,27.79,88.11,45.86,42.25
12,Michigan,Big Ten,16,6,75.3,64.9,10.45,16.75,15.88,11.33,27.21,87.69,47.96,39.73
13,Rutgers,Big Ten,14,5,75.1,57.7,17.37,9.34,11.88,14.83,26.7,89.46,48.9,40.56
14,Ohio State,Big Ten,13,7,80.2,70.1,10.15,15.34,19.3,6.19,25.49,86.03,49.35,36.68
15,Iowa,Big Ten,20,10,86.1,80.3,5.8,18.51,27.18,-2.88,24.31,98.59,62.91,35.68
16,Georgia,SEC,21,7,71.3,60.5,10.82,13.27,11.51,12.58,24.09,74.71,38.1,36.6
17,Oregon State,Pac-12,12,8,71.3,65.4,5.9,22.35,16.43,7.5,23.93,77.08,44.08,33.0
18,Tennessee,SEC,17,8,71.9,62.5,9.36,14.44,12.95,10.84,23.8,79.11,42.73,36.38
19,Texas A&M,SEC,25,3,75.2,62.6,12.61,11.1,13.35,10.36,23.7,79.5,42.27,37.23
20,Northwestern,Big Ten,16,9,67.4,61.1,6.24,17.05,7.54,15.75,23.29,78.01,43.46,34.55
21,Oklahoma State,Big 12,19,9,71.0,62.3,8.79,14.13,10.19,12.73,22.92,75.07,40.2,34.87
22,Texas,Big 12,21,10,68.9,62.6,6.26,16.33,8.58,14.01,22.58,75.44,41.58,33.86
23,Iowa State,Big 12,17,11,77.0,71.4,5.57,16.97,17.83,4.71,22.54,85.24,51.7,33.54
24,West Virginia,Big 12,22,7,72.3,66.0,6.31,15.49,11.96,9.84,21.8,78.6,45.78,32.82
25,Kentucky,SEC,18,9,73.0,66.4,6.52,14.61,12.23,8.9,21.13,81.88,49.02,32.85
26,Arkansas,SEC,19,9,82.3,73.8,8.54,12.48,22.18,-1.17,21.01,86.54,54.42,32.12
27,Michigan State,Big Ten,15,9,75.2,68.8,6.33,14.32,12.97,7.76,20.74,83.2,52.23,30.96
28,Washington State,Pac-12,12,12,63.2,63.4,-0.21,20.6,8.24,12.16,20.39,72.13,42.01,30.12
29,Gonzaga,WCC,23,4,71.0,53.5,17.52,4.46,7.64,12.6,20.24,71.28,40.89,30.39
30,Georgia Tech,ACC,17,9,65.6,61.6,4.04,16.14,6.51,13.67,20.18,80.0,48.02,31.98
31,Missouri State,MVC,23,3,70.2,55.7,14.5,8.64,8.01,11.71,19.72,72.96,43.4,29.56
32,Virginia Tech,ACC,15,10,72.0,66.0,6.04,13.4,12.1,7.34,19.44,81.41,51.57,29.85
33,Colorado,Pac-12,12,11,64.7,59.0,5.65,15.96,7.18,11.19,18.37,67.53,41.7,25.82
34,North Carolina,ACC,13,11,74.7,67.3,7.38,10.45,13.21,4.62,17.82,79.04,51.23,27.81
35,Syracuse,ACC,15,9,71.9,66.5,5.46,15.93,12.26,5.45,17.72,76.01,50.29,25.72
36,South Florida,AAC,19,4,65.4,55.4,10.0,7.67,5.16,12.51,17.67,75.02,45.88,29.15
37,Stephen F. Austin,Southland,24,3,80.2,48.0,32.15,-9.9,10.69,6.89,17.59,67.74,40.13,27.6
38,Alabama,SEC,17,10,74.6,71.2,3.41,13.55,13.84,3.12,16.96,84.05,56.26,27.78
39,Mississippi,SEC,15,12,69.6,61.1,8.44,10.02,7.83,9.0,16.84,67.73,42.12,25.61
40,Marquette,Big East,19,7,70.5,61.7,8.77,8.03,9.24,7.56,16.8,79.53,53.81,25.72
41,Nebraska,Big Ten,13,13,69.6,70.1,-0.46,16.52,9.46,6.52,15.98,80.77,56.15,24.62
42,Missouri,SEC,9,13,73.1,69.5,3.68,12.29,11.48,4.49,15.97,79.17,54.3,24.87
43,South Dakota,Summit,19,6,74.2,57.8,16.44,2.34,6.85,8.9,15.75,72.84,47.46,25.38
44,Mississippi State,SEC,10,9,72.4,67.6,4.84,10.85,11.51,4.18,15.69,75.45,50.16,25.3
45,Florida State,ACC,10,9,65.3,65.8,-0.53,15.91,6.44,8.95,15.39,73.37,49.59,23.78
46,Central Florida,AAC,16,5,57.7,50.5,7.24,8.03,-2.37,17.64,15.27,66.38,40.32,26.06
47,Brigham Young,WCC,19,6,68.4,56.8,11.52,5.98,5.53,9.65,15.18,65.45,42.8,22.66
48,Notre Dame,ACC,10,10,70.0,70.5,-0.5,15.41,10.49,4.42,14.91,78.93,55.07,23.86
49,Wake Forest,ACC,12,13,66.4,68.5,-2.08,16.78,7.29,7.41,14.7,78.24,54.86,23.38
50,Southern California,Pac-12,11,12,63.6,68.9,-5.26,19.73,9.87,4.61,14.47,71.93,49.94,21.99
51,Washington,Pac-12,7,14,58.8,64.9,-6.14,20.08,3.93,10.01,13.94,64.77,43.45,21.32
52,Oklahoma,Big 12,12,12,73.5,75.1,-1.58,15.46,14.13,-0.25,13.88,80.1,57.83,22.28
53,Florida Gulf Coast,A-Sun,26,3,81.6,56.3,25.31,-6.77,11.1,2.76,13.86,69.96,47.54,22.43
54,Louisiana State,SEC,9,13,60.2,63.5,-3.32,17.08,2.05,11.71,13.76,64.48,42.32,22.16
55,Drake,MVC,18,12,76.4,69.6,6.83,6.71,13.89,-0.36,13.54,78.8,57.49,21.31
56,South Dakota State,Summit,21,4,69.8,60.8,9.08,4.39,5.05,8.42,13.47,72.21,49.84,22.37
57,Arizona State,Pac-12,12,12,54.0,54.4,-0.42,16.06,-3.32,16.67,13.35,58.05,38.91,19.14
58,Seton Hall,Big East,14,7,76.7,66.7,10.0,3.18,14.35,-1.16,13.18,81.56,62.45,19.12
59,Duke,ACC,3,1,74.5,60.0,14.5,-1.61,7.67,5.22,12.9,78.71,55.37,23.34
60,Miami (FL),ACC,11,11,66.0,66.9,-0.82,13.29,5.46,7.02,12.47,74.27,53.97,20.3
61,Penn State,Big Ten,9,15,72.5,76.0,-3.54,15.94,12.87,-0.47,12.4,79.2,59.5,19.71
62,IUPUI,Horizon,15,5,70.1,57.3,12.85,-0.54,5.09,7.21,12.31,76.01,55.55,20.46
63,Clemson,ACC,12,14,70.7,68.8,1.85,10.42,9.68,2.59,12.27,74.23,54.0,20.22
64,Tulane,AAC,18,9,68.7,61.0,7.78,4.34,7.0,5.12,12.12,73.67,51.68,21.99
65,Houston,AAC,17,8,66.5,61.7,4.8,7.07,5.8,6.07,11.87,64.99,44.88,20.11
66,Rice,CUSA,23,4,69.9,58.9,11.04,0.76,4.19,7.61,11.8,71.28,49.41,21.87
67,DePaul,Big East,14,10,81.5,78.4,3.17,8.62,21.28,-9.49,11.78,80.78,62.74,18.04
68,New Mexico,MWC,15,5,81.2,65.3,15.95,-0.61,12.6,-1.32,11.28,61.02,48.18,12.84
69,Utah,Pac-12,5,16,60.2,70.9,-10.71,21.69,6.65,4.33,10.97,67.21,50.87,16.34
70,Florida,SEC,12,14,72.0,70.2,1.77,9.11,9.46,1.42,10.88,73.67,54.23,19.44
71,Bucknell,Patriot,9,1,70.6,55.5,15.1,-4.32,2.98,7.8,10.78,81.64,65.23,16.41
72,Northern Iowa,MVC,17,13,69.2,64.9,4.3,6.45,6.88,3.88,10.75,72.94,54.51,18.43
73,Bowling Green State,MAC,21,8,73.3,64.7,8.69,1.92,7.15,3.46,10.61,75.9,58.31,17.59
74,Villanova,Big East,17,7,70.9,66.5,4.46,6.14,7.65,2.94,10.59,77.6,60.81,16.79
75,Boston College,ACC,7,12,68.2,70.8,-2.68,13.14,8.57,1.89,10.46,75.53,58.69,16.84
76,Illinois State,MVC,15,9,68.3,58.0,10.33,3.61,3.43,6.7,10.13,69.41,52.76,16.65
77,Purdue,Big Ten,7,16,66.2,73.5,-7.26,17.24,5.53,4.45,9.98,74.49,58.51,15.98
78,Kansas State,Big 12,9,18,63.0,67.1,-4.04,14.01,2.73,7.24,9.97,68.32,51.85,16.47
79,Fresno State,MWC,17,11,77.8,70.6,7.11,2.73,13.41,-3.57,9.84,64.23,50.61,13.62
80,Kansas,Big 12,7,18,70.4,73.4,-3.04,12.84,9.8,0.0,9.8,71.64,54.84,16.81
81,Belmont,OVC,21,6,69.4,58.6,10.78,-1.27,3.4,6.11,9.51,74.51,55.84,18.67
82,Milwaukee,Horizon,20,8,64.1,55.7,8.39,0.79,-1.06,10.24,9.19,69.76,53.4,16.36
83,Bradley,MVC,17,12,70.7,63.5,7.21,5.25,7.33,1.68,9.0,72.89,58.23,14.66
84,Creighton,Big East,10,12,62.1,64.6,-2.45,11.07,0.97,7.65,8.62,72.44,59.09,13.35
85,Colorado State,MWC,15,6,77.6,60.9,16.76,0.85,7.56,0.92,8.48,50.15,40.18,9.97
86,TCU,Big 12,10,15,68.0,73.1,-5.12,13.49,7.22,1.15,8.37,67.46,52.0,15.47
87,UC Davis,Big West,13,3,64.5,56.8,7.75,0.46,-0.98,9.2,8.21,58.96,44.47,14.49
88,Wright State,Horizon,19,8,62.8,56.0,6.81,1.39,-1.74,9.94,8.2,69.18,53.97,15.21
89,Texas Tech,Big 12,10,15,71.3,72.2,-0.88,12.36,10.14,-2.33,7.82,69.7,55.56,14.13
90,Delaware,CAA,24,5,74.5,60.5,14.03,-2.9,7.3,0.38,7.68,69.91,56.25,13.66
91,Tennessee-Martin,OVC,22,6,68.8,60.7,8.07,-0.65,3.59,3.83,7.42,73.24,57.45,15.79
92,Central Michigan,MAC,18,9,77.7,74.3,3.37,3.88,11.17,-3.92,7.25,82.91,69.67,13.24
93,Minnesota,Big Ten,8,13,68.7,78.7,-10.0,17.2,8.06,-0.87,7.2,77.26,64.27,12.99
94,Idaho State,Big Sky,22,4,71.8,57.4,14.38,-4.19,1.87,5.27,7.14,58.77,44.37,14.39
95,Ohio,MAC,15,10,77.6,73.4,4.16,2.69,10.81,-3.97,6.85,75.54,63.14,12.39
96,Saint Louis,A-10,14,5,65.6,60.7,4.89,1.95,0.41,6.43,6.85,70.92,57.72,13.2
97,Pittsburgh,ACC,5,14,65.4,72.3,-6.84,13.33,5.19,1.31,6.49,70.22,58.47,11.75
98,San Francisco,WCC,16,11,71.9,65.0,6.89,4.89,7.84,-1.49,6.35,60.44,50.19,10.26
99,California Baptist,WAC,26,1,77.8,58.1,19.67,-8.09,7.92,-2.01,5.91,53.85,43.27,10.58
100,Dayton,A-10,14,5,66.7,58.4,8.32,-2.55,1.17,4.6,5.76,71.88,60.28,11.61
101,Wyoming,MWC,14,10,61.2,57.8,3.38,2.32,-5.1,10.8,5.69,52.79,46.08,6.71
102,Illinois,Big Ten,5,18,59.6,70.0,-10.48,16.02,0.1,5.44,5.54,64.35,53.06,11.29
103,San Diego,WCC,12,7,75.8,82.6,-6.79,1.54,-0.83,6.38,5.54,,,
104,Wisconsin,Big Ten,5,19,63.1,75.8,-12.67,17.93,3.24,2.02,5.26,70.97,61.68,9.29
105,Green Bay,Horizon,15,7,64.9,59.5,5.41,-0.21,-0.48,5.68,5.2,74.24,63.05,11.18
106,Massachusetts,A-10,16,8,71.7,66.1,5.58,-0.43,6.8,-1.64,5.16,74.45,64.53,9.92
107,Nevada-Las Vegas,MWC,15,9,70.1,68.0,2.13,2.85,5.5,-0.52,4.98,54.5,47.63,6.87
108,Buffalo,MAC,15,9,73.8,69.2,4.63,0.1,6.2,-1.48,4.72,74.67,65.12,9.55
109,Pacific,WCC,11,11,68.2,64.0,4.18,6.2,5.82,-1.17,4.65,52.63,45.58,7.05
110,North Dakota State,Summit,15,9,69.4,66.4,3.04,1.58,2.15,2.48,4.62,67.17,57.29,9.88
111,Auburn,SEC,5,19,65.2,72.3,-7.13,11.71,3.52,1.07,4.59,65.85,54.93,10.92
112,Middle Tennessee,CUSA,17,8,74.0,70.3,3.72,0.4,6.91,-2.79,4.12,70.29,59.54,10.75
113,Charlotte,CUSA,10,12,75.5,72.9,2.68,1.35,9.69,-5.66,4.03,68.64,58.11,10.54
114,Valparaiso,MVC,12,13,64.3,64.8,-0.52,4.39,1.15,2.72,3.87,66.13,57.95,8.19
115,Lehigh,Patriot,10,6,71.0,67.3,3.69,0.12,7.7,-3.89,3.81,79.03,73.21,5.82
116,Northern Kentucky,Horizon,8,11,65.0,64.3,0.68,3.04,2.07,1.66,3.73,70.43,62.04,8.39
117,Montana State,Big Sky,17,7,72.0,63.4,8.67,-5.09,2.97,0.6,3.58,62.58,53.58,8.99
118,Santa Clara,WCC,14,11,65.4,63.4,1.96,2.83,1.27,1.56,2.83,56.36,51.08,5.28
119,Virginia Commonwealth,A-10,16,11,63.9,62.4,1.52,1.08,-0.19,2.78,2.59,68.41,61.32,7.09
120,St. John's (NY),Big East,8,15,63.1,67.8,-4.7,7.18,0.27,2.21,2.48,68.89,63.88,5.01
121,Eastern Michigan,MAC,10,10,64.1,62.2,1.85,0.58,-3.07,5.5,2.43,60.9,54.09,6.8
122,Boise State,MWC,14,9,69.3,62.6,6.7,-0.52,2.36,0.03,2.39,44.47,42.62,1.86
123,Northern Illinois,MAC,12,12,73.3,73.5,-0.21,2.56,6.38,-4.02,2.36,73.21,67.11,6.11
124,Temple,AAC,11,11,62.0,66.9,-4.91,7.03,1.08,1.03,2.12,62.95,55.18,7.77
125,Troy,Sun Belt,22,6,86.0,68.1,17.93,-8.74,13.13,-11.06,2.07,59.72,51.94,7.78
126,North Texas,CUSA,13,7,69.3,66.3,3.05,-1.06,4.52,-2.53,1.99,63.62,55.52,8.1
127,Rhode Island,A-10,11,8,62.8,59.1,3.79,-1.81,-2.86,4.84,1.98,72.62,66.3,6.32
128,Cincinnati,AAC,8,16,61.8,66.4,-4.63,6.54,0.76,1.16,1.92,65.7,59.0,6.7
129,Old Dominion,CUSA,13,11,71.4,68.7,2.71,-0.8,4.51,-2.6,1.91,66.55,58.27,8.28
130,Fordham,A-10,12,6,61.8,57.4,4.39,-2.56,-2.88,4.71,1.83,71.58,64.17,7.41
131,Idaho,Big Sky,17,7,72.1,67.9,4.25,-2.85,4.36,-2.96,1.4,62.06,55.98,6.08
132,East Carolina,AAC,8,14,60.3,64.4,-4.14,5.33,-1.52,2.72,1.19,61.14,54.9,6.24
133,Wichita State,AAC,6,12,63.4,65.9,-2.5,3.62,1.11,0.01,1.12,64.66,58.24,6.41
134,Long Beach State,Big West,12,9,64.2,57.5,6.76,-2.63,-1.54,2.51,0.97,51.7,48.43,3.27
135,Ball State,MAC,14,11,73.0,73.2,-0.2,1.15,5.78,-4.83,0.95,72.1,67.3,4.8
136,UTEP,CUSA,17,8,69.7,64.7,5.0,-4.16,0.11,0.74,0.84,62.39,55.6,6.8
137,Jacksonville State,OVC,15,9,64.4,58.5,5.92,-5.19,-3.35,4.08,0.72,62.91,56.0,6.91
138,Portland,WCC,14,13,68.4,62.1,6.3,2.95,3.26,-2.54,0.72,54.32,51.15,3.16
139,Cleveland State,Horizon,14,9,64.0,58.4,5.61,-1.34,-1.53,2.24,0.71,59.12,55.26,3.86
140,Loyola (IL),MVC,12,15,58.3,56.7,1.56,2.1,-7.83,8.47,0.64,58.99,55.35,3.65
141,Louisiana Tech,CUSA,14,10,64.6,58.3,6.33,-3.88,-2.18,2.76,0.58,55.91,50.82,5.1
142,James Madison,CAA,14,10,70.0,68.7,1.29,-1.06,4.27,-4.03,0.24,70.97,66.37,4.59
143,Tennessee Tech,OVC,15,10,67.2,62.2,4.96,-4.84,0.58,-0.45,0.12,70.52,64.61,5.92
144,California,Pac-12,1,16,49.8,69.4,-19.65,19.65,-4.74,4.74,0.01,54.25,53.31,0.94
145,Nevada,MWC,13,9,63.7,57.7,6.0,0.2,-4.3,4.25,-0.05,42.59,40.47,2.12
146,Drexel,CAA,14,9,61.2,57.7,3.43,-3.51,-6.66,6.58,-0.08,67.77,63.49,4.28
147,Maine,AEC,17,3,66.2,52.7,13.5,-13.58,-1.07,0.99,-0.08,72.04,68.88,3.16
148,Southern Illinois,MVC,9,16,60.2,64.5,-4.32,3.99,-3.31,2.98,-0.33,67.75,65.57,2.18
149,Southeast Missouri State,OVC,15,11,65.3,59.6,5.69,-3.59,-1.98,1.31,-0.67,61.02,57.4,3.63
150,Marshall,CUSA,8,11,60.1,62.3,-2.21,1.42,-6.99,6.2,-0.79,56.06,52.03,4.03
151,Vanderbilt,SEC,4,4,74.3,78.3,-4.0,3.21,10.77,-11.55,-0.79,67.24,62.88,4.36
152,Youngstown State,Horizon,10,8,66.6,63.5,3.11,-3.9,-0.26,-0.53,-0.79,71.78,69.61,2.17
153,Boston University,Patriot,12,3,65.6,54.1,11.47,-12.31,-4.59,3.76,-0.84,74.43,73.27,1.16
154,Liberty,A-Sun,19,8,72.4,58.9,13.59,-9.26,0.44,-1.34,-0.9,61.14,56.49,4.65
155,Toledo,MAC,12,12,69.3,70.5,-1.21,0.19,1.07,-2.09,-1.02,69.96,67.84,2.13
156,Kent State,MAC,11,9,68.4,71.5,-3.1,2.03,0.93,-2.0,-1.07,70.86,69.12,1.74
157,Providence,Big East,7,14,57.3,63.8,-6.48,5.32,-7.12,5.96,-1.15,62.78,62.04,0.74
158,Richmond,A-10,13,9,63.3,61.5,1.82,-3.01,-1.18,-0.01,-1.19,65.32,64.09,1.23
159,Tulsa,AAC,5,14,56.2,64.9,-8.74,7.28,-4.23,2.77,-1.46,59.1,57.06,2.04
160,Louisiana,Sun Belt,16,8,62.3,56.0,6.25,-5.87,-4.43,2.81,-1.62,56.81,52.32,4.49
161,Mercer,Southern,19,7,68.3,59.0,9.35,-8.26,0.37,-2.04,-1.66,61.37,57.97,3.4
162,Towson,CAA,13,9,79.5,71.5,7.91,-4.62,10.1,-11.81,-1.71,68.5,67.78,0.72
163,Murray State,OVC,16,11,69.8,67.6,2.19,-3.94,3.28,-5.03,-1.75,67.94,65.23,2.72
164,Georgetown,Big East,2,15,50.4,62.8,-12.47,10.62,-12.37,10.52,-1.85,56.44,57.97,-1.53
165,Jackson State,SWAC,18,6,68.0,60.5,7.46,-9.35,-2.2,0.31,-1.89,60.38,55.16,5.22
166,Cal Poly,Big West,13,11,61.7,63.2,-1.5,-0.47,-3.24,1.27,-1.97,50.11,49.84,0.27
167,Elon,CAA,7,8,63.1,63.3,-0.2,-1.8,-2.57,0.57,-2.0,61.46,60.51,0.95
168,Austin Peay,OVC,12,11,63.9,57.3,6.61,-4.91,-5.02,2.93,-2.09,56.79,55.02,1.77
169,Stony Brook,AEC,15,6,59.5,52.0,7.48,-9.56,-7.01,4.93,-2.09,66.32,65.75,0.57
170,Grand Canyon,WAC,18,7,73.8,56.5,17.32,-8.98,0.89,-3.05,-2.16,50.65,48.15,2.5
171,UC Irvine,Big West,15,9,66.2,58.6,7.63,-3.03,-0.85,-1.44,-2.29,45.88,46.43,-0.55
172,Samford,Southern,14,11,68.2,58.7,9.52,-3.52,-0.77,-1.58,-2.35,59.46,57.91,1.54
173,Florida Atlantic,CUSA,11,11,72.6,68.1,4.55,-2.3,1.73,-4.22,-2.49,55.93,54.01,1.92
174,North Carolina A&T,MEAC,14,3,72.0,52.2,19.76,-17.12,-1.84,-0.66,-2.49,57.8,56.3,1.51
175,Loyola Marymount,WCC,7,19,61.1,63.4,-2.31,4.59,-2.6,0.08,-2.53,50.25,51.57,-1.32
176,Marist,MAAC,18,4,62.6,51.1,11.55,-14.25,-7.72,5.01,-2.71,66.5,65.73,0.77
177,Hawaii,Big West,9,8,63.5,56.1,7.47,-1.66,-2.03,-0.83,-2.86,46.29,47.93,-1.64
178,Sam Houston,Southland,15,8,75.8,60.1,15.7,-6.45,4.41,-7.31,-2.9,50.31,46.25,4.05
179,Saint Mary's (CA),WCC,7,19,62.8,66.2,-3.42,5.61,-0.17,-2.94,-3.12,50.31,53.41,-3.11
180,George Washington,A-10,9,14,56.1,54.3,1.74,-2.57,-9.71,6.55,-3.16,57.28,57.55,-0.27
181,Northern Arizona,Big Sky,15,14,71.2,70.1,1.07,-4.42,2.18,-5.53,-3.35,60.24,59.99,0.26
182,Oakland,Horizon,12,12,69.5,73.3,-3.88,0.47,5.47,-8.87,-3.41,70.05,71.04,-0.99
183,San Jose State,MWC,2,2,65.5,67.0,-1.5,-1.94,-1.87,-1.56,-3.44,47.13,51.74,-4.61
