Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,27,14,13,0.519,-10.53,-6.44,6.0,7.0,9,4,5.0,8.0,1843,1472.0,1084,566.0,1313.0,0.431,132.0,395.0,0.334,208.0,312.0,0.667,214.0,643.0,324.0,224.0,69.0,295.0,378.0
2,Air Force,26,8,18,0.308,-3.91,2.18,4.0,14.0,5,9,3.0,9.0,1563,1580.0,1039,593.0,1355.0,0.438,117.0,369.0,0.317,277.0,413.0,0.671,204.0,797.0,270.0,195.0,88.0,398.0,344.0
3,Akron,21,7,14,0.333,-4.95,2.8,4.0,14.0,4,6,3.0,8.0,1417,1477.0,844,537.0,1270.0,0.423,131.0,415.0,0.316,272.0,393.0,0.692,232.0,773.0,262.0,176.0,35.0,302.0,314.0
4,Alabama,27,17,10,0.63,16.96,13.55,8.0,8.0,8,5,8.0,4.0,2014,1922.0,1085,750.0,1735.0,0.432,177.0,474.0,0.373,245.0,359.0,0.682,276.0,892.0,383.0,189.0,93.0,335.0,479.0
5,Alabama A&M,17,10,7,0.588,-8.31,-14.14,8.0,5.0,5,2,5.0,5.0,1122,1023.0,687,374.0,980.0,0.382,78.0,247.0,0.316,197.0,295.0,0.668,161.0,522.0,180.0,134.0,42.0,237.0,276.0
6,Alabama State,20,16,4,0.8,-5.97,-15.77,14.0,3.0,10,1,6.0,3.0,1468,1272.0,800,446.0,1186.0,0.376,83.0,318.0,0.261,297.0,436.0,0.681,210.0,625.0,186.0,164.0,78.0,329.0,433.0
7,Albany (NY),18,7,11,0.389,-16.51,-9.29,5.0,7.0,3,2,4.0,9.0,897,1027.0,720,384.0,965.0,0.398,88.0,256.0,0.344,171.0,236.0,0.725,157.0,528.0,212.0,154.0,53.0,237.0,272.0
8,Alcorn State,20,7,13,0.35,-21.06,-11.76,7.0,8.0,5,3,2.0,10.0,1170,1356.0,806,495.0,1074.0,0.461,105.0,284.0,0.37,261.0,423.0,0.617,218.0,753.0,287.0,173.0,66.0,401.0,331.0
9,American,11,7,4,0.636,-8.21,-10.3,6.0,3.0,4,0,3.0,4.0,705,682.0,440,242.0,613.0,0.395,71.0,221.0,0.321,127.0,170.0,0.747,85.0,324.0,137.0,82.0,17.0,165.0,207.0
10,Appalachian State,27,15,12,0.556,-9.94,-7.35,10.0,8.0,7,6,8.0,6.0,1747,1817.0,1080,664.0,1562.0,0.425,141.0,422.0,0.334,348.0,502.0,0.693,264.0,960.0,337.0,196.0,107.0,473.0,520.0
11,Arizona,27,21,6,0.778,30.95,19.88,13.0,4.0,12,2,4.0,3.0,1791,1492.0,1089,546.0,1478.0,0.369,130.0,421.0,0.309,270.0,390.0,0.692,207.0,893.0,285.0,145.0,88.0,452.0,422.0
12,Arizona State,24,12,12,0.5,13.35,16.06,6.0,9.0,11,5,1.0,7.0,1296,1306.0,965,471.0,1142.0,0.412,114.0,375.0,0.304,250.0,350.0,0.714,197.0,708.0,253.0,186.0,123.0,387.0,402.0
13,Arkansas,28,19,9,0.679,21.01,12.48,9.0,6.0,13,3,6.0,5.0,2305,2066.0,1120,771.0,1771.0,0.435,175.0,526.0,0.333,349.0,492.0,0.709,309.0,1084.0,375.0,122.0,86.0,461.0,558.0
14,Arkansas State,21,9,12,0.429,-13.24,-9.01,4.0,10.0,7,6,2.0,6.0,1391,1101.0,848,403.0,1033.0,0.39,101.0,338.0,0.299,194.0,262.0,0.74,185.0,596.0,245.0,144.0,62.0,239.0,293.0
15,Arkansas-Pine Bluff,21,3,18,0.143,-24.43,-9.33,2.0,13.0,1,5,2.0,13.0,1320,1637.0,846,593.0,1375.0,0.431,139.0,414.0,0.336,312.0,456.0,0.684,272.0,791.0,344.0,223.0,71.0,296.0,404.0
16,Army,20,9,11,0.45,-15.44,-12.24,6.0,8.0,5,6,4.0,5.0,1185,1249.0,799,497.0,1234.0,0.403,119.0,414.0,0.287,136.0,202.0,0.673,212.0,671.0,244.0,126.0,67.0,249.0,345.0
17,Auburn,24,5,19,0.208,4.59,11.71,0.0,15.0,5,9,0.0,10.0,1564,1735.0,964,638.0,1412.0,0.452,191.0,516.0,0.37,268.0,372.0,0.72,213.0,827.0,382.0,198.0,74.0,417.0,390.0
18,Austin Peay,23,12,11,0.522,-2.09,-4.91,10.0,8.0,6,5,6.0,6.0,1469,1317.0,926,457.0,1124.0,0.407,92.0,310.0,0.297,311.0,443.0,0.702,162.0,668.0,226.0,145.0,63.0,360.0,363.0
