Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,27,14,13,0.519,-10.53,-6.44,6.0,7.0,9,4,5.0,8.0,1843,1472.0,63.5,85.5,0.238,0.301,0.504,42.1,57.2,13.0,9.3,0.481,16.8,25.1,0.158
2,Air Force,26,8,18,0.308,-3.91,2.18,4.0,14.0,5,9,3.0,9.0,1563,1580.0,69.4,87.6,0.305,0.272,0.509,49.3,45.5,10.8,7.9,0.481,20.4,27.0,0.204
3,Akron,21,7,14,0.333,-4.95,2.8,4.0,14.0,4,6,3.0,8.0,1417,1477.0,74.3,94.1,0.309,0.327,0.507,55.7,48.8,11.2,4.2,0.474,17.2,32.0,0.214
4,Alabama,27,17,10,0.63,16.96,13.55,8.0,8.0,8,5,8.0,4.0,2014,1922.0,72.3,98.1,0.207,0.273,0.504,49.3,51.1,9.6,9.5,0.483,15.0,29.2,0.141
5,Alabama A&M,17,10,7,0.588,-8.31,-14.14,8.0,5.0,5,2,5.0,5.0,1122,1023.0,70.3,85.0,0.301,0.252,0.457,46.2,48.1,11.1,5.7,0.421,17.5,28.0,0.201
6,Alabama State,20,16,4,0.8,-5.97,-15.77,14.0,3.0,10,1,6.0,3.0,1468,1272.0,75.8,84.0,0.368,0.268,0.457,46.9,41.7,10.8,9.5,0.411,19.1,29.3,0.25
7,Albany (NY),18,7,11,0.389,-16.51,-9.29,5.0,7.0,3,2,4.0,9.0,897,1027.0,64.2,88.8,0.245,0.265,0.477,49.7,55.2,13.3,8.5,0.444,18.0,28.9,0.177
8,Alcorn State,20,7,13,0.35,-21.06,-11.76,7.0,8.0,5,3,2.0,10.0,1170,1356.0,72.7,92.6,0.394,0.264,0.532,58.2,58.0,11.8,7.8,0.51,23.9,38.2,0.243
9,American,11,7,4,0.636,-8.21,-10.3,6.0,3.0,4,0,3.0,4.0,705,682.0,70.0,88.6,0.277,0.361,0.492,49.3,56.6,10.6,4.2,0.453,19.2,24.5,0.207
10,Appalachian State,27,15,12,0.556,-9.94,-7.35,10.0,8.0,7,6,8.0,6.0,1747,1817.0,74.6,90.2,0.321,0.27,0.505,51.4,50.8,9.7,10.5,0.47,20.8,30.4,0.223
11,Arizona,27,21,6,0.778,30.95,19.88,13.0,4.0,12,2,4.0,3.0,1791,1492.0,69.9,78.3,0.264,0.285,0.449,49.7,52.2,7.6,7.9,0.413,21.4,23.7,0.183
12,Arizona State,24,12,12,0.5,13.35,16.06,6.0,9.0,11,5,1.0,7.0,1296,1306.0,64.1,84.5,0.306,0.328,0.499,48.9,53.7,12.0,14.2,0.462,22.8,30.1,0.219
13,Arkansas,28,19,9,0.679,21.01,12.48,9.0,6.0,13,3,6.0,5.0,2305,2066.0,77.5,95.3,0.278,0.297,0.515,57.1,48.6,5.6,8.0,0.485,18.7,32.6,0.197
14,Arkansas State,21,9,12,0.429,-13.24,-9.01,4.0,10.0,7,6,2.0,6.0,1391,1101.0,64.4,80.5,0.254,0.327,0.476,42.8,60.8,10.5,7.4,0.439,17.1,25.0,0.188
15,Arkansas-Pine Bluff,21,3,18,0.143,-24.43,-9.33,2.0,13.0,1,5,2.0,13.0,1320,1637.0,77.1,100.6,0.332,0.301,0.514,53.4,58.0,13.7,8.4,0.482,15.7,35.9,0.227
16,Army,20,9,11,0.45,-15.44,-12.24,6.0,8.0,5,6,4.0,5.0,1185,1249.0,68.2,91.6,0.164,0.335,0.47,51.3,49.1,9.2,10.6,0.451,15.8,31.0,0.11
17,Auburn,24,5,19,0.208,4.59,11.71,0.0,15.0,5,9,0.0,10.0,1564,1735.0,74.8,96.6,0.263,0.365,0.546,51.2,59.9,11.0,6.7,0.519,20.8,29.5,0.19
18,Austin Peay,23,12,11,0.522,-2.09,-4.91,10.0,8.0,6,5,6.0,6.0,1469,1317.0,67.8,84.0,0.394,0.276,0.493,47.0,49.5,9.2,9.3,0.448,21.2,24.1,0.277
19,Ball State,25,14,11,0.56,0.95,1.15,12.0,8.0,3,8,11.0,3.0,1824,1829.0,74.8,95.9,0.255,0.395,0.508,47.9,49.3,11.9,5.2,0.474,16.5,28.0,0.19
20,Baylor,31,28,3,0.903,38.32,11.74,17.0,1.0,15,1,10.0,1.0,2539,1691.0,74.5,72.9,0.276,0.327,0.424,35.9,51.4,9.3,4.6,0.378,19.7,19.3,0.201
21,Bellarmine,22,5,17,0.227,-20.86,-6.46,5.0,11.0,2,8,3.0,9.0,1381,1698.0,74.5,103.0,0.287,0.367,0.564,54.8,54.8,11.7,10.4,0.542,18.8,32.5,0.199
22,Belmont,27,21,6,0.778,9.51,-1.27,14.0,3.0,9,3,11.0,2.0,1873,1582.0,68.0,86.2,0.318,0.347,0.479,50.6,59.1,9.7,7.3,0.447,22.2,34.2,0.209
23,Binghamton,16,5,11,0.313,-18.45,-13.38,5.0,9.0,4,7,1.0,4.0,863,944.0,69.7,84.7,0.293,0.228,0.45,52.4,40.0,13.0,5.7,0.415,19.1,32.1,0.194
24,Boise State,23,14,9,0.609,2.39,-0.52,10.0,8.0,9,5,5.0,4.0,1594,1440.0,75.2,83.3,0.243,0.294,0.459,44.5,47.9,10.6,4.4,0.428,17.3,22.8,0.168
25,Boston College,19,7,12,0.368,10.46,13.14,2.0,11.0,6,4,1.0,8.0,1295,1346.0,73.6,95.7,0.291,0.309,0.532,51.1,50.7,10.2,8.9,0.496,21.1,34.4,0.219
26,Boston University,15,12,3,0.8,-0.84,-12.31,10.0,2.0,6,2,6.0,1.0,984,812.0,66.8,81.0,0.233,0.349,0.465,42.9,52.4,10.3,5.0,0.428,21.3,23.1,0.175
27,Bowling Green State,29,21,8,0.724,10.61,1.92,14.0,4.0,13,4,8.0,4.0,2127,1875.0,73.6,87.1,0.289,0.37,0.493,52.3,54.5,9.0,10.3,0.458,22.0,29.9,0.205
28,Bradley,29,17,12,0.586,9.0,5.25,10.0,8.0,10,5,7.0,6.0,2050,1841.0,69.9,90.8,0.304,0.36,0.484,47.4,51.6,8.6,7.3,0.445,15.6,24.9,0.218
29,Brigham Young,25,19,6,0.76,15.18,5.98,13.0,3.0,10,1,8.0,4.0,1709,1421.0,68.1,83.4,0.291,0.362,0.458,46.7,53.3,11.3,6.1,0.413,18.2,27.5,0.217
30,Bryant,21,7,14,0.333,-24.94,-14.99,5.0,12.0,4,7,3.0,7.0,1212,1421.0,72.6,91.6,0.226,0.357,0.497,48.7,58.4,14.9,8.7,0.469,18.8,28.2,0.164
31,Bucknell,10,9,1,0.9,10.78,-4.32,8.0,0.0,5,1,4.0,0.0,706,555.0,70.9,78.3,0.229,0.322,0.431,46.5,51.7,5.5,6.1,0.392,16.3,15.9,0.172
32,Buffalo,24,15,9,0.625,4.72,0.1,11.0,6.0,7,2,8.0,7.0,1771,1660.0,74.0,92.9,0.307,0.397,0.493,47.0,63.9,8.5,4.9,0.458,17.8,30.8,0.213
33,Butler,20,3,17,0.15,-8.73,10.57,3.0,15.0,2,8,1.0,9.0,1144,1530.0,70.6,108.4,0.208,0.416,0.548,58.0,66.3,12.1,14.4,0.525,15.8,38.3,0.155
34,Cal Poly,24,13,11,0.542,-1.97,-0.47,8.0,8.0,7,4,6.0,7.0,1481,1517.0,69.0,90.1,0.344,0.437,0.503,45.3,58.7,10.9,6.6,0.463,19.4,24.5,0.245
35,Cal State Bakersfield,18,9,9,0.5,-4.63,-3.19,7.0,6.0,3,8,6.0,1.0,1080,1106.0,67.1,91.6,0.332,0.382,0.487,52.5,56.2,10.8,5.1,0.446,19.0,34.1,0.234
36,Cal State Fullerton,22,4,18,0.182,-10.66,-0.61,2.0,14.0,3,8,1.0,10.0,1248,1320.0,66.6,89.1,0.315,0.348,0.508,47.7,54.0,13.1,5.8,0.472,17.5,25.6,0.223
37,California,17,1,16,0.059,0.01,19.65,1.0,12.0,1,9,0.0,7.0,846,1180.0,68.5,101.3,0.173,0.33,0.501,50.5,59.1,15.4,9.7,0.484,13.2,34.9,0.116
