Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5.0,11.0,9,5,4,8,2249,2133,1210,727,1526,0.476,188,517,0.364,491,687,0.715,240,1008,374,167,98,530,573
2,Air Force,32,14,18,0.438,2.0,2.12,5.0,13.0,10,9,4,9,2142,2146,1295,764,1718,0.445,166,566,0.293,452,604,0.748,293,1036,323,183,99,352,545
3,Akron,33,22,11,0.667,4.19,-1.65,13.0,5.0,15,1,5,6,2463,2209,1330,802,1873,0.428,229,669,0.342,376,512,0.734,296,1081,370,190,99,407,608
4,Alabama,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,3027,2526,1510,885,2387,0.371,202,715,0.283,554,779,0.711,452,1383,364,268,142,434,737
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10.0,8.0,9,8,5,8,2297,2340,1336,781,1842,0.424,251,735,0.341,527,743,0.709,399,1179,420,258,115,510,581
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6.0,12.0,5,5,2,18,1963,2252,1245,801,1839,0.436,216,635,0.34,434,632,0.687,375,1184,367,218,153,379,513
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3.0,13.0,5,6,2,16,2086,2332,1245,836,1704,0.491,201,571,0.352,459,630,0.729,256,1040,450,203,111,364,507
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15.0,3.0,7,2,10,10,2165,2259,1301,778,1741,0.447,233,707,0.33,470,683,0.688,322,1077,458,183,109,463,565
9,American,32,17,15,0.531,-8.26,-7.73,7.0,11.0,8,6,9,9,2093,2110,1300,754,1665,0.453,216,561,0.385,386,534,0.723,275,931,394,264,75,390,486
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9.0,9.0,10,7,6,7,2248,2067,1290,753,1870,0.403,235,729,0.322,326,456,0.715,322,1152,378,192,76,399,512
11,Arizona,35,28,7,0.8,19.08,8.34,14.0,6.0,15,2,6,4,2866,2490,1400,905,2216,0.408,277,858,0.323,403,565,0.713,360,1163,443,276,122,431,671
12,Arizona State,36,23,13,0.639,11.29,8.18,11.0,9.0,10,5,7,6,2559,2447,1455,836,2096,0.399,279,818,0.341,496,702,0.707,423,1382,458,219,107,505,652
13,Arkansas,36,22,14,0.611,15.99,9.87,8.0,10.0,14,3,2,8,2666,2446,1445,847,1996,0.424,189,608,0.311,563,788,0.714,348,1189,382,241,103,519,681
14,Arkansas State,33,13,20,0.394,-8.07,-3.3,4.0,14.0,10,8,2,11,2169,2232,1325,778,1776,0.438,219,596,0.367,457,615,0.743,298,1093,378,199,112,382,549
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,6.0,12.0,8,5,2,16,2074,2162,1250,738,1689,0.437,197,603,0.327,489,695,0.704,287,1127,437,262,105,497,523
16,Army,33,17,16,0.515,-7.13,-7.58,10.0,8.0,10,5,7,8,2412,2322,1330,852,1909,0.446,243,733,0.332,375,539,0.696,262,1002,448,227,102,356,533
17,Auburn,34,21,13,0.618,14.35,9.29,10.0,8.0,14,2,4,8,2474,2302,1365,788,1935,0.407,192,667,0.288,534,752,0.71,401,1211,380,238,118,442,610
18,Austin Peay,31,9,22,0.29,-12.17,-2.6,3.0,15.0,7,8,1,13,2067,2241,1245,796,1664,0.478,202,593,0.341,447,604,0.74,291,1092,427,192,80,421,480
19,Ball State,32,20,12,0.625,-1.2,-3.5,11.0,7.0,12,2,6,7,2445,2292,1285,823,1873,0.439,237,619,0.383,409,561,0.729,311,1054,306,198,79,373,650
20,Baylor,34,23,11,0.676,17.3,10.54,11.0,7.0,14,3,5,5,2619,2389,1365,864,1902,0.454,234,720,0.325,427,595,0.718,341,1086,518,208,97,460,624
21,Bellarmine,33,15,18,0.455,-7.42,-1.35,9.0,9.0,8,6,6,12,2187,2216,1330,763,1717,0.444,315,889,0.354,375,520,0.721,276,1039,448,179,67,394,491
22,Belmont,32,21,11,0.656,1.88,-1.93,14.0,6.0,12,2,7,7,2447,2299,1290,852,1895,0.45,230,645,0.357,365,547,0.667,334,1127,420,184,111,406,478
23,Bethune-Cookman,32,12,20,0.375,-17.15,-7.82,8.0,10.0,8,5,3,13,2172,2401,1285,845,1862,0.454,242,686,0.353,469,640,0.733,368,1209,441,229,119,436,540
24,Binghamton,31,13,18,0.419,-10.44,-5.51,8.0,8.0,8,7,5,11,2133,2217,1260,781,1786,0.437,203,618,0.328,452,619,0.73,305,1042,322,229,95,334,506
25,Boise State,34,24,10,0.706,12.78,6.21,13.0,5.0,14,1,6,6,2451,2198,1375,802,1933,0.415,223,717,0.311,371,528,0.703,284,1096,364,176,109,401,569
26,Boston College,33,16,17,0.485,1.09,4.73,9.0,11.0,9,7,4,7,2197,2317,1330,833,1882,0.443,274,744,0.368,377,519,0.726,310,1122,408,219,109,406,505
27,Boston University,32,15,17,0.469,-8.1,-6.52,8.0,10.0,9,4,6,11,2147,2151,1300,749,1725,0.434,227,676,0.336,426,618,0.689,259,1077,371,199,124,397,508
28,Bowling Green State,31,11,20,0.355,-8.46,-3.81,5.0,13.0,7,9,4,11,2355,2434,1240,866,1857,0.466,253,708,0.357,449,616,0.729,298,1074,451,185,108,357,556
29,Bradley,35,25,10,0.714,6.51,-0.67,16.0,4.0,15,1,8,6,2473,2195,1405,760,1875,0.405,231,725,0.319,444,592,0.75,282,1107,371,222,85,442,555
30,Brigham Young,34,19,15,0.559,9.43,5.4,7.0,9.0,12,4,2,7,2568,2376,1365,819,1898,0.432,243,717,0.339,495,712,0.695,282,1084,411,248,87,463,605
31,Brown,27,14,13,0.519,-2.47,-2.69,7.0,7.0,7,5,7,8,1878,1872,1086,689,1541,0.447,200,571,0.35,294,414,0.71,218,929,325,183,82,374,459
32,Bryant,30,17,13,0.567,-3.59,-4.52,8.0,8.0,9,4,7,8,2381,2193,1205,778,1849,0.421,237,719,0.33,400,570,0.702,284,1021,433,208,88,372,540
33,Bucknell,32,12,20,0.375,-9.93,-6.96,5.0,13.0,7,7,3,13,2161,2192,1290,815,1846,0.441,237,666,0.356,325,506,0.642,272,1020,453,247,100,332,472
34,Buffalo,32,15,17,0.469,-2.97,0.67,9.0,9.0,11,4,3,9,2481,2485,1285,881,1942,0.454,244,696,0.351,479,682,0.702,322,1125,469,210,104,447,551
35,Butler,32,14,18,0.438,5.85,8.54,6.0,14.0,10,6,3,10,2088,2174,1280,838,1874,0.447,200,623,0.321,298,423,0.704,328,1161,440,219,105,400,455
36,Cal Poly,33,8,25,0.242,-7.51,-0.54,1.0,18.0,6,11,1,13,2006,2174,1330,732,1689,0.433,208,610,0.341,502,695,0.722,262,1069,373,205,98,408,575
37,Cal State Bakersfield,33,11,22,0.333,-8.34,-1.47,6.0,14.0,6,8,3,12,1995,2134,1340,700,1639,0.427,238,695,0.342,496,694,0.715,289,1067,373,193,81,445,510
38,Cal State Fullerton,33,20,13,0.606,1.73,-0.27,12.0,6.0,11,2,7,8,2283,2148,1360,754,1812,0.416,220,705,0.312,420,591,0.711,328,1153,372,199,97,466,633
39,Cal State Northridge,32,7,25,0.219,-10.4,-1.74,4.0,16.0,7,8,0,14,2028,2194,1285,737,1729,0.426,221,656,0.337,499,666,0.749,322,1126,397,174,86,383,573
40,California,32,3,29,0.094,-3.36,8.43,2.0,18.0,3,14,0,12,1866,2243,1290,801,1772,0.452,227,679,0.334,414,578,0.716,318,1137,413,185,130,332,526
41,California Baptist,33,17,16,0.515,0.21,-0.69,7.0,10.0,12,5,4,8,2291,2156,1330,790,1863,0.424,185,610,0.303,391,538,0.727,290,1118,365,181,86,358,596
42,Campbell,34,16,18,0.471,-5.23,-4.89,8.0,10.0,8,6,4,10,2374,2329,1385,834,1837,0.454,263,763,0.345,398,573,0.695,297,1084,408,205,115,420,620
43,Canisius,30,10,20,0.333,-7.05,-3.46,8.0,12.0,7,7,3,12,2111,2169,1225,815,1747,0.467,203,554,0.366,334,478,0.699,298,1073,400,189,96,395,473
44,Central Arkansas,31,9,22,0.29,-13.72,-3.15,4.0,14.0,6,8,2,13,2261,2527,1255,923,1963,0.47,279,769,0.363,402,571,0.704,337,1210,432,226,105,385,451
45,Central Connecticut State,32,10,22,0.313,-13.68,-9.49,7.0,9.0,6,7,4,14,2111,2245,1295,821,1836,0.447,242,683,0.354,361,485,0.744,302,1116,464,215,108,350,440
46,Central Florida,34,19,15,0.559,11.09,5.09,8.0,10.0,11,6,5,7,2432,2228,1395,779,1855,0.42,221,720,0.307,449,620,0.724,353,1130,416,229,97,504,554
47,Central Michigan,31,10,21,0.323,-11.97,-2.62,5.0,13.0,6,8,3,12,2038,2263,1245,769,1757,0.438,255,735,0.347,470,696,0.675,350,1106,399,257,86,415,619
48,Charleston Southern,31,10,21,0.323,-9.44,-4.47,5.0,13.0,6,8,3,12,2251,2305,1245,803,1747,0.46,253,704,0.359,446,619,0.721,304,1048,410,172,91,350,477
49,Charlotte,36,22,14,0.611,3.9,-0.46,9.0,11.0,11,4,5,8,2410,2253,1465,836,1912,0.437,246,726,0.339,335,459,0.73,269,1074,347,197,98,402,490
