Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5.0,11.0,9,5,4,8,2249,2133,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617
2,Air Force,32,14,18,0.438,2.0,2.12,5.0,13.0,10,9,4,9,2142,2146,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544
3,Akron,33,22,11,0.667,4.19,-1.65,13.0,5.0,15,1,5,6,2463,2209,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529
4,Alabama,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,3027,2526,1510,1023,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10.0,8.0,9,8,5,8,2297,2340,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6.0,12.0,5,5,2,18,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3.0,13.0,5,6,2,16,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15.0,3.0,7,2,10,10,2165,2259,1301,763,1868,0.408,164,554,0.296,475,659,0.721,384,1087,316,257,80,404,605
9,American,32,17,15,0.531,-8.26,-7.73,7.0,11.0,8,6,9,9,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9.0,9.0,10,7,6,7,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442
11,Arizona,35,28,7,0.8,19.08,8.34,14.0,6.0,15,2,6,4,2866,2490,1400,1023,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593
12,Arizona State,36,23,13,0.639,11.29,8.18,11.0,9.0,10,5,7,6,2559,2447,1455,910,2163,0.421,274,851,0.322,465,675,0.689,395,1315,515,255,170,422,668
13,Arkansas,36,22,14,0.611,15.99,9.87,8.0,10.0,14,3,2,8,2666,2446,1445,961,2063,0.466,179,572,0.313,565,810,0.698,373,1272,462,302,182,458,694
14,Arkansas State,33,13,20,0.394,-8.07,-3.3,4.0,14.0,10,8,2,11,2169,2232,1325,777,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,6.0,12.0,8,5,2,16,2074,2162,1250,701,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611
16,Army,33,17,16,0.515,-7.13,-7.58,10.0,8.0,10,5,7,8,2412,2322,1330,885,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532
17,Auburn,34,21,13,0.618,14.35,9.29,10.0,8.0,14,2,4,8,2474,2302,1365,875,1991,0.439,221,701,0.315,503,723,0.696,396,1231,479,263,172,414,655
18,Austin Peay,31,9,22,0.29,-12.17,-2.6,3.0,15.0,7,8,1,13,2067,2241,1245,743,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525
19,Ball State,32,20,12,0.625,-1.2,-3.5,11.0,7.0,12,2,6,7,2445,2292,1285,841,1785,0.471,240,651,0.369,523,759,0.689,337,1147,422,176,123,391,525
20,Baylor,34,23,11,0.676,17.3,10.54,11.0,7.0,14,3,5,5,2619,2389,1365,880,1957,0.45,323,878,0.368,536,720,0.744,391,1155,483,223,82,413,590
21,Bellarmine,33,15,18,0.455,-7.42,-1.35,9.0,9.0,8,6,6,12,2187,2216,1330,797,1738,0.459,264,752,0.351,329,436,0.755,217,960,467,184,45,368,522
22,Belmont,32,21,11,0.656,1.88,-1.93,14.0,6.0,12,2,7,7,2447,2299,1290,898,1902,0.472,307,791,0.388,344,474,0.726,267,1055,488,225,101,365,499
23,Bethune-Cookman,32,12,20,0.375,-17.15,-7.82,8.0,10.0,8,5,3,13,2172,2401,1285,772,1863,0.414,219,606,0.361,409,586,0.698,321,1038,362,231,90,413,555
24,Binghamton,31,13,18,0.419,-10.44,-5.51,8.0,8.0,8,7,5,11,2133,2217,1260,794,1763,0.45,172,533,0.323,373,523,0.713,301,1086,361,144,98,404,558
25,Boise State,34,24,10,0.706,12.78,6.21,13.0,5.0,14,1,6,6,2451,2198,1375,878,1938,0.453,265,733,0.362,430,587,0.733,307,1215,385,171,97,379,555
26,Boston College,33,16,17,0.485,1.09,4.73,9.0,11.0,9,7,4,7,2197,2317,1330,819,1873,0.437,188,590,0.319,371,512,0.725,308,1093,413,210,118,405,521
27,Boston University,32,15,17,0.469,-8.1,-6.52,8.0,10.0,9,4,6,11,2147,2151,1300,761,1845,0.412,238,722,0.33,387,524,0.739,328,1136,335,205,79,384,561
28,Bowling Green State,31,11,20,0.355,-8.46,-3.81,5.0,13.0,7,9,4,11,2355,2434,1240,840,1859,0.452,224,658,0.34,451,622,0.725,326,1109,428,188,93,378,550
29,Bradley,35,25,10,0.714,6.51,-0.67,16.0,4.0,15,1,8,6,2473,2195,1405,917,1989,0.461,276,777,0.355,363,546,0.665,341,1240,465,238,136,409,565
30,Brigham Young,34,19,15,0.559,9.43,5.4,7.0,9.0,12,4,2,7,2568,2376,1365,913,2008,0.455,276,812,0.34,466,650,0.717,374,1272,501,251,135,481,659
31,Brown,27,14,13,0.519,-2.47,-2.69,7.0,7.0,7,5,7,8,1878,1872,1086,682,1557,0.438,216,622,0.347,298,464,0.642,241,942,372,194,87,361,438
