Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5.0,11.0,9,5,4,8,2249,2133,70.9,104.9,0.318,0.341,0.543,49.1,58.0,12.3,7.0,0.51,15.5,28.6,0.23
2,Air Force,32,14,18,0.438,2.0,2.12,5.0,13.0,10,9,4,9,2142,2146,63.6,104.0,0.312,0.448,0.57,47.7,64.9,8.9,11.0,0.542,17.2,22.3,0.226
3,Akron,33,22,11,0.667,4.19,-1.65,13.0,5.0,15,1,5,6,2463,2209,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,0.524,14.4,29.9,0.25
4,Alabama,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,3027,2526,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10.0,8.0,9,8,5,8,2297,2340,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12.0,0.501,18.6,30.0,0.228
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6.0,12.0,5,5,2,18,1963,2252,68.6,92.0,0.321,0.332,0.468,48.5,45.2,8.5,9.1,0.426,16.5,32.4,0.226
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3.0,13.0,5,6,2,16,2086,2332,67.9,98.8,0.313,0.413,0.517,49.8,50.0,8.4,4.5,0.481,17.0,28.8,0.226
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15.0,3.0,7,2,10,10,2165,2259,67.8,98.2,0.353,0.297,0.496,50.2,41.4,11.7,7.7,0.452,15.6,33.7,0.254
9,American,32,17,15,0.531,-8.26,-7.73,7.0,11.0,8,6,9,9,2093,2110,62.6,102.9,0.279,0.361,0.567,51.0,55.5,11.7,11.4,0.544,19.5,28.3,0.196
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9.0,9.0,10,7,6,7,2248,2067,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,0.507,14.3,25.8,0.198
11,Arizona,35,28,7,0.8,19.08,8.34,14.0,6.0,15,2,6,4,2866,2490,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253
12,Arizona State,36,23,13,0.639,11.29,8.18,11.0,9.0,10,5,7,6,2559,2447,69.0,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215
13,Arkansas,36,22,14,0.611,15.99,9.87,8.0,10.0,14,3,2,8,2666,2446,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274
14,Arkansas State,33,13,20,0.394,-8.07,-3.3,4.0,14.0,10,8,2,11,2169,2232,64.8,101.0,0.334,0.33,0.52,50.3,55.7,10.2,9.2,0.49,15.6,29.0,0.226
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,6.0,12.0,8,5,2,16,2074,2162,71.3,93.0,0.328,0.433,0.501,48.7,56.5,11.2,7.9,0.46,18.6,27.2,0.238
16,Army,33,17,16,0.515,-7.13,-7.58,10.0,8.0,10,5,7,8,2412,2322,68.1,106.5,0.308,0.387,0.568,53.0,48.8,7.4,6.0,0.546,16.7,27.5,0.21
