Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5.0,11.0,9,5,4,8,2249,2133,70.9,99.5,0.45,0.339,0.576,50.9,51.4,7.8,8.3,0.538,22.2,26.5,0.322
2,Air Force,32,14,18,0.438,2.0,2.12,5.0,13.0,10,9,4,9,2142,2146,63.6,104.2,0.352,0.329,0.535,52.3,42.3,8.9,11.0,0.493,14.9,28.6,0.263
3,Akron,33,22,11,0.667,4.19,-1.65,13.0,5.0,15,1,5,6,2463,2209,67.2,98.9,0.273,0.357,0.522,47.9,46.1,8.5,9.4,0.489,16.1,26.0,0.201
4,Alabama,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,3027,2526,72.6,92.1,0.326,0.3,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10.0,8.0,9,8,5,8,2297,2340,69.9,100.7,0.403,0.399,0.533,52.2,53.8,11.1,9.1,0.492,18.9,34.9,0.286
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6.0,12.0,5,5,2,18,1963,2252,68.6,105.5,0.344,0.345,0.526,51.5,45.8,10.2,12.6,0.494,15.1,33.9,0.236
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3.0,13.0,5,6,2,16,2086,2332,67.9,110.4,0.37,0.335,0.582,50.2,53.8,9.6,10.8,0.55,15.4,26.3,0.269
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15.0,3.0,7,2,10,10,2165,2259,67.8,102.5,0.392,0.406,0.547,49.8,58.9,8.3,8.3,0.514,18.3,31.4,0.27
9,American,32,17,15,0.531,-8.26,-7.73,7.0,11.0,8,6,9,9,2093,2110,62.6,103.7,0.321,0.337,0.55,49.0,52.3,13.0,7.2,0.518,16.9,27.9,0.232
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9.0,9.0,10,7,6,7,2248,2067,67.3,95.3,0.244,0.39,0.495,50.2,50.2,8.8,6.7,0.466,16.1,27.4,0.174
11,Arizona,35,28,7,0.8,19.08,8.34,14.0,6.0,15,2,6,4,2866,2490,72.7,97.8,0.255,0.387,0.501,45.8,49.0,10.8,9.5,0.471,14.8,26.1,0.182
12,Arizona State,36,23,13,0.639,11.29,8.18,11.0,9.0,10,5,7,6,2559,2447,69.0,97.5,0.335,0.39,0.504,51.2,54.8,8.7,8.2,0.465,17.2,31.5,0.237
