Seed,School,Conference,Pre_Tourn_Record,Berth_type
1,South Carolina,SEC,29-2,At-Large
2,Iowa,Big Ten,23-7,Automatic
3,Iowa State,Big 12,26-6,At-Large
4,Arizona,Pac–12,20-7,At-Large
5,North Carolina,ACC,23-6,At-Large
6,Georgia,SEC,20-9,At-Large
7,Colorado,Pac–12,22-8,At-Large
8,Miami (FL),ACC,20-12,At-Large
9,South Florida,American,24-8,At-Large
10,Creighton,Big East,20-9,At-Large
11,Dayton,A10,25-5,At-Large
11,DePaul,Big East,22-10,At-Large
12,Stephen F. Austin,WAC,28-4,Automatic
13,UNLV,MWC,26-6,Automatic
14,UT Arlington,Sun Belt,20-7,Automatic
15,Illinois State,MVC,19-13,Automatic
16,Howard,MEAC,20-9,Automatic
16,Incarnate Word,Southland,13-16,Automatic
1,Louisville,ACC,25-4,At-Large
2,Baylor,Big 12,27-6,At-Large
3,Michigan,Big Ten,22-6,At-Large
4,Tennessee,SEC,23-8,At-Large
5,Oregon,Pac–12,20-11,At-Large
6,BYU,West Coast,26-3,At-Large
7,Ole Miss,SEC,23-8,At-Large
8,Nebraska,Big Ten,24-8,At-Large
9,Gonzaga,West Coast,26-6,Automatic
10,South Dakota,Summit,27-5,Automatic
11,Villanova,Big East,23-8,At-Large
12,Belmont,Ohio Valley,22-7,Automatic
13,Buffalo,MAC,25-8,Automatic
14,American,Patriot,23-8,Automatic
15,Hawaiʻi,Big West,20-9,Automatic
16,Albany,America East,23-9,Automatic
1,Stanford,Pac–12,28-3,Automatic
2,Texas,Big 12,26-6,Automatic
3,LSU,SEC,25-5,At-Large
4,Maryland,Big Ten,21-8,At-Large
5,Virginia Tech,ACC,23-9,At-Large
6,Ohio State,Big Ten,23-6,At-Large
7,Utah,Pac–12,20-11,At-Large
8,Kansas,Big 12,20-9,At-Large
9,Georgia Tech,ACC,21-10,At-Large
10,Arkansas,SEC,18-13,At-Large
11,Missouri State,MVC,24-7,At-Large
11,Florida State,ACC,17-13,At-Large
12,Florida Gulf Coast,ASUN,29-2,Automatic
13,Delaware,CAA,24-7,Automatic
14,Jackson State,SWAC,23-6,Automatic
15,Fairfield,MAAC,25-6,Automatic
16,Montana State,Big Sky,22-12,Automatic
1,NC State,ACC,29-3,Automatic
2,UConn,Big East,25-5,Automatic
3,Indiana,Big Ten,22-8,At-Large
4,Oklahoma,Big 12,24-8,At-Large
5,Notre Dame,ACC,22-8,At-Large
6,Kentucky,SEC,19-11,Automatic
7,UCF,American,25-3,Automatic
8,Washington State,Pac–12,19-10,At-Large
9,Kansas State,Big 12,19-12,At-Large
10,Florida,SEC,21-10,At-Large
11,Princeton,Ivy,24-4,Automatic
12,UMass,Atlantic 10,26-6,Automatic
13,IUPUI,Horizon,24-4,Automatic
14,Charlotte,C-USA,22-9,Automatic
15,Mercer,Southern,23-6,Automatic
16,Mount St. Mary's,Northeast,16-12,Automatic
16,Longwood,Big South,21-11,Automatic
