Team,Record,NET_Rank
Eastern Michigan,5-20,320
Lindenwood,6-19,321
Alcorn State,6-18,322
Xavier,1-25,323
Fairleigh Dickinson,9-16,324
Dartmouth,5-16,325
SIU Edwardsville,4-25,326
Marist,5-21,327
Morgan State,5-17,328
Portland State,5-21,329
Robert Morris,4-23,330
Winthrop,10-15,331
Bradley,5-21,332
Pepperdine,3-23,333
UNC Asheville,8-18,334
Rider,9-16,335
Prairie View,8-14,336
Longwood,7-19,337
Hampton,2-22,338
Massachusetts-Lowell,4-22,339
Central Connecticut State,7-19,340
Evansville,4-23,341
Utah State,4-22,342
Texas Southern,4-21,343
Cal State Northridge,2-24,344
Queens (NC),4-21,345
Gardner-Webb,6-22,346
Houston Christian,2-20,347
Mississippi Valley State,4-24,348
Saint Peter's,6-20,349
Western Carolina,3-22,350
UNC Wilmington,4-20,351
Delaware State,5-16,352
Long Island University,7-20,353
McNeese State,0-24,354
Alabama State,3-23,355
South Carolina State,2-24,356
Stonehill,4-22,357
Chicago State,0-26,358
Wagner,5-19,359
Saint Francis (PA),5-22,360
