RPI,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_RPI_Ws,Avg_RPI_Ls
85,Pepperdine,21-12,85,130,6-4,182,324,9-1,9-9,3-2,1-5,4-2,6-4,10-1,191,96
86,Utah,20-10,86,101,11-0,69,303,13-3,5-6,2-1,3-9,1-0,10-1,6-0,167,39
87,Fordham,25-9,87,168,9-5,132,177,12-3,8-5,5-1,0-3,3-1,8-5,14-0,197,94
88,Green Bay,21-10,88,123,4-5,50,11,12-3,8-6,1-1,1-4,2-4,5-2,13-0,218,65
89,South Alabama,23-11,89,142,9-0,37,219,10-3,9-7,4-1,0-1,4-5,9-5,10-0,200,108
90,Purdue,19-15,90,54,9-4,97,116,13-4,3-8,3-3,4-9,4-2,3-4,8-0,145,63
91,UAB,25-7,91,229,11-1,92,306,11-2,11-3,3-2,0-1,4-4,7-2,14-0,215,81
92,Virginia Commonwealth,24-10,92,187,8-5,114,158,13-1,8-7,3-2,1-1,1-4,9-4,13-1,206,112
93,Louisiana State,16-13,93,51,9-3,100,157,11-6,5-6,0-1,3-7,2-3,5-3,6-0,157,57
94,Nebraska,14-16,94,32,5-6,156,93,8-6,5-9,1-1,2-10,4-4,5-2,3-0,137,54
95,Creighton,15-16,95,45,6-5,117,112,6-7,6-9,3-0,2-9,3-4,4-3,6-0,151,58
96,Northern Iowa,19-13,96,98,6-5,76,66,10-3,8-8,1-2,0-9,1-0,7-4,11-0,223,58
97,Pacific,19-13,97,97,7-3,72,151,9-4,9-7,1-2,0-7,4-4,6-2,9-0,198,59
98,Harvard,17-13,98,80,7-6,81,54,9-5,7-7,1-1,1-5,2-5,5-2,9-1,194,76
99,Toledo,21-12,99,115,8-3,73,156,13-4,8-7,0-1,3-3,0-6,4-3,14-0,200,72
100,Troy,21-9,100,171,8-2,110,275,11-3,8-5,2-1,0-1,2-6,8-2,11-0,215,86
101,Northeastern,20-12,101,120,10-1,34,159,12-3,7-8,1-1,0-2,2-4,9-4,9-2,189,109
102,Virginia,12-19,102,9,6-7,121,28,8-8,2-9,2-2,0-14,4-2,7-3,1-0,127,48
103,Minnesota,21-11,103,117,11-0,82,328,15-4,6-6,0-1,4-6,4-3,5-1,8-1,173,67
104,Portland State,24-8,104,230,7-1,107,272,13-3,8-5,3-0,0-1,2-2,9-5,13-0,219,109
105,Ohio State,14-15,105,42,4-5,183,89,9-6,5-6,0-3,5-6,1-5,5-4,3-0,127,70
107,Towson,20-13,107,135,6-5,139,228,8-4,10-8,2-1,0-4,2-2,5-5,13-2,204,104
120,Abilene Christian,19-10,120,207,3-4,77,35,6-4,9-6,4-0,0-1,1-5,3-3,15-1,252,118
124,New Mexico State,24-7,124,313,6-5,141,165,9-2,11-4,4-1,0-1,0-3,1-2,23-1,273,126
133,Mercer,25-8,133,299,8-7,184,225,11-3,10-3,4-2,0-3,0-0,7-2,18-3,246,128
147,Southern,17-12,147,233,0-7,170,3,8-3,7-8,2-1,0-6,0-1,0-3,17-2,283,104
166,Robert Morris,21-11,166,296,2-8,286,148,14-3,7-6,0-2,0-3,0-1,4-3,17-4,283,135
188,Bethune-Cookman,19-11,188,337,5-5,180,261,8-3,7-8,4-0,0-1,0-0,1-4,18-6,287,185
198,North Carolina A&T,19-11,198,339,2-9,291,256,8-3,10-5,1-3,0-1,0-2,1-4,18-4,298,155
