RPI,Unnamed:_1,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4,Unnamed:_17,Unnamed:_18,Unnamed:_19,Unnamed:_20,Unnamed:_21,Unnamed:_22,Unnamed:_23,Unnamed:_24,Unnamed:_25,Unnamed:_26,Unnamed:_27,Unnamed:_28,Unnamed:_29,Unnamed:_30,Unnamed:_31,Unnamed:_32,Unnamed:_33,Unnamed:_34,Unnamed:_35,Unnamed:_36,Unnamed:_37,Unnamed:_38,Unnamed:_39,Unnamed:_40,Unnamed:_41,Unnamed:_42,Unnamed:_43,Unnamed:_44,Unnamed:_45,Unnamed:_46,Unnamed:_47,Unnamed:_48,Unnamed:_49
146,,UC Irvine,14-9,146,248,1-4,246,216,5-4,7-4,2-1,0-2,2-0,5-2,7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,Southern,12-11,147,194,0-6,274,153,7-2,5-8,0-1,0-4,1-2,1-5,10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,Florida,12-14,148,78,7-1,92,237,7-6,3-6,2-2,1-9,1-3,1-2,9-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,Clemson,12-14,149,79,5-0,32,126,7-6,3-6,2-2,1-6,3-4,4-3,4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,Northeastern,7-13,150,50,1-2,108,46,2-7,5-5,0-1,0-4,1-5,3-3,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,Manhattan,11-9,151,168,0-3,273,146,6-3,4-3,1-3,0-3,0-2,2-4,9-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,Colorado,11-11,152,142,1-1,174,208,6-3,3-6,2-2,1-4,2-3,3-3,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,Samford,12-11,153,212,1-6,224,97,7-1,5-7,0-3,0-4,0-2,4-4,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,Alabama A&M,10-7,154,267,2-1,76,35,5-2,4-5,1-0,0-1,1-3,1-2,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,Northern Illinois,12-12,155,135,2-3,143,150,6-6,5-5,1-1,1-1,2-4,4-5,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,Appalachian State,15-12,156,205,3-3,176,215,6-6,7-5,2-1,1-3,0-3,4-1,10-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,Quinnipiac,13-8,157,235,2-2,188,141,8-4,5-3,0-1,0-0,2-2,5-1,6-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,Utah Valley,12-7,158,249,1-1,100,16,7-3,4-2,1-2,0-3,0-1,1-2,11-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,UT Arlington,11-7,159,287,0-2,159,11,6-1,5-4,0-2,0-1,0-2,1-3,10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,Northern Arizona,15-14,160,193,2-2,83,90,9-2,3-10,3-2,0-3,2-5,2-5,11-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,Long Beach State,11-9,161,216,0-1,293,202,5-4,6-4,0-1,0-2,0-3,1-4,10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,Boston College,7-12,162,29,4-0,55,201,6-4,0-7,1-1,1-8,1-3,2-0,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,North Dakota State,15-9,163,274,5-1,37,76,9-3,5-5,1-1,0-3,0-3,3-0,12-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,Nevada,11-9,164,247,2-1,253,315,5-3,6-5,0-1,0-0,2-7,2-1,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,Charlotte,10-12,165,98,1-4,194,129,6-5,4-4,0-3,0-1,0-2,9-8,1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,Penn State,9-15,166,55,3-1,102,186,6-7,3-7,0-1,0-8,1-4,5-1,3-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,Albany (NY),7-11,167,148,1-3,110,61,3-2,4-9,0-0,0-5,2-3,0-1,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,Lipscomb,10-10,168,210,1-3,168,77,8-0,1-9,1-1,0-5,0-3,1-1,9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Little Rock,15-11,169,239,4-3,115,88,8-5,5-5,2-1,0-2,0-4,5-4,10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,Portland,13-13,170,173,2-3,202,194,5-6,6-4,2-3,0-3,2-1,5-7,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,Southeast Missouri State,14-11,171,233,1-3,251,172,8-5,6-5,0-1,1-3,0-1,6-3,7-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,Eastern Michigan,10-10,172,199,3-2,173,249,3-5,6-3,1-2,1-2,0-1,4-5,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,Northern Kentucky,8-11,173,141,0-5,262,112,3-5,5-6,0-0,2-2,0-2,1-7,5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,Florida International,12-13,174,188,1-3,187,135,2-7,7-4,3-2,0-1,0-2,5-8,7-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,TCU,10-15,175,67,5-0,70,234,8-6,1-8,1-1,0-9,1-2,1-3,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,Washington,7-14,176,65,3-0,34,139,2-6,2-6,3-2,1-7,0-2,2-5,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,Kansas State,9-18,177,35,5-2,91,85,7-8,1-9,1-1,0-10,1-4,3-3,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,Sacred Heart,8-10,178,189,0-2,282,175,3-4,5-6,0-0,0-1,2-2,1-3,5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,Eastern Kentucky,9-15,179,107,1-3,65,13,4-6,5-9,0-0,0-6,0-2,3-5,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Hofstra,8-12,180,123,2-4,177,156,4-4,3-7,1-1,0-5,0-2,4-5,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,San Diego,11-7,181,271,2-2,229,266,6-5,5-2,0-0,0-1,1-1,5-3,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,Georgia State,12-11,182,256,3-3,204,246,6-4,6-6,0-1,0-4,0-1,2-4,10-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,Minnesota,8-13,183,84,1-1,205,157,5-6,3-6,0-1,0-8,1-1,2-2,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,North Florida,13-11,184,291,1-5,250,182,7-2,5-8,1-1,0-3,0-1,2-4,11-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,William & Mary,6-7,185,196,3-2,186,264,3-3,3-4,0-0,0-2,1-1,0-2,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,New Mexico State,8-12,186,220,1-5,257,248,1-1,4-8,3-3,0-3,0-3,2-2,6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,Northern Colorado,14-12,187,246,1-4,307,283,7-6,6-5,1-1,0-3,2-2,3-2,9-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,St. John's (NY),8-15,188,83,3-2,77,96,4-6,3-8,1-1,0-7,0-4,1-3,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,Abilene Christian,9-13,189,164,2-2,121,184,3-3,5-5,1-5,0-2,0-2,2-7,7-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,Austin Peay,11-11,190,232,1-2,252,271,5-5,6-5,0-1,0-3,1-1,4-4,6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,Utah,5-16,191,38,1-0,5,18,2-7,3-8,0-1,1-7,0-4,2-5,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,Longwood,14-11,192,269,1-4,281,232,11-3,3-8,0-0,0-0,2-2,2-4,10-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,Lamar,10-14,193,181,1-7,235,123,5-3,5-8,0-3,0-4,0-3,1-3,9-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,Valparaiso,12-13,194,222,4-3,207,294,5-6,6-6,1-1,0-5,1-2,6-2,5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,Loyola (IL),11-15,195,165,1-2,236,254,3-7,6-5,2-3,0-2,2-7,3-3,6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,Florida Atlantic,10-11,196,244,1-2,209,191,6-2,3-8,1-1,0-0,1-5,3-6,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,Texas Tech,9-15,197,71,4-1,135,199,8-6,1-8,0-1,1-8,0-3,1-4,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,Grambling,10-10,198,276,1-3,258,284,6-2,4-7,0-1,0-2,0-2,3-4,7-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,UAB,8-13,199,145,4-1,97,181,1-8,5-4,2-1,0-0,0-3,3-8,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,Providence,7-14,200,105,2-3,154,145,3-5,3-8,1-1,0-3,2-5,0-5,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,Chattanooga,14-10,201,313,5-4,163,205,6-5,7-4,1-1,0-1,0-0,7-5,7-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,Western Kentucky,7-16,202,74,1-5,242,143,5-5,2-10,0-1,0-3,1-1,2-11,4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,American,7-4,203,343,0-0,323,323,4-0,3-4,0-0,0-3,0-0,0-0,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,La Salle,12-14,204,208,4-3,144,179,6-7,5-6,1-1,1-1,1-7,2-4,8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,Oakland,12-12,205,262,0-3,237,69,7-5,5-7,0-0,1-2,1-5,0-3,10-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,Vermont,4-2,206,338,0-0,323,323,1-1,1-1,2-0,0-0,0-0,1-1,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,Toledo,12-12,207,228,4-0,164,314,8-6,4-6,0-0,1-1,0-5,3-5,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,Presbyterian,11-10,208,312,1-1,217,301,3-5,8-5,0-0,0-0,0-0,2-6,9-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,Central Arkansas,13-14,209,263,2-6,239,211,7-4,4-9,2-1,0-5,0-2,2-3,11-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,Purdue,7-16,210,48,3-1,125,154,6-8,1-7,0-1,0-8,1-3,3-2,3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,Cincinnati,8-16,211,129,1-3,208,114,1-10,6-5,1-1,1-7,0-3,4-2,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,Auburn,5-19,212,19,5-3,130,118,5-9,0-9,0-1,0-11,0-5,1-3,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,Saint Peter's,13-15,213,282,1-4,238,168,6-3,5-11,2-1,1-2,0-3,0-7,12-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,Pittsburgh,5-14,214,61,2-1,192,225,3-7,2-6,0-1,0-7,0-3,3-4,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,Saint Joseph's,6-10,215,117,1-0,249,322,5-3,1-6,0-1,1-2,0-5,0-3,5-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,San Jose State,2-2,216,340,1-0,248,321,0-0,1-2,1-0,0-0,0-2,0-0,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,UC Santa Barbara,7-14,217,112,0-4,193,25,3-8,4-5,0-1,0-4,1-1,1-8,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,Lafayette,5-8,218,191,0-0,323,323,2-4,3-4,0-0,1-6,0-1,0-0,4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,Texas State,11-11,219,324,3-2,220,305,6-1,4-9,1-1,0-0,0-4,2-4,9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,Saint Mary's (CA),7-19,220,87,2-4,122,66,3-7,3-9,1-3,0-4,0-7,4-5,3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,Gardner-Webb,11-13,221,278,0-5,295,206,6-4,5-9,0-0,0-1,0-5,1-4,10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,Wofford,12-11,222,326,3-3,149,236,6-2,4-8,2-1,0-1,1-0,1-5,10-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,Southeastern Louisiana,11-8,223,328,1-2,170,91,7-2,4-4,0-2,0-1,1-1,1-3,9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,Akron,6-14,224,111,2-0,16,78,3-6,3-8,0-0,0-2,1-5,2-5,3-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,San Diego State,7-17,225,91,2-4,171,116,3-9,3-6,1-2,0-3,1-5,4-7,2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,Southern Utah,10-9,226,316,4-3,191,227,7-2,3-6,0-1,0-2,0-1,3-4,7-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,Davidson,9-14,227,201,3-3,137,147,5-4,3-7,1-3,1-3,0-6,1-2,7-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,Eastern Illinois,11-15,228,217,2-3,272,265,7-6,4-8,0-1,0-5,0-3,2-6,9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Montana,11-11,229,320,2-2,196,279,5-4,6-6,0-1,0-2,0-3,2-3,9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Wichita State,6-12,230,131,3-2,198,197,3-6,2-5,1-1,0-4,0-3,3-4,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,East Carolina,8-14,231,198,2-3,156,152,4-6,4-7,0-1,0-5,1-4,2-3,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,Portland State,9-13,232,237,1-1,299,320,4-6,4-6,1-1,0-4,0-1,5-3,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,Southern Illinois,9-16,233,149,3-2,184,214,6-7,2-8,1-1,0-5,0-2,1-6,8-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,Georgia Southern,8-13,234,167,3-3,266,288,6-4,1-7,1-2,0-2,1-2,1-4,6-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,Siena,4-9,235,125,0-0,323,323,2-4,1-4,1-1,0-1,0-2,1-5,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,Merrimack,5-10,236,155,0-0,323,323,3-5,2-5,0-0,0-0,0-4,2-4,3-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,Loyola Marymount,7-19,237,127,1-4,212,121,2-8,2-9,3-2,0-3,2-5,3-7,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,Furman,8-14,238,238,1-5,179,128,6-1,1-12,1-1,0-2,0-1,1-8,7-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,Tulsa,5-14,239,128,1-0,4,15,2-7,3-6,0-1,1-6,0-2,2-2,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,George Washington,8-14,240,183,2-3,96,27,6-4,1-9,1-1,1-3,0-4,1-7,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,UC San Diego,6-9,241,229,0-0,323,323,3-6,3-3,0-0,0-2,0-0,2-2,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,Long Island University,7-11,242,259,0-0,323,323,3-6,4-5,0-0,0-0,0-4,1-5,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,Kansas,7-18,243,81,4-2,185,242,7-7,0-10,0-1,0-8,0-4,1-4,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,Cal State Bakersfield,9-9,244,317,2-2,216,286,3-7,6-1,0-1,0-0,1-0,3-3,5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,Omaha,7-13,245,258,1-4,218,218,3-3,2-9,2-1,1-1,0-4,1-3,5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,Duquesne,5-11,246,240,1-3,141,122,2-3,3-7,0-1,0-1,1-2,2-5,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,Radford,9-11,247,310,0-2,291,195,5-5,4-6,0-0,0-0,0-1,1-6,8-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,Army,9-11,248,299,3-2,148,192,5-6,4-5,0-0,0-2,1-4,2-2,6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,South Alabama,11-13,249,315,1-3,298,272,6-5,4-7,1-1,0-1,0-3,3-6,8-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,Nicholls State,10-14,250,306,0-6,268,138,6-3,3-10,1-1,0-2,0-2,2-5,8-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,Texas Southern,5-10,251,178,1-1,93,115,3-5,1-5,1-0,0-1,0-3,0-5,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,UNC Wilmington,7-14,252,185,3-3,256,282,4-7,2-6,1-1,0-3,0-3,1-7,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,Youngstown State,10-8,253,336,0-0,323,323,7-4,3-4,0-0,0-3,0-0,1-3,9-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,Kansas City,8-12,254,307,1-3,259,285,4-4,4-7,0-1,0-2,0-3,0-2,8-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,Air Force,7-17,255,163,2-2,247,290,4-8,2-8,1-1,0-1,2-6,2-5,3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,Wisconsin,5-19,256,72,3-0,134,303,5-8,0-10,0-1,0-9,1-4,0-4,4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,Morehead State,6-16,257,153,0-3,231,60,4-7,2-9,0-0,0-3,0-4,1-8,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,North Carolina Central,3-12,258,140,1-5,197,142,1-4,2-7,0-1,0-1,0-4,1-4,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,Robert Morris,4-13,259,143,0-0,323,323,3-3,1-10,0-0,0-2,0-4,2-5,2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,UNC Greensboro,7-14,260,257,1-5,214,94,4-5,3-8,0-1,0-1,0-2,2-6,5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,Southern Mississippi,6-12,261,221,1-0,84,256,5-3,1-8,0-1,0-0,1-6,1-3,4-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,Navy,5-7,262,332,0-4,303,235,3-1,2-6,0-0,0-0,0-2,0-2,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,Xavier,5-10,263,209,3-1,181,299,4-4,1-5,0-1,0-2,0-3,0-4,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,Alcorn State,7-13,264,284,0-4,313,262,5-3,2-10,0-0,0-1,0-3,2-6,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,Seattle,8-14,265,288,2-5,245,230,4-5,3-7,1-2,0-4,0-2,1-5,7-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,St. Francis (NY),4-10,266,195,0-0,323,323,3-4,1-6,0-0,0-2,0-2,2-2,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,Bryant,7-14,267,260,2-2,221,260,4-7,3-7,0-0,0-2,1-2,0-5,6-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,Illinois,5-18,268,114,2-1,265,292,4-7,0-10,1-1,0-7,0-5,0-3,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,UNC Asheville,10-15,269,322,1-4,315,297,6-6,4-9,0-0,0-0,1-1,1-6,8-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,UC Riverside,6-12,270,289,1-2,99,33,2-6,4-5,0-1,0-1,1-0,1-7,4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,Western Michigan,6-15,271,186,1-1,277,310,5-6,1-9,0-0,0-2,0-4,3-6,3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,Niagara,4-7,272,223,0-0,323,323,3-5,1-1,0-1,0-0,0-2,1-1,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,Western Illinois,8-16,273,290,1-7,280,255,4-5,3-9,1-2,0-3,0-2,0-4,8-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,College of Charleston,5-9,274,268,3-2,124,217,4-3,1-5,0-1,0-1,0-2,1-2,4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,Norfolk State,4-9,275,264,0-3,300,229,2-3,1-5,1-1,0-0,0-4,1-1,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,Oral Roberts,5-15,276,203,1-6,275,224,4-3,1-11,0-1,0-4,0-4,0-4,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,South Carolina Upstate,6-15,277,302,0-3,297,210,1-6,5-9,0-0,0-1,0-1,1-7,5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,Canisius,0-5,278,30,0-1,241,82,0-1,0-4,0-0,0-2,0-0,0-3,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,Utah State,4-20,279,86,2-3,145,70,4-9,0-9,0-2,0-3,0-5,1-10,3-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,California,1-16,280,46,0-3,306,250,1-9,0-6,0-1,0-5,0-3,1-4,0-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,Stetson,8-15,281,295,0-3,279,164,4-6,3-6,1-3,0-1,0-4,2-6,6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,NJIT,4-14,282,179,0-4,296,209,3-5,1-9,0-0,0-4,0-1,0-5,4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,Maryland-Baltimore County,2-6,283,261,0-2,180,20,1-1,1-3,0-2,0-1,0-1,0-0,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,St. Bonaventure,6-15,284,234,1-2,254,252,5-5,1-9,0-1,0-1,0-4,0-8,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,North Alabama,7-18,285,270,1-8,261,163,3-8,3-8,1-2,0-2,0-4,0-6,7-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,Texas-Rio Grande Valley,6-14,286,314,4-4,264,307,2-5,4-7,0-2,0-2,0-3,0-5,6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,Georgetown,2-15,287,116,0-0,323,323,1-7,1-7,0-1,0-3,0-5,1-4,1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,Butler,3-17,288,130,0-1,151,7,2-8,1-8,0-1,0-5,1-3,0-6,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,Rider,8-18,289,296,1-4,271,251,3-9,3-8,2-1,0-3,0-1,2-7,6-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,Pepperdine,4-18,290,124,2-1,111,72,4-9,0-8,0-1,0-4,0-3,0-8,4-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,Memphis,4-15,291,180,2-3,183,105,3-7,1-7,0-1,0-4,0-3,2-4,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,Miami (OH),4-20,292,161,1-3,263,228,3-8,1-12,0-0,0-3,0-6,2-7,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,Eastern Washington,5-17,293,254,0-4,278,162,2-10,3-6,0-1,0-2,0-3,2-6,3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,Central Connecticut State,4-14,294,252,0-0,323,323,2-7,2-7,0-0,0-2,0-2,2-5,2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,Denver,7-16,295,319,2-6,243,207,4-6,3-9,0-1,0-3,0-2,2-3,5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,Arkansas State,5-12,296,294,1-1,320,319,3-6,2-5,0-1,0-0,0-2,0-7,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,Iona,6-9,297,339,1-2,288,270,3-4,3-4,0-1,0-0,0-0,0-3,6-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,Houston Christian,8-11,298,342,1-3,189,160,4-3,3-7,1-1,0-1,0-1,0-3,8-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,Tarleton State,5-16,299,303,0-6,312,261,1-5,3-8,1-3,0-2,0-3,1-6,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,Southern Methodist,0-6,300,70,0-4,227,58,0-3,0-3,0-0,0-2,0-1,0-1,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,Mississippi Valley State,4-16,301,301,2-2,213,300,1-5,3-11,0-0,0-2,0-4,0-5,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,New Hampshire,5-15,302,286,0-3,301,233,4-4,1-11,0-0,0-1,2-5,0-4,3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
