RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
1,South Carolina,36-1,3,13-0,1,3,17-0,13-0,6-1,17-1,8-0,7-0,4-0
2,Connecticut,31-6,2,8-3,2,1,15-2,10-3,6-1,14-5,4-1,9-0,4-0
3,Indiana,28-4,13,10-0,3,36,17-1,8-2,3-1,10-2,6-1,7-1,5-0
4,Iowa,31-7,6,8-3,26,7,17-1,7-4,7-2,12-6,6-1,6-0,7-0
5,Virginia Tech,31-5,18,10-0,8,64,16-1,8-3,7-1,12-4,8-1,6-0,5-0
6,Stanford,29-6,7,12-1,10,21,17-2,9-3,3-1,12-5,6-1,6-0,5-0
7,Maryland,28-7,5,9-2,4,4,13-2,11-2,4-3,9-5,4-1,13-1,2-0
8,Louisiana State,34-2,55,12-0,18,116,17-0,8-1,9-1,10-2,6-0,11-0,7-0
9,Utah,27-5,25,11-0,14,90,16-0,9-3,2-2,10-5,6-0,6-0,5-0
10,Duke,26-7,10,10-1,13,40,14-2,10-3,2-2,8-7,7-0,7-0,4-0
11,Villanova,30-7,26,9-2,12,13,13-2,13-1,4-4,6-7,8-0,11-0,5-0
12,Iowa State,22-10,4,8-2,9,6,13-1,4-7,5-2,8-8,6-2,4-0,4-0
13,Notre Dame,27-6,29,9-1,27,58,15-2,8-2,4-2,7-6,7-0,8-0,5-0
14,Colorado,25-9,19,10-2,22,62,12-2,10-5,3-2,8-7,5-2,7-0,5-0
15,Tennessee,25-12,1,8-7,57,2,16-4,6-4,3-4,6-12,6-0,10-0,3-0
16,Ohio State,28-8,20,11-0,5,46,13-4,10-2,5-2,9-7,5-1,7-0,7-0
17,UCLA,27-10,12,11-1,7,29,15-3,6-5,6-2,9-8,5-2,8-0,5-0
18,Oklahoma,26-7,41,10-1,23,92,13-2,9-4,4-1,6-6,7-1,6-0,7-0
19,Texas,26-10,14,9-4,45,27,15-3,7-4,4-3,9-8,7-2,4-0,6-0
20,Louisville,26-12,11,9-4,35,20,11-3,10-5,5-4,8-11,7-1,6-0,5-0
21,Gonzaga,28-5,75,10-2,11,15,15-0,10-2,3-3,4-3,4-1,10-1,10-0
22,Washington State,23-11,9,10-1,19,67,9-5,9-4,5-2,7-8,4-2,9-1,3-0
23,Middle Tennessee,28-5,86,7-2,24,31,14-0,10-3,4-2,2-1,5-2,12-2,9-0
24,Princeton,24-6,70,9-3,29,33,11-2,10-4,3-0,2-5,8-1,7-0,7-0
25,Creighton,22-9,27,6-2,15,11,9-4,12-3,1-2,4-6,7-2,6-0,5-1
26,North Carolina,22-11,15,9-2,33,65,13-2,5-7,4-2,7-10,4-1,7-0,4-0
27,Mississippi,25-9,40,11-2,38,104,14-2,8-4,3-3,6-7,3-2,8-0,8-0
28,NC State,20-12,8,10-1,6,25,12-3,5-7,3-2,7-9,4-2,5-1,4-0
29,South Florida,27-7,67,11-4,44,54,14-1,10-2,3-4,4-5,5-0,10-2,8-0
30,Toledo,29-5,94,9-2,75,178,14-1,10-3,5-1,5-3,4-0,5-2,15-0
31,Columbia,28-6,80,11-2,30,78,13-2,14-3,1-1,6-3,5-2,7-1,10-0
32,Michigan,23-10,33,10-1,20,50,10-4,7-5,6-1,7-9,2-0,7-1,7-0
33,Arizona,22-10,37,10-1,36,121,12-3,7-6,3-1,5-8,5-2,9-0,3-0
34,Florida Gulf Coast,31-4,119,10-2,31,52,15-1,13-2,3-1,1-4,4-0,12-0,14-0
35,Nevada-Las Vegas,30-3,149,9-2,54,160,20-0,10-2,0-1,0-2,6-0,10-1,14-0
36,Alabama,20-11,21,11-2,16,32,11-4,8-4,1-3,3-8,4-2,11-1,2-0
37,Arkansas,24-13,23,13-2,25,55,14-4,6-6,4-3,2-10,9-3,7-0,6-0
38,South Dakota State,29-6,100,7-5,41,5,13-1,9-3,7-2,2-5,3-1,4-0,20-0
39,Bowling Green State,30-7,95,10-1,32,136,13-3,14-3,3-1,3-4,6-1,7-0,14-2
40,Marquette,21-11,32,7-2,40,24,13-3,5-5,3-3,4-10,2-1,8-0,7-0
41,Florida State,23-10,61,11-2,51,150,14-1,7-5,2-4,4-7,8-3,5-0,6-0
42,Kansas,25-11,52,10-1,21,89,19-3,5-7,1-1,3-8,7-2,9-1,6-0
43,Georgia,22-12,38,11-3,71,125,13-3,4-6,5-3,1-9,9-2,5-1,7-0
44,Miami (FL),22-13,31,7-4,105,60,14-4,5-7,3-2,5-8,4-4,7-1,6-0
45,St. John's (NY),23-9,65,9-0,17,105,14-3,6-4,3-2,3-7,3-1,9-1,8-0
46,Baylor,20-13,17,9-3,48,34,11-6,6-4,3-3,6-10,2-3,6-0,6-0
47,Memphis,22-11,51,8-5,56,26,11-4,10-4,1-3,1-7,4-3,8-1,9-0
48,Southern California,21-10,58,10-1,60,211,15-2,6-5,0-3,4-7,4-2,7-1,6-0
49,Oklahoma State,21-12,39,10-2,62,124,14-3,4-6,3-3,4-8,7-4,3-0,7-0
50,Rhode Island,26-7,122,9-3,84,221,15-1,8-5,3-1,1-3,3-3,11-1,11-0
51,Harvard,20-12,45,7-5,66,19,12-3,7-5,1-4,3-6,4-5,5-1,8-0
52,Portland,21-9,78,4-5,112,23,10-3,7-5,4-1,1-6,0-2,12-1,8-0
53,Ball State,25-9,111,9-3,72,182,14-1,9-6,2-2,0-6,3-2,10-1,12-0
54,Southern Utah,21-10,96,2-7,164,9,11-1,7-9,3-0,0-5,1-1,8-3,12-1
55,Mississippi State,22-11,72,11-2,61,169,14-2,3-7,5-2,2-9,5-1,8-1,7-0
56,Green Bay,28-6,150,7-2,42,103,15-2,11-2,2-2,2-1,2-3,8-0,16-2
57,Massachusetts,27-7,123,10-3,87,205,13-3,11-2,3-2,2-1,4-5,13-1,8-0
58,Oregon,20-15,28,9-2,37,66,14-4,3-8,3-3,1-12,6-3,8-0,5-0
59,Belmont,23-12,79,4-7,115,14,11-3,9-6,3-3,1-7,4-2,7-3,11-0
60,Purdue,19-11,57,9-1,28,80,10-4,6-4,3-3,3-7,3-2,6-2,7-0
61,Drake,22-10,88,5-3,64,35,12-2,6-6,4-2,0-6,7-3,3-1,12-0
62,Syracuse,20-13,56,9-2,53,159,15-3,5-9,0-1,1-11,6-1,6-1,7-0
63,Nebraska,18-15,30,8-3,34,43,12-5,4-9,2-1,3-10,3-2,6-3,6-0
64,Northern Iowa,23-10,92,5-4,81,22,12-4,8-5,3-1,2-6,1-4,9-0,11-0
65,Cleveland State,30-5,254,10-1,93,334,15-1,11-4,4-0,0-3,2-1,8-1,20-0
66,James Madison,25-8,138,9-2,78,187,10-4,11-4,4-0,0-2,5-0,9-4,11-2
67,Missouri,18-14,36,11-2,39,75,11-6,5-6,2-2,1-9,6-3,7-2,4-0
68,Illinois,22-10,97,10-1,86,313,12-3,8-4,2-3,3-6,0-3,9-1,10-0
69,Liberty,22-9,141,4-5,100,47,12-1,9-6,1-2,0-5,2-1,4-2,16-1
70,Stephen F. Austin,25-7,182,8-2,83,208,12-2,8-4,5-1,0-3,2-1,7-3,16-0
71,Kent State,19-11,89,6-3,82,115,10-3,6-7,3-1,1-7,0-2,7-1,11-1
72,Illinois State,23-9,139,5-4,98,102,10-3,10-5,3-1,2-4,2-4,4-1,15-0
73,Sacramento State,25-8,189,9-2,68,194,11-2,9-6,5-0,0-1,1-3,8-4,16-0
74,West Virginia,19-12,76,9-2,132,327,13-2,3-7,3-3,3-10,4-1,3-1,9-0
75,East Carolina,23-10,128,9-4,159,278,13-3,6-7,4-0,2-2,1-4,10-3,10-1
76,Iona,26-7,231,5-4,157,209,12-2,11-5,3-0,0-2,1-0,7-3,18-2
77,Gardner-Webb,29-5,313,8-4,77,146,13-0,12-4,4-1,0-2,1-2,3-1,25-0
78,San Diego State,21-11,105,8-3,47,72,13-3,6-7,2-1,0-4,3-3,6-4,12-0
