,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
313,314,Towson,18,10,8,0.556,-1.16,0.08,3.0,2.0,7,0,3,3,1206,1176,62.9,101.7,0.315,0.346,0.523,44.0,46.1,10.5,10.4,0.489,15.3,27.8,0.226
314,315,Troy,18,11,7,0.611,0.71,-2.02,5.0,1.0,10,1,1,6,1455,1257,72.0,95.0,0.384,0.335,0.514,45.8,44.2,11.1,11.9,0.479,18.9,28.2,0.258
315,316,Tulane,17,11,6,0.647,6.2,0.45,2.0,3.0,8,2,2,2,1464,1342,74.9,103.2,0.28,0.433,0.53,54.5,54.9,8.7,7.4,0.503,16.6,32.2,0.195
316,317,Tulsa,17,10,7,0.588,1.68,-4.44,1.0,4.0,10,2,0,4,1328,1189,72.3,95.3,0.329,0.376,0.494,51.0,48.7,9.3,7.1,0.458,17.2,31.7,0.227
317,318,UAB,17,11,6,0.647,0.46,1.02,3.0,1.0,7,3,3,2,1316,1289,69.6,107.4,0.303,0.377,0.545,46.7,49.2,9.3,11.3,0.515,14.2,28.8,0.218
318,319,UC Davis,18,11,7,0.611,1.01,-3.05,6.0,1.0,7,3,3,4,1331,1208,68.8,96.2,0.407,0.342,0.525,49.1,48.2,9.0,8.1,0.479,19.7,29.1,0.296
319,320,UC Irvine,18,13,5,0.722,9.13,1.55,6.0,0.0,7,0,3,5,1384,1195,69.4,95.1,0.337,0.331,0.493,46.4,49.3,8.3,7.4,0.45,15.5,26.4,0.244
320,321,UC Riverside,19,7,12,0.368,-6.96,0.51,2.0,5.0,6,2,0,10,1296,1370,67.6,106.7,0.362,0.321,0.561,49.3,55.9,7.1,10.1,0.526,14.9,25.1,0.262
321,322,UC San Diego,18,11,7,0.611,3.81,-0.87,5.0,1.0,7,1,4,5,1388,1223,67.6,99.8,0.263,0.368,0.519,49.1,52.9,6.9,10.2,0.492,15.8,27.7,0.182
322,323,UC Santa Barbara,17,11,6,0.647,-0.91,-3.84,4.0,3.0,7,2,3,4,1347,1241,70.4,103.0,0.27,0.337,0.516,44.9,45.5,10.3,6.5,0.493,12.1,24.7,0.178
323,324,UCLA,18,8,10,0.444,4.16,4.75,3.0,4.0,5,4,2,3,1168,1150,66.2,96.6,0.342,0.458,0.513,48.1,48.6,9.3,5.9,0.476,16.9,27.4,0.24
324,325,UNC Asheville,20,12,8,0.6,-2.04,-0.52,4.0,1.0,7,1,2,5,1630,1492,72.0,102.4,0.345,0.361,0.524,49.1,49.1,8.9,9.9,0.484,15.7,31.0,0.252
325,326,UNC Greensboro,18,13,5,0.722,1.05,-1.45,4.0,1.0,8,0,2,5,1383,1233,68.1,99.8,0.331,0.464,0.502,48.6,48.3,8.4,9.8,0.461,14.5,28.7,0.239
326,327,UNC Wilmington,17,12,5,0.706,0.69,-0.31,3.0,2.0,5,0,6,4,1386,1228,69.1,103.7,0.349,0.373,0.546,50.6,47.2,6.1,8.3,0.516,16.6,29.1,0.241
327,328,UT Arlington,18,9,9,0.5,-1.11,2.89,4.0,3.0,8,1,0,8,1342,1338,71.5,104.0,0.364,0.355,0.535,47.4,57.6,11.2,11.2,0.497,15.6,29.6,0.263
328,329,Utah,18,13,5,0.722,19.32,8.38,4.0,3.0,10,0,1,3,1442,1245,71.3,97.0,0.244,0.387,0.496,47.0,54.2,8.4,7.7,0.476,14.0,25.6,0.156
329,330,Utah State,18,16,2,0.889,13.94,3.69,4.0,1.0,8,0,4,2,1478,1230,70.5,96.2,0.32,0.359,0.516,45.0,48.3,9.2,6.8,0.48,16.7,23.9,0.23
330,331,Utah Tech,17,7,10,0.412,-7.33,-0.52,3.0,3.0,3,3,4,7,1186,1283,71.7,103.8,0.398,0.381,0.529,52.2,49.9,11.2,11.2,0.49,16.4,32.4,0.28
331,332,Utah Valley,18,8,10,0.444,-3.0,1.82,3.0,4.0,6,1,1,8,1227,1261,69.7,99.9,0.362,0.355,0.534,50.5,56.6,9.7,10.0,0.504,17.2,26.3,0.244
332,333,UTEP,18,10,8,0.556,-3.53,-1.79,1.0,2.0,9,2,0,5,1342,1240,72.3,95.3,0.458,0.348,0.545,50.8,45.8,10.5,7.7,0.496,23.4,31.3,0.335
333,334,UTSA,18,7,11,0.389,-8.62,-4.03,1.0,4.0,5,4,2,7,1425,1470,72.3,110.6,0.37,0.357,0.545,49.2,53.3,8.4,12.6,0.51,11.9,29.4,0.262
