Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
337,Vermont,23,18,5,0.783,3.06,-3.09,8.0,0.0,10,1,6,3,1680,1451,925,538,1316,0.409,150,461,0.325,225,321,0.701,199,766,237,112,58,225,338
338,Villanova,21,11,10,0.524,13.9,9.09,4.0,6.0,6,4,2,5,1538,1437,865,513,1205,0.426,165,489,0.337,246,348,0.707,186,721,278,124,87,231,328
339,Virginia,22,17,5,0.773,11.64,4.05,8.0,3.0,12,0,3,4,1438,1271,885,453,1151,0.394,148,459,0.322,215,292,0.736,210,744,235,122,54,297,298
340,Virginia Commonwealth,22,14,8,0.636,8.93,2.75,6.0,3.0,10,5,3,1,1591,1455,885,497,1254,0.396,123,434,0.283,338,451,0.749,225,729,217,157,51,235,393
341,VMI,23,4,19,0.174,-18.7,-2.95,1.0,9.0,4,6,0,11,1638,1865,925,681,1519,0.448,207,601,0.344,296,451,0.656,269,879,344,203,74,265,365
342,Virginia Tech,22,13,9,0.591,12.47,7.38,5.0,6.0,10,2,1,5,1635,1523,880,555,1263,0.439,146,436,0.335,267,369,0.724,202,693,273,142,65,267,368
343,Wagner,21,10,11,0.476,-10.98,-8.25,4.0,5.0,6,2,4,9,1352,1320,850,483,1131,0.427,144,473,0.304,210,311,0.675,188,740,297,95,66,244,285
344,Wake Forest,21,14,7,0.667,15.14,5.33,6.0,4.0,12,0,1,5,1695,1489,850,540,1254,0.431,128,389,0.329,281,379,0.741,195,688,211,127,75,247,376
345,Washington,22,12,10,0.545,12.49,8.4,4.0,7.0,9,4,2,4,1791,1701,900,611,1367,0.447,159,469,0.339,320,471,0.679,244,779,304,134,75,261,423
346,Washington State,22,16,6,0.727,14.03,5.39,7.0,4.0,11,1,3,3,1681,1491,890,517,1265,0.409,134,410,0.327,323,425,0.76,200,714,232,108,60,232,388
347,Weber State,23,14,9,0.609,2.36,-2.14,5.0,5.0,8,2,5,5,1734,1497,925,559,1253,0.446,146,450,0.324,233,337,0.691,163,734,295,116,67,283,411
348,West Virginia,22,8,14,0.364,5.22,9.53,3.0,6.0,8,6,0,4,1507,1602,885,578,1345,0.43,184,552,0.333,262,358,0.732,237,804,308,156,83,236,391
349,Western Carolina,23,16,7,0.696,0.91,-3.29,5.0,5.0,8,3,8,4,1785,1594,930,580,1410,0.411,138,410,0.337,296,431,0.687,229,812,202,125,61,225,380
350,Western Illinois,23,15,8,0.652,-7.38,-6.06,8.0,2.0,7,2,8,6,1620,1500,930,563,1394,0.404,129,444,0.291,245,347,0.706,231,752,246,169,70,236,380
351,Western Kentucky,22,15,7,0.682,-0.22,-3.38,4.0,4.0,10,1,4,4,1776,1646,881,583,1418,0.411,175,571,0.306,305,424,0.719,241,816,289,164,83,320,387
352,Western Michigan,22,8,14,0.364,-7.97,-2.35,5.0,5.0,4,6,2,8,1601,1663,890,595,1324,0.449,174,499,0.349,299,422,0.709,238,764,313,154,49,247,390
353,Wichita State,22,9,13,0.409,1.77,4.25,1.0,8.0,7,3,1,7,1593,1615,880,587,1409,0.417,192,575,0.334,249,337,0.739,245,788,308,178,80,226,339
354,William & Mary,23,8,15,0.348,-11.76,-5.52,3.0,7.0,6,5,2,8,1656,1683,925,597,1330,0.449,170,510,0.333,319,432,0.738,209,807,278,136,76,229,409
355,Winthrop,24,14,10,0.583,-0.24,-2.48,5.0,4.0,9,3,5,7,1895,1702,985,586,1410,0.416,181,607,0.298,349,463,0.754,267,817,294,161,102,322,517
356,Wisconsin,21,16,5,0.762,18.18,9.9,8.0,2.0,11,1,3,4,1591,1417,845,512,1136,0.451,150,417,0.36,243,351,0.692,150,604,230,97,76,240,396
357,Wofford,23,13,10,0.565,-3.62,-0.67,6.0,4.0,9,1,4,6,1783,1754,940,611,1378,0.443,200,557,0.359,332,445,0.746,189,759,298,152,65,211,389
358,Wright State,23,12,11,0.522,-0.32,-1.94,7.0,5.0,6,4,4,6,1972,1872,925,683,1448,0.472,197,551,0.358,309,435,0.71,243,762,313,161,62,271,409
359,Wyoming,22,12,10,0.545,-0.07,4.63,5.0,4.0,8,1,1,8,1608,1633,885,607,1343,0.452,174,529,0.329,245,333,0.736,232,719,287,192,90,253,447
360,Xavier,22,12,10,0.545,14.21,10.12,6.0,5.0,9,4,2,5,1696,1606,880,571,1369,0.417,159,476,0.334,305,434,0.703,254,798,345,146,105,255,409
361,Yale,21,15,6,0.714,4.93,0.04,6.0,0.0,6,1,7,4,1594,1393,855,496,1219,0.407,166,498,0.333,235,312,0.753,176,686,280,113,73,234,328
362,Youngstown State,23,17,6,0.739,3.61,-3.92,9.0,3.0,11,1,6,5,1886,1584,920,574,1397,0.411,167,504,0.331,269,390,0.69,231,769,312,140,64,284,369
