Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
89,Florida Atlantic,22,18,4,0.818,15.91,4.13,8.0,1.0,9,1,3,2,1835,1576,69.2,101.9,0.255,0.364,0.52,46.8,39.5,8.0,6.4,0.492,15.1,29.4,0.182
90,Florida Gulf Coast,24,10,14,0.417,-6.39,-2.25,4.0,5.0,7,3,2,8,1690,1732,65.6,109.4,0.274,0.429,0.55,48.1,51.8,10.1,7.4,0.526,13.4,28.2,0.191
91,Florida International,23,8,15,0.348,-8.0,-1.41,3.0,5.0,7,4,1,8,1722,1776,72.8,105.5,0.372,0.394,0.585,54.1,57.9,10.2,10.7,0.555,21.6,34.9,0.268
92,Florida State,21,12,9,0.571,10.29,7.67,6.0,4.0,7,5,3,3,1623,1568,73.4,101.1,0.446,0.386,0.543,51.4,46.3,8.1,6.6,0.506,18.5,31.0,0.304
93,Fordham,22,10,12,0.455,-0.59,-0.63,4.0,5.0,4,8,4,2,1619,1618,71.2,101.0,0.44,0.28,0.54,49.3,47.5,9.8,10.3,0.494,17.7,27.6,0.318
94,Fresno State,22,9,13,0.409,-1.86,2.57,2.0,7.0,7,5,1,6,1528,1610,66.7,108.5,0.256,0.356,0.547,50.8,47.2,9.6,10.0,0.527,13.9,29.9,0.173
95,Furman,22,12,10,0.545,0.41,-2.17,6.0,3.0,9,1,3,7,1783,1681,73.1,102.8,0.256,0.347,0.535,48.2,49.9,10.1,10.1,0.515,15.1,26.5,0.171
96,Gardner-Webb,23,11,12,0.478,-3.0,0.25,6.0,2.0,8,2,2,7,1709,1674,71.0,101.5,0.412,0.354,0.532,48.9,46.2,7.9,8.4,0.492,15.1,24.7,0.287
97,George Mason,22,15,7,0.682,6.74,1.12,4.0,5.0,11,1,3,5,1616,1474,66.3,101.1,0.313,0.41,0.507,47.0,49.0,10.1,10.4,0.47,14.0,27.8,0.225
98,George Washington,21,14,7,0.667,1.19,-1.76,3.0,5.0,11,2,1,4,1678,1604,72.4,101.3,0.206,0.39,0.5,49.4,49.2,9.5,10.1,0.474,12.9,29.3,0.151
99,Georgetown,21,8,13,0.381,0.98,4.79,1.0,9.0,7,7,1,6,1513,1593,67.9,110.5,0.306,0.361,0.562,49.8,52.2,11.2,10.7,0.535,15.0,32.0,0.218
100,Georgia,22,14,8,0.636,9.78,6.88,4.0,5.0,11,3,3,2,1684,1620,71.1,103.1,0.284,0.376,0.52,51.0,54.6,8.8,11.3,0.489,14.7,30.8,0.204
101,Georgia Southern,23,5,18,0.217,-10.89,-2.2,5.0,6.0,3,4,2,11,1626,1826,69.7,113.3,0.395,0.381,0.557,54.0,52.1,10.7,12.8,0.526,14.6,35.8,0.271
102,Georgia State,22,9,13,0.409,-5.21,-2.86,4.0,7.0,6,3,3,10,1723,1661,71.4,104.6,0.359,0.373,0.522,49.8,50.8,7.4,10.0,0.486,12.7,28.2,0.25
103,Georgia Tech,22,10,12,0.455,4.78,7.83,3.0,8.0,6,5,2,6,1605,1672,68.5,108.6,0.332,0.391,0.524,48.5,49.0,9.7,9.0,0.489,11.4,30.6,0.237
104,Gonzaga,22,16,6,0.727,16.64,2.54,7.0,2.0,10,2,3,2,1853,1491,71.6,94.7,0.252,0.372,0.488,44.2,45.9,8.2,6.5,0.455,15.0,25.9,0.182
105,Grambling,21,9,12,0.429,-12.27,-2.16,6.0,2.0,6,2,2,8,1386,1501,67.8,105.5,0.326,0.345,0.551,50.8,60.4,10.7,6.9,0.518,16.7,32.2,0.237
106,Grand Canyon,23,21,2,0.913,10.0,-1.14,11.0,1.0,11,0,7,1,1851,1556,70.7,95.2,0.323,0.335,0.501,45.7,48.6,9.0,7.1,0.463,17.4,28.4,0.23
107,Green Bay,24,15,9,0.625,-3.46,-3.91,10.0,3.0,10,1,5,7,1647,1588,63.8,103.2,0.341,0.347,0.517,48.9,50.6,10.0,13.5,0.479,13.1,27.7,0.244
108,Hampton,23,5,18,0.217,-16.96,-5.41,0.0,10.0,3,7,0,9,1728,1794,72.1,108.2,0.309,0.403,0.54,49.6,46.6,10.3,7.1,0.501,13.5,30.4,0.237
109,Harvard,19,11,8,0.579,-3.28,-1.28,2.0,4.0,7,4,4,4,1357,1365,68.2,104.7,0.241,0.412,0.513,51.5,49.0,9.6,9.7,0.492,13.4,31.4,0.16
110,Hawaii,23,12,11,0.522,-0.78,-1.25,4.0,7.0,8,6,2,4,1628,1577,67.5,101.0,0.335,0.255,0.534,48.7,38.1,9.2,7.7,0.496,15.4,24.3,0.245
111,High Point,24,20,4,0.833,2.49,-5.06,9.0,0.0,13,0,5,3,2038,1769,69.4,105.6,0.339,0.327,0.536,42.6,45.5,7.2,8.2,0.5,12.4,24.0,0.246
112,Hofstra,23,13,10,0.565,0.85,-0.83,6.0,4.0,8,2,2,8,1713,1623,67.6,103.8,0.294,0.425,0.525,52.3,54.6,8.6,8.1,0.488,15.1,30.2,0.221
113,Holy Cross,23,7,16,0.304,-17.57,-7.57,4.0,6.0,3,6,3,9,1540,1732,66.1,113.3,0.299,0.394,0.556,52.7,51.5,10.5,9.5,0.524,11.7,29.9,0.222
114,Houston,22,19,3,0.864,26.89,7.25,6.0,3.0,12,0,3,3,1620,1188,64.0,83.8,0.387,0.424,0.468,45.3,64.6,7.5,6.9,0.431,22.2,28.1,0.247
115,Houston Christian,20,5,15,0.25,-16.44,-1.16,3.0,6.0,4,4,1,11,1424,1627,74.1,109.0,0.273,0.343,0.536,49.7,52.8,12.9,11.4,0.512,12.1,31.1,0.188
116,Howard,23,9,14,0.391,-8.71,-5.62,3.0,3.0,5,3,4,8,1725,1745,70.1,106.0,0.37,0.355,0.534,48.8,50.0,10.8,10.0,0.501,15.0,32.4,0.255
