Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
47,Boise State,MWC,,17,8,74.9,67.3,7.6,7.99,5.45,7.63,13.08,115.58,96.02,19.55
48,Nevada,MWC,,20,6,76.2,66.8,9.46,4.53,4.9,8.14,13.05,113.28,94.63,18.64
49,Utah State,MWC,,21,5,80.1,69.5,10.58,5.09,9.09,3.97,13.05,114.81,96.16,18.65
50,Texas A&M,SEC,,15,10,74.2,69.4,4.76,8.23,4.53,8.47,12.99,115.76,96.61,19.15
51,Providence,Big East,,17,9,73.8,68.0,5.77,7.12,4.34,8.55,12.89,109.03,91.24,17.8
52,Virginia Tech,ACC,,15,11,74.6,69.6,5.04,7.77,6.85,5.96,12.81,116.35,97.27,19.07
53,Washington,Pac-12,,14,12,80.9,76.5,4.42,8.24,12.09,0.57,12.66,114.78,97.18,17.59
54,Indiana State,MVC,,22,5,84.3,72.3,12.0,1.29,11.78,0.82,12.6,116.71,99.46,17.25
55,Ohio State,Big Ten,,15,11,74.4,69.7,4.69,7.85,5.39,7.15,12.54,116.13,98.51,17.61
56,Central Florida,Big 12,,13,11,72.1,66.5,5.54,6.89,3.18,9.26,12.43,107.37,90.29,17.08
57,Maryland,Big Ten,,14,12,69.8,64.6,5.23,6.84,-0.05,12.11,12.07,107.53,90.79,16.73
58,Northwestern,Big Ten,,18,8,74.4,69.6,4.81,7.15,5.52,6.44,11.95,116.42,99.02,17.41
59,Oregon,Pac-12,,17,8,76.3,71.9,4.36,7.49,6.71,5.14,11.85,114.72,97.84,16.87
60,Seton Hall,Big East,,17,9,73.2,69.1,4.15,7.63,3.97,7.81,11.78,112.38,95.89,16.49
61,Drake,MVC,,22,5,80.0,68.9,11.04,0.95,7.8,3.85,11.64,115.69,98.93,16.75
62,Miami (FL),ACC,,15,11,77.9,72.5,5.35,6.21,8.35,3.21,11.56,113.57,98.35,15.22
63,Virginia,ACC,,20,7,64.1,58.6,5.56,5.65,-6.07,17.27,11.2,107.67,90.79,16.88
64,Kansas State,Big 12,,15,11,71.3,68.8,2.46,8.72,3.07,8.11,11.18,108.02,92.1,15.92
65,Minnesota,Big Ten,,16,9,76.3,69.3,7.0,4.12,5.11,6.01,11.12,112.54,97.06,15.48
66,South Carolina,SEC,20.0,21,5,71.8,65.4,6.38,4.65,0.56,10.48,11.04,113.2,96.85,16.35
67,NC State,ACC,,16,9,75.5,70.8,4.64,5.69,6.17,4.15,10.33,112.21,97.39,14.81
68,Mississippi,SEC,,19,6,76.0,71.8,4.2,6.1,5.51,4.79,10.3,114.47,99.92,14.56
69,Grand Canyon,WAC,,24,2,80.7,67.6,13.04,-1.34,6.09,4.14,10.23,112.11,97.67,14.44
70,San Francisco,WCC,,21,6,79.0,65.0,14.0,-1.66,3.73,6.5,10.23,112.05,96.59,15.46
71,Florida State,ACC,,13,12,76.2,74.8,1.4,8.56,6.72,3.23,9.96,109.96,96.24,13.72
72,Louisiana State,SEC,,13,12,77.3,74.3,2.96,6.66,7.9,1.72,9.62,112.1,98.7,13.4
73,Virginia Commonwealth,A-10,,17,8,72.4,65.9,6.52,3.06,0.98,8.6,9.58,109.38,95.29,14.09
74,James Madison,Sun Belt,,24,3,84.8,69.0,15.78,-4.38,8.48,0.8,9.27,110.94,98.46,12.49
75,Boston College,ACC,,15,10,76.2,72.8,3.4,5.78,6.83,2.34,9.18,114.14,101.33,12.82
76,St. Bonaventure,A-10,,16,9,74.4,67.4,7.0,2.14,3.95,5.2,9.14,114.46,100.77,13.69
77,North Texas,AAC,,14,11,67.4,61.1,6.32,4.46,-4.17,13.24,9.07,108.8,95.07,13.72
78,Stanford,Pac-12,,12,13,77.5,76.0,1.48,7.59,8.08,0.99,9.07,112.17,99.97,12.21
79,Bradley,MVC,,18,9,75.3,68.3,7.0,2.55,4.48,4.5,8.98,113.31,100.27,13.04
80,Georgia,SEC,,14,11,76.1,74.4,1.68,7.29,5.4,3.58,8.97,109.82,97.13,12.69
81,Rutgers,Big Ten,,14,11,66.9,65.4,1.48,7.43,-2.31,11.22,8.91,100.75,88.26,12.49
82,Richmond,A-10,,18,7,73.0,65.5,7.44,1.44,0.79,8.09,8.88,108.38,95.54,12.84
83,Syracuse,ACC,,16,10,75.4,74.3,1.12,9.39,5.18,3.41,8.59,108.24,95.84,12.4
84,Penn State,Big Ten,,12,14,74.8,73.3,1.42,6.98,6.22,2.18,8.4,111.02,99.24,11.78
85,UCLA,Pac-12,,14,12,66.2,64.1,2.12,7.32,-3.86,12.26,8.4,106.9,94.89,12.0
86,Memphis,AAC,,18,8,80.2,76.5,3.65,4.45,9.92,-1.82,8.1,111.95,100.6,11.36
87,McNeese State,Southland,,23,3,80.4,60.8,19.54,-5.65,2.74,5.34,8.07,114.14,101.41,12.74
88,Southern California,Pac-12,,10,16,74.7,75.5,-0.85,8.72,6.03,1.84,7.87,110.3,99.45,10.85
89,Massachusetts,A-10,,16,9,79.9,72.2,7.68,0.12,7.11,0.69,7.8,112.28,101.51,10.76
90,Indiana,Big Ten,,14,11,72.9,74.5,-1.56,9.27,4.07,3.64,7.71,109.8,99.04,10.76
91,Samford,Southern,,23,4,87.8,74.0,13.85,-3.68,11.83,-4.14,7.68,113.01,103.5,9.51
92,Nevada-Las Vegas,MWC,,14,10,74.6,69.8,4.88,6.53,3.45,4.22,7.67,113.35,102.06,11.3
93,Michigan,Big Ten,,8,18,75.2,78.9,-3.65,11.29,6.79,0.85,7.63,112.96,102.67,10.29
94,Princeton,Ivy,,19,3,76.1,64.5,11.64,-1.06,2.65,4.94,7.6,116.45,104.49,11.96
95,UC Irvine,Big West,,19,7,76.2,66.5,9.73,-0.19,2.3,5.23,7.53,107.58,97.1,10.48
96,Oklahoma State,Big 12,,11,14,71.3,70.9,0.44,6.67,2.16,4.95,7.11,108.51,98.82,9.69
97,George Mason,A-10,,17,8,73.7,67.2,6.44,1.39,0.46,6.64,7.1,111.1,100.44,10.66
98,Louisiana Tech,CUSA,,18,8,75.1,63.5,11.58,-0.25,-0.58,7.42,6.84,106.46,96.03,10.43
99,California,Pac-12,,11,15,74.8,76.3,-1.5,8.26,5.71,1.05,6.76,110.71,100.94,9.77
100,South Florida,AAC,,19,5,75.5,68.8,6.67,0.03,2.64,4.05,6.7,109.67,100.16,9.51
101,Charlotte,AAC,,17,8,69.8,64.8,5.08,3.22,-2.16,8.71,6.55,109.65,99.64,10.01
102,Appalachian State,Sun Belt,,22,5,78.6,66.8,11.85,-1.95,2.26,4.03,6.29,106.27,97.06,9.21
103,Loyola (IL),A-10,,19,7,73.9,67.5,6.38,1.61,0.29,5.92,6.21,104.94,95.79,9.15
