Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
145,Lipscomb,28,17,11,0.607,-1.93,-4.24,8.0,5.0,10,1,5,9,2290,2145,1120,835,1701,0.491,257,696,0.369,363,476,0.763,217,933,401,170,95,284,361
146,Little Rock,27,16,11,0.593,-4.63,-7.07,10.0,4.0,12,4,4,6,2085,2019,1090,752,1633,0.461,176,524,0.336,405,550,0.736,310,994,392,162,123,330,492
147,Long Beach State,26,17,9,0.654,-0.67,-1.75,9.0,5.0,7,2,9,5,2050,1973,1050,734,1610,0.456,147,463,0.317,435,624,0.697,321,1013,404,219,109,350,454
148,Long Island University,25,6,19,0.24,-17.91,-6.91,5.0,8.0,4,5,1,14,1666,1941,1010,605,1439,0.42,144,455,0.316,312,459,0.68,212,853,316,159,81,368,479
149,Longwood,27,16,11,0.593,-2.76,-6.47,4.0,8.0,11,3,5,8,2030,1809,1095,725,1598,0.454,145,449,0.323,435,649,0.67,380,1072,342,194,73,348,498
150,Louisiana,27,17,10,0.63,2.17,-1.55,9.0,5.0,10,2,5,7,2082,1914,1080,763,1655,0.461,222,617,0.36,334,451,0.741,307,933,348,223,104,315,484
151,Louisiana State,25,13,12,0.52,9.62,6.66,5.0,7.0,9,4,2,6,1932,1858,1005,670,1455,0.46,196,548,0.358,396,550,0.72,258,898,301,210,96,323,442
152,Louisiana Tech,26,18,8,0.692,6.84,-0.25,8.0,3.0,13,1,5,7,1953,1652,1050,669,1458,0.459,190,524,0.363,425,609,0.698,306,1010,330,203,132,331,406
153,Louisiana-Monroe,25,10,15,0.4,-9.33,-1.46,5.0,9.0,7,5,3,10,1757,1862,1005,636,1492,0.426,128,427,0.3,357,547,0.653,335,962,335,176,59,320,447
154,Louisville,26,8,18,0.308,1.14,6.6,3.0,12.0,7,7,1,9,1909,2051,1045,655,1493,0.439,141,460,0.307,458,607,0.755,273,917,289,139,67,334,442
155,Loyola (IL),26,19,7,0.731,6.21,1.61,11.0,2.0,12,2,6,3,1922,1756,1040,684,1484,0.461,215,606,0.355,339,480,0.706,225,951,436,169,130,334,505
156,Loyola (MD),27,6,21,0.222,-15.27,-6.08,4.0,10.0,1,9,5,11,1745,1950,1090,629,1475,0.426,195,581,0.336,292,451,0.647,269,922,345,161,59,382,435
157,Loyola Marymount,26,10,16,0.385,0.44,2.04,3.0,9.0,7,8,2,5,1877,1876,1040,662,1495,0.443,216,596,0.362,337,454,0.742,258,903,298,97,63,293,432
158,Maine,26,11,15,0.423,-5.73,-3.97,3.0,8.0,5,4,4,11,1757,1749,1040,658,1481,0.444,141,470,0.3,300,420,0.714,202,847,327,221,78,302,433
159,Manhattan,24,5,19,0.208,-15.78,-3.78,2.0,13.0,2,8,3,11,1604,1868,970,597,1460,0.409,181,580,0.312,229,316,0.725,230,805,353,188,64,334,340
160,Marist,23,14,9,0.609,-4.68,-8.51,9.0,5.0,7,3,7,6,1512,1424,920,559,1241,0.45,164,454,0.361,230,337,0.682,163,727,281,176,68,276,368
161,Marquette,25,19,6,0.76,18.97,9.93,10.0,4.0,11,1,6,4,1943,1717,1000,721,1517,0.475,218,632,0.345,283,389,0.728,224,826,405,216,74,260,377
162,Marshall,27,12,15,0.444,-4.28,-1.43,7.0,7.0,8,5,3,7,2017,2058,1080,709,1716,0.413,223,706,0.316,376,527,0.713,321,1067,424,186,123,325,425
163,Maryland,26,14,12,0.538,12.07,6.84,6.0,9.0,11,4,3,6,1816,1680,1055,604,1470,0.411,159,554,0.287,449,622,0.722,319,960,277,174,127,308,449
164,Maryland-Baltimore County,27,9,18,0.333,-9.65,-5.42,4.0,8.0,6,8,3,10,2136,2227,1080,807,1722,0.469,225,610,0.369,297,432,0.688,264,983,343,133,100,365,422
165,Maryland-Eastern Shore,23,8,15,0.348,-16.73,-5.52,3.0,6.0,8,3,0,12,1515,1609,935,533,1347,0.396,141,460,0.307,308,430,0.716,254,824,255,164,57,313,406
166,Massachusetts,25,16,9,0.64,7.8,0.12,7.0,6.0,11,2,2,6,1997,1805,1005,712,1557,0.457,167,527,0.317,406,577,0.704,339,971,403,203,78,278,481
167,Massachusetts-Lowell,24,17,7,0.708,-1.26,-6.6,8.0,3.0,7,3,10,4,1922,1649,965,709,1456,0.487,131,412,0.318,373,513,0.727,270,961,311,168,118,313,363
168,McNeese State,26,23,3,0.885,8.07,-5.65,12.0,1.0,13,0,9,3,2090,1582,1040,754,1523,0.495,200,509,0.393,382,553,0.691,280,943,381,280,90,259,450
169,Memphis,26,18,8,0.692,8.1,4.45,7.0,6.0,10,2,6,5,2085,1990,1050,717,1565,0.458,215,606,0.355,434,598,0.726,303,961,351,228,127,355,456
170,Mercer,27,12,15,0.444,-5.69,-2.4,5.0,9.0,8,6,3,8,1877,1916,1080,705,1605,0.439,167,506,0.33,300,463,0.648,311,941,353,193,85,319,530
171,Merrimack,27,17,10,0.63,-4.37,-6.93,11.0,2.0,10,1,6,8,1873,1784,1090,654,1485,0.44,183,613,0.299,382,534,0.715,220,858,335,273,101,365,443
