,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
106,107,Green Bay,18,15,3,0.833,19.56,1.91,8.0,0.0,8,0,5,2,1358,1019,67.5,111.7,0.261,0.352,0.588,53.2,66.5,11.3,5.2,0.556,14.9,26.8,0.209
107,108,Hampton,13,0,13,0.0,-20.26,-2.72,0.0,3.0,0,3,0,8,654,882,72.6,69.4,0.361,0.224,0.406,45.6,47.1,11.3,8.8,0.361,25.5,27.6,0.23
108,109,Harvard,16,9,7,0.563,8.94,3.94,2.0,1.0,2,2,5,5,1129,1049,70.5,100.1,0.273,0.375,0.526,50.4,57.1,10.7,9.4,0.489,18.1,33.7,0.209
109,110,Hawaii,14,7,7,0.5,2.55,2.55,5.0,1.0,6,3,2,4,772,785,65.7,83.9,0.309,0.447,0.481,47.0,59.4,8.6,10.1,0.436,22.4,24.0,0.231
110,111,High Point,17,8,9,0.471,-12.09,-1.03,3.0,1.0,6,3,2,3,1055,1158,71.4,86.3,0.289,0.41,0.496,43.7,53.2,9.4,8.2,0.461,20.5,19.9,0.205
111,112,Hofstra,14,7,7,0.5,-13.4,-13.02,1.0,2.0,5,4,2,3,849,765,68.3,88.1,0.243,0.358,0.453,54.2,58.5,13.2,8.8,0.429,20.2,37.8,0.151
112,113,Holy Cross,16,11,5,0.688,0.66,-8.48,5.0,0.0,8,0,3,5,1008,830,67.3,93.6,0.203,0.279,0.471,55.9,65.1,8.9,11.7,0.443,16.4,33.9,0.146
113,114,Houston,17,11,6,0.647,10.75,5.75,2.0,4.0,9,2,2,4,1238,1153,76.6,94.4,0.283,0.355,0.48,48.2,44.9,16.5,9.8,0.443,17.7,34.9,0.202
114,115,Houston Christian,16,5,11,0.313,-20.03,2.72,0.0,5.0,4,2,1,9,884,1039,69.7,79.2,0.234,0.315,0.443,45.6,56.8,10.5,9.8,0.411,21.4,26.2,0.164
115,116,Howard,15,3,12,0.2,-9.69,-3.56,0.0,1.0,2,3,1,6,830,922,70.1,78.3,0.353,0.268,0.417,48.3,49.1,12.7,9.9,0.365,19.8,29.8,0.243
116,117,Idaho,16,9,7,0.563,-2.05,-6.98,2.0,2.0,2,6,6,1,1019,889,66.9,94.4,0.249,0.366,0.501,53.2,52.2,10.6,6.7,0.465,18.2,30.3,0.19
117,118,Idaho State,16,7,9,0.438,-3.09,0.98,3.0,2.0,5,1,1,7,954,976,69.4,85.3,0.256,0.209,0.444,50.9,47.6,12.3,10.4,0.411,19.3,33.0,0.173
118,119,Illinois,16,8,8,0.5,17.26,5.57,2.0,4.0,6,3,1,3,1195,1008,69.9,106.8,0.277,0.286,0.536,52.4,50.8,9.7,8.8,0.502,14.0,32.2,0.21
119,120,Illinois State,15,10,5,0.667,7.48,0.55,3.0,2.0,7,1,2,4,1153,1018,73.3,104.8,0.378,0.362,0.564,54.1,54.2,5.7,10.2,0.523,18.6,30.6,0.284
120,121,Illinois-Chicago,15,8,7,0.533,2.44,-1.68,1.0,3.0,3,1,4,5,1072,1006,75.4,94.0,0.361,0.284,0.507,52.5,64.6,13.3,5.3,0.472,21.2,35.3,0.244
121,122,Incarnate Word,16,9,7,0.563,-5.87,-2.04,2.0,3.0,5,3,4,4,975,900,66.7,91.3,0.327,0.395,0.467,52.7,53.9,11.2,7.0,0.429,18.5,36.4,0.223
122,123,Indiana,17,15,2,0.882,29.92,11.03,6.0,1.0,10,0,3,2,1355,1034,71.9,110.9,0.29,0.346,0.599,52.1,63.6,9.4,10.1,0.581,16.3,24.7,0.201
123,124,Indiana State,15,5,10,0.333,-8.4,-2.76,1.0,4.0,1,4,3,5,974,1055,74.3,86.7,0.352,0.289,0.462,51.9,50.3,11.6,8.9,0.412,20.7,35.4,0.254
124,125,Iona,15,7,8,0.467,-13.68,-9.68,2.0,4.0,4,2,3,6,892,952,67.0,88.0,0.244,0.41,0.505,47.6,64.4,7.4,5.4,0.471,22.0,24.4,0.184
125,126,Iowa,19,18,1,0.947,37.66,12.3,7.0,0.0,8,1,5,0,1726,1244,76.3,119.0,0.293,0.433,0.616,57.1,62.2,10.8,8.4,0.587,16.0,33.1,0.228
126,127,Iowa State,17,12,5,0.706,20.31,10.02,5.0,1.0,9,1,3,2,1292,1117,71.8,105.9,0.269,0.391,0.569,58.7,67.6,6.1,8.0,0.546,19.2,33.8,0.192
127,128,IUPUI,16,4,12,0.25,-14.33,-2.89,2.0,5.0,3,5,1,6,1052,1235,76.1,85.0,0.336,0.298,0.471,48.0,55.6,7.2,8.6,0.437,21.6,29.6,0.218
128,129,Jackson State,14,8,6,0.571,5.58,8.95,3.0,0.0,3,0,3,5,965,823,71.7,96.1,0.327,0.288,0.467,54.4,48.7,12.8,11.2,0.428,17.0,42.5,0.222
129,130,Jacksonville,17,5,12,0.294,-12.96,1.04,1.0,3.0,4,3,1,9,1088,1262,77.8,82.3,0.468,0.291,0.501,46.6,38.5,13.1,5.7,0.447,27.2,30.5,0.33
130,131,Jacksonville State,15,6,9,0.4,-11.22,-4.07,1.0,2.0,5,2,1,7,946,973,71.4,87.5,0.21,0.413,0.466,50.5,55.7,9.3,4.5,0.442,18.9,28.6,0.141
131,132,James Madison,18,13,5,0.722,6.37,2.72,5.0,1.0,8,1,4,3,1299,1164,73.3,97.7,0.27,0.301,0.494,57.8,50.3,7.0,5.5,0.468,17.2,36.2,0.179
132,133,Kansas,17,9,8,0.529,18.6,14.72,2.0,4.0,7,1,1,5,1174,1108,70.1,98.4,0.335,0.32,0.525,48.9,44.3,11.1,9.1,0.494,17.3,26.9,0.229
133,134,Kansas City,19,9,10,0.474,-8.24,-5.06,0.0,4.0,7,2,1,6,1259,1179,73.3,90.4,0.329,0.208,0.474,52.6,47.3,10.6,8.8,0.441,19.2,35.6,0.214
134,135,Kansas State,18,17,1,0.944,32.35,7.85,5.0,0.0,10,0,4,0,1370,929,71.3,106.8,0.232,0.346,0.554,56.1,68.5,11.7,15.6,0.534,16.5,33.1,0.164
135,136,Kennesaw State,17,8,9,0.471,-8.3,0.64,4.0,0.0,6,3,1,5,938,998,69.0,80.0,0.299,0.209,0.426,53.8,46.2,12.8,10.0,0.39,22.6,39.2,0.194
136,137,Kent State,15,10,5,0.667,5.36,0.36,4.0,1.0,5,1,4,3,1112,905,71.6,101.8,0.254,0.37,0.504,53.9,57.5,12.6,10.0,0.474,15.4,35.4,0.183
137,138,Kentucky,18,8,10,0.444,2.7,10.54,1.0,3.0,8,3,0,4,1175,1316,73.0,89.4,0.319,0.275,0.478,47.8,50.5,9.1,7.9,0.446,19.3,29.9,0.208
138,139,La Salle,17,6,11,0.353,-11.66,-0.07,3.0,3.0,3,5,3,6,1028,1225,73.9,81.8,0.223,0.445,0.454,45.4,55.3,12.0,5.1,0.43,21.8,28.4,0.144
139,140,Lafayette,16,6,10,0.375,-16.7,-8.26,1.0,4.0,1,5,5,5,883,1018,65.9,83.1,0.202,0.325,0.478,46.4,57.6,9.8,6.9,0.459,22.2,25.1,0.131
140,141,Lamar,15,10,5,0.667,1.83,0.22,4.0,1.0,5,1,4,3,988,869,66.3,99.3,0.303,0.258,0.492,52.8,54.3,12.0,4.8,0.459,16.1,36.3,0.209
141,142,Le Moyne,16,5,11,0.313,-12.85,3.09,3.0,0.0,1,2,4,9,847,1102,66.6,78.9,0.252,0.307,0.424,44.5,58.2,12.4,6.7,0.382,20.6,30.4,0.184
142,143,Lehigh,16,10,6,0.625,-6.91,-10.98,2.0,3.0,5,3,4,2,1168,1071,74.3,97.5,0.312,0.494,0.538,50.6,67.4,9.6,8.9,0.495,19.6,26.9,0.246
143,144,Liberty,19,6,13,0.316,-1.66,9.16,1.0,3.0,5,4,1,6,1190,1332,70.2,88.0,0.253,0.341,0.484,50.9,56.4,8.5,11.3,0.457,22.2,33.9,0.17
144,145,Lindenwood,15,3,12,0.2,-18.93,-7.08,1.0,4.0,3,3,0,9,1026,1147,74.2,92.3,0.326,0.36,0.493,43.5,49.5,11.2,5.6,0.464,18.2,27.5,0.211
145,146,Lipscomb,17,10,7,0.588,-2.06,-2.13,3.0,1.0,5,2,5,5,1175,1099,71.1,96.5,0.23,0.39,0.495,51.3,47.7,9.1,8.2,0.471,16.6,31.3,0.157
146,147,Little Rock,17,5,12,0.294,-5.73,3.15,4.0,2.0,2,5,2,7,941,1092,66.8,82.3,0.263,0.218,0.453,43.2,56.5,11.5,6.2,0.422,19.0,23.5,0.176
147,148,Long Beach State,16,6,10,0.375,-3.24,1.76,1.0,6.0,4,6,2,5,1069,1116,79.5,84.0,0.313,0.337,0.484,49.9,48.8,13.6,7.6,0.447,25.0,33.6,0.217
148,149,Long Island University,15,3,12,0.2,-25.65,-12.25,1.0,2.0,2,5,1,7,842,1043,71.5,78.5,0.258,0.384,0.45,47.2,62.1,12.6,8.1,0.423,23.9,29.4,0.166
149,150,Longwood,17,4,13,0.235,-22.52,-5.08,2.0,3.0,2,4,2,9,1041,1291,76.6,79.9,0.309,0.241,0.447,44.7,43.4,13.7,4.6,0.407,22.4,28.7,0.211
150,151,Louisiana,15,6,9,0.4,-5.21,4.48,2.0,4.0,3,5,3,4,883,961,68.2,84.9,0.303,0.283,0.467,43.7,42.2,10.6,3.5,0.433,19.1,22.5,0.203
151,152,Louisiana State,19,17,2,0.895,31.14,0.98,4.0,1.0,11,0,4,1,1734,1161,79.2,115.2,0.455,0.193,0.564,59.9,53.7,15.5,14.2,0.519,16.2,46.5,0.336
152,153,Louisiana Tech,18,7,11,0.389,-1.16,5.47,1.0,2.0,5,3,2,6,1133,1147,68.6,91.1,0.259,0.354,0.494,49.0,58.2,11.5,6.5,0.465,19.8,28.6,0.179
153,154,Louisiana-Monroe,17,12,5,0.706,2.63,-3.1,4.0,2.0,6,1,4,4,1272,1069,74.4,100.6,0.281,0.372,0.509,50.7,55.3,12.5,8.3,0.475,16.0,33.6,0.203
154,155,Louisville,18,16,2,0.889,26.09,8.92,5.0,0.0,9,0,5,1,1360,1051,71.7,105.3,0.342,0.248,0.546,56.5,51.0,13.6,5.2,0.503,18.3,39.2,0.262
155,156,Loyola (IL),17,9,8,0.529,-3.85,-2.26,3.0,3.0,5,4,4,4,1102,1129,70.3,91.5,0.284,0.359,0.505,47.0,67.6,11.5,6.6,0.468,21.1,30.1,0.211
