,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
144,145,Lindenwood,15,3,12,0.2,-18.93,-7.08,1.0,4.0,3,3,0,9,1026,1147,74.2,103.1,0.408,0.262,0.568,56.5,52.7,8.5,4.9,0.529,21.4,37.0,0.299
145,146,Lipscomb,17,10,7,0.588,-2.06,-2.13,3.0,1.0,5,2,5,5,1175,1099,71.1,90.2,0.235,0.355,0.482,48.7,49.6,8.0,9.0,0.45,18.6,27.8,0.172
146,147,Little Rock,17,5,12,0.294,-5.73,3.15,4.0,2.0,2,5,2,7,941,1092,66.8,95.5,0.41,0.319,0.536,56.8,49.5,8.1,6.9,0.495,23.0,34.3,0.291
147,148,Long Beach State,16,6,10,0.375,-3.24,1.76,1.0,6.0,4,6,2,5,1069,1116,79.5,87.7,0.32,0.35,0.462,50.1,52.3,14.4,8.8,0.417,20.6,35.8,0.23
148,149,Long Island University,15,3,12,0.2,-25.65,-12.25,1.0,2.0,2,5,1,7,842,1043,71.5,97.2,0.28,0.341,0.513,52.8,69.4,12.0,10.3,0.486,20.1,35.2,0.192
149,150,Longwood,17,4,13,0.235,-22.52,-5.08,2.0,3.0,2,4,2,9,1041,1291,76.6,99.1,0.247,0.372,0.519,55.3,59.3,11.2,6.4,0.496,20.5,39.0,0.167
150,151,Louisiana,15,6,9,0.4,-5.21,4.48,2.0,4.0,3,5,3,4,883,961,68.2,92.4,0.34,0.334,0.506,56.3,54.2,8.7,7.1,0.47,21.5,33.6,0.235
151,152,Louisiana State,19,17,2,0.895,31.14,0.98,4.0,1.0,11,0,4,1,1734,1161,79.2,77.1,0.268,0.345,0.451,40.1,45.7,10.0,5.8,0.419,25.2,28.0,0.178
152,153,Louisiana Tech,18,7,11,0.389,-1.16,5.47,1.0,2.0,5,3,2,6,1133,1147,68.6,92.2,0.284,0.321,0.492,51.0,54.9,11.3,8.0,0.463,18.8,30.7,0.191
153,154,Louisiana-Monroe,17,12,5,0.706,2.63,-3.1,4.0,2.0,6,1,4,4,1272,1069,74.4,84.5,0.331,0.344,0.448,49.3,48.2,8.5,6.3,0.404,20.5,32.8,0.229
154,155,Louisville,18,16,2,0.889,26.09,8.92,5.0,0.0,9,0,5,1,1360,1051,71.7,81.4,0.276,0.366,0.495,43.5,53.1,9.0,5.8,0.467,26.3,25.6,0.187
155,156,Loyola (IL),17,9,8,0.529,-3.85,-2.26,3.0,3.0,5,4,4,4,1102,1129,70.3,93.8,0.306,0.317,0.528,53.0,65.5,10.9,8.6,0.496,23.2,34.6,0.216
156,157,Loyola (MD),16,7,9,0.438,-14.89,-9.27,2.0,3.0,3,4,4,5,876,966,65.1,92.8,0.295,0.336,0.512,50.7,59.4,10.0,7.1,0.489,20.2,29.2,0.191
157,158,Loyola Marymount,17,7,10,0.412,-3.39,2.08,2.0,3.0,3,5,4,5,1040,1080,67.5,93.4,0.28,0.373,0.498,47.3,55.9,10.6,9.4,0.466,19.0,31.5,0.196
158,159,Maine,18,11,7,0.611,4.1,-0.4,4.0,0.0,5,2,4,4,1164,1083,66.6,90.4,0.244,0.293,0.486,46.3,58.1,9.9,8.6,0.461,17.7,25.6,0.162
159,160,Manhattan,15,11,4,0.733,-5.49,-10.36,4.0,2.0,6,1,5,3,854,781,64.9,80.2,0.228,0.313,0.437,47.7,60.8,11.4,5.6,0.409,21.2,30.3,0.151
160,161,Marist,16,5,11,0.313,-17.07,-10.38,3.0,3.0,3,3,2,6,898,1005,68.3,90.6,0.202,0.344,0.457,52.5,51.4,14.0,7.3,0.425,15.5,31.2,0.15
161,162,Marquette,18,15,3,0.833,22.33,5.16,4.0,3.0,10,0,3,3,1388,1079,71.6,83.7,0.237,0.31,0.47,43.8,51.5,9.4,8.1,0.439,21.0,24.3,0.168
162,163,Marshall,17,12,5,0.706,5.78,-1.82,6.0,0.0,6,0,6,5,1433,1194,80.8,87.0,0.337,0.251,0.504,51.0,51.0,10.6,8.4,0.474,25.7,36.7,0.221
163,164,Maryland,17,11,6,0.647,24.22,15.57,3.0,3.0,8,1,1,4,1366,1219,78.3,91.5,0.229,0.372,0.48,48.3,61.3,9.3,7.7,0.446,18.7,32.4,0.172
164,165,Maryland-Baltimore County,17,6,11,0.353,-16.82,-9.09,2.0,3.0,3,5,3,6,1033,1105,68.9,91.6,0.268,0.269,0.486,51.6,51.2,12.1,6.6,0.459,19.4,33.4,0.178
165,166,Maryland-Eastern Shore,16,7,9,0.438,-8.19,-3.99,0.0,2.0,6,2,1,7,1004,985,71.3,86.3,0.293,0.358,0.484,48.4,55.6,11.5,6.9,0.452,22.5,32.1,0.198
166,167,Massachusetts,18,3,15,0.167,-12.27,1.78,1.0,5.0,3,4,0,8,1086,1339,72.6,102.4,0.367,0.36,0.568,55.0,66.7,13.0,6.1,0.529,21.6,34.4,0.277
167,168,Massachusetts-Lowell,17,3,14,0.176,-17.1,-5.22,3.0,2.0,1,6,2,8,884,1086,68.0,93.2,0.235,0.241,0.495,53.5,55.0,12.9,9.1,0.464,18.6,32.1,0.173
168,169,McNeese State,18,4,14,0.222,-31.03,0.61,0.0,5.0,4,8,0,6,1236,1499,80.2,103.1,0.309,0.278,0.53,53.4,60.4,12.8,8.1,0.505,18.0,36.0,0.205
169,170,Memphis,17,5,12,0.294,2.52,6.64,1.0,5.0,3,4,1,6,1148,1218,76.3,91.9,0.429,0.234,0.515,51.4,51.8,10.3,9.2,0.467,23.0,36.0,0.305
170,171,Mercer,19,7,12,0.368,-5.25,-2.14,1.0,2.0,5,3,1,8,1214,1273,70.0,93.8,0.359,0.254,0.505,49.5,46.3,12.3,5.5,0.468,19.4,32.1,0.247
171,172,Merrimack,17,4,13,0.235,-17.59,-8.18,1.0,3.0,3,5,1,8,923,1083,68.7,91.4,0.325,0.384,0.484,49.8,58.8,13.2,10.7,0.449,20.0,33.7,0.219
172,173,Miami (FL),17,12,5,0.706,18.21,6.45,2.0,4.0,11,1,1,3,1185,985,69.9,83.0,0.215,0.348,0.456,47.1,59.7,11.5,7.0,0.422,23.1,33.8,0.161
173,174,Miami (OH),15,3,12,0.2,-15.35,-0.82,1.0,4.0,1,4,2,8,781,999,66.5,98.5,0.293,0.437,0.513,53.7,63.6,16.1,11.6,0.485,20.0,38.5,0.199
174,175,Michigan,18,12,6,0.667,19.0,7.0,3.0,3.0,8,1,2,3,1265,1049,69.0,84.5,0.286,0.354,0.491,44.8,50.8,8.1,7.3,0.455,23.6,26.9,0.204
175,176,Michigan State,17,13,4,0.765,28.31,6.42,3.0,3.0,8,1,2,2,1505,1133,76.2,87.4,0.281,0.301,0.501,47.9,52.2,6.8,7.9,0.466,22.0,24.9,0.204
176,177,Middle Tennessee,17,13,4,0.765,14.05,2.1,3.0,0.0,5,1,5,2,1194,991,67.2,86.2,0.216,0.376,0.461,47.3,53.3,9.9,8.2,0.43,19.6,29.0,0.157
177,178,Milwaukee,20,11,9,0.55,-4.53,-6.58,5.0,4.0,5,5,5,3,1356,1236,69.7,88.6,0.295,0.333,0.483,47.3,59.3,12.1,8.6,0.441,20.1,30.2,0.218
178,179,Minnesota,17,13,4,0.765,22.74,6.62,3.0,3.0,11,2,2,2,1303,1029,71.4,83.6,0.196,0.36,0.475,45.8,63.2,10.5,7.0,0.45,21.6,25.0,0.138
