Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,1370,753,1737,0.434,191,578,0.33,464,643,0.722,295,1098,356,192,92,560,592
2,Air Force,32,14,18,0.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,1300,821,1820,0.451,299,841,0.356,353,520,0.679,258,1073,443,231,87,386,550
3,Akron,33,17,16,0.515,4.86,1.09,8,10,14,3,1,10,2271,2107,1325,760,1919,0.396,215,734,0.293,372,569,0.654,370,1292,343,187,89,436,578
4,Alabama,34,18,16,0.529,9.45,9.01,8,10,10,6,4,8,2448,2433,1365,890,2047,0.435,223,670,0.333,430,605,0.711,350,1185,384,221,144,402,644
5,Alabama A&M,32,5,27,0.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,1295,811,1730,0.469,235,665,0.353,428,672,0.637,333,1158,434,246,109,458,463
6,Alabama State,31,12,19,0.387,-15.6,-7.84,9,9,8,3,3,13,2086,2235,1250,788,1732,0.455,217,638,0.34,442,625,0.707,324,1140,426,224,103,470,621
7,Albany (NY),32,12,20,0.375,-9.38,-6.7,7,9,6,8,6,10,2150,2216,1300,807,1797,0.449,253,703,0.36,349,533,0.655,301,1092,462,206,118,406,556
8,Alcorn State,31,10,21,0.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,1245,782,1744,0.448,205,657,0.312,425,619,0.687,306,1082,489,245,83,414,497
9,American,30,15,15,0.5,-4.19,-7.23,9,9,8,7,6,8,2161,2070,1220,747,1709,0.437,152,520,0.292,424,595,0.713,287,999,375,191,98,366,526
10,Appalachian State,32,11,21,0.344,-3.73,0.1,6,12,9,5,2,12,2557,2539,1290,916,1960,0.467,242,659,0.367,465,659,0.706,329,1190,418,225,100,428,636
11,Arizona,32,17,15,0.531,8.32,6.32,8,10,12,5,4,7,2269,2205,1290,787,1756,0.448,213,648,0.329,418,615,0.68,277,1094,376,173,123,450,621
12,Arizona State,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,2638,2494,1380,828,2007,0.413,292,874,0.334,546,774,0.705,343,1218,449,221,113,476,735
13,Arkansas,34,18,16,0.529,11.75,8.78,8,10,12,6,5,8,2559,2458,1370,817,1929,0.424,270,811,0.333,554,804,0.689,426,1301,441,212,113,553,729
14,Arkansas State,32,13,19,0.406,-7.1,-1.23,7,11,10,4,2,13,2359,2475,1310,823,1862,0.442,240,685,0.35,589,794,0.742,331,1142,419,192,113,399,632
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.43,-8.18,10,8,8,2,4,17,2108,2269,1300,779,1713,0.455,201,566,0.355,510,756,0.675,318,1090,434,240,106,442,608
16,Army,32,13,19,0.406,-7.57,-4.73,8,10,10,4,3,13,2268,2305,1280,843,1853,0.455,266,755,0.352,353,520,0.679,246,1175,444,215,135,436,503
17,Auburn,40,30,10,0.75,20.84,10.92,11,7,15,2,4,6,3188,2750,1615,940,2153,0.437,323,937,0.345,547,774,0.707,424,1412,491,226,144,683,690
18,Austin Peay,33,22,11,0.667,0.59,-4.41,13,5,10,2,8,7,2712,2413,1335,863,1913,0.451,240,723,0.332,447,645,0.693,335,1136,448,187,107,521,650
19,Ball State,33,16,17,0.485,3.39,1.21,6,12,7,7,8,7,2478,2362,1340,851,2053,0.415,228,717,0.318,432,613,0.705,365,1169,386,224,110,426,641
20,Baylor,34,20,14,0.588,13.38,9.26,10,8,13,5,5,6,2442,2302,1365,795,1869,0.425,246,714,0.345,466,682,0.683,338,1086,442,202,146,421,612
21,Belmont,33,27,6,0.818,9.12,-2.6,16,2,13,1,12,3,2868,2439,1330,895,2110,0.424,253,743,0.341,396,569,0.696,314,1166,402,200,116,403,552
22,Bethune-Cookman,31,14,17,0.452,-11.98,-9.74,9,7,11,4,3,12,2290,2245,1250,786,1901,0.413,205,679,0.302,468,687,0.681,372,1170,439,221,126,477,597
23,Binghamton,33,10,23,0.303,-13.92,-4.69,5,11,5,11,5,12,2152,2376,1320,877,1977,0.444,299,772,0.387,323,487,0.663,368,1264,540,226,95,380,510
24,Boise State,33,13,20,0.394,3.61,1.08,7,11,8,7,3,10,2364,2263,1330,795,1768,0.45,243,713,0.341,430,580,0.741,247,1025,412,160,90,412,557
25,Boston College,31,14,17,0.452,5.83,7.76,5,13,10,8,2,8,2196,2256,1260,797,1900,0.419,246,770,0.319,416,559,0.744,371,1198,432,181,96,359,555
26,Boston University,33,15,18,0.455,-6.61,-5.39,7,11,7,7,8,10,2385,2387,1325,858,1821,0.471,248,723,0.343,423,579,0.731,256,1028,450,199,106,412,539
27,Bowling Green State,34,22,12,0.647,4.24,0.86,12,6,14,2,5,8,2668,2496,1370,879,2064,0.426,307,898,0.342,431,621,0.694,309,1215,413,222,99,443,678
28,Bradley,35,20,15,0.571,-0.08,-0.9,9,9,10,6,5,8,2329,2285,1405,779,1892,0.412,246,753,0.327,481,664,0.724,313,1163,415,196,90,433,648
29,Brigham Young,32,19,13,0.594,6.15,3.31,11,5,13,3,5,8,2527,2436,1295,841,1912,0.44,256,699,0.366,498,677,0.736,313,1163,430,183,86,411,658
30,Brown,32,20,12,0.625,-0.62,-3.29,7,7,13,3,7,9,2355,2204,1290,788,1891,0.417,234,774,0.302,394,572,0.689,308,1159,391,213,100,485,657
31,Bryant,30,10,20,0.333,-15.19,-7.66,7,11,8,6,2,13,2088,2314,1200,809,1704,0.475,252,650,0.388,444,604,0.735,297,1081,443,176,116,386,569
32,Bucknell,33,21,12,0.636,0.59,-2.93,13,5,12,3,7,8,2534,2418,1325,867,1995,0.435,230,691,0.333,454,647,0.702,328,1163,432,225,96,393,611
33,Buffalo,36,32,4,0.889,15.56,2.62,16,2,14,0,12,3,3037,2550,1445,916,2180,0.42,236,791,0.298,482,687,0.702,363,1333,372,192,112,553,704
34,Butler,33,16,17,0.485,9.22,8.1,7,11,12,4,2,10,2374,2337,1330,815,1784,0.457,251,703,0.357,456,648,0.704,291,1132,405,175,118,423,529
35,Cal Poly,29,6,23,0.207,-13.95,-3.54,2,14,4,8,1,14,1930,2183,1185,770,1671,0.461,204,555,0.368,439,625,0.702,304,1107,417,155,102,314,492
