Team,Record,NET Rank
Houston Christian,3-14,340
Central Arkansas,6-15,341
Northwestern State,3-16,342
Florida A&M,3-13,343
Alabama A&M,3-17,344
Loyola-Maryland,3-17,345
Buffalo,1-17,346
Southeast Missouri,3-14,347
Saint Francis (PA),5-14,348
Lindenwood,4-14,349
Morgan State,3-15,350
VMI,1-17,351
Maryland Eastern Shore,2-14,352
Siena,3-17,353
Long Island,4-15,354
Pacific,4-16,355
Holy Cross,5-16,356
Hampton,1-17,357
Stonehill,1-20,358
IUPUI,3-17,359
Coppin State,2-17,360
Detroit,0-22,361
Mississippi Valley State,0-21,362
